,tweet_lang,poi_name,poi_id,verified,id,tweet_text,tweet_emoticons,hashtags,mentions,tweet_urls,country,text_hi,tweet_date,text_en
0,hi,ArvindKejriwal,405427035,True,1440306434772647951,दिल्ली में बायो-डिकंपोज़र के शानदार नतीजों से किसान बेहद खुश हैं। पराली की समस्या के समाधान के रुप में दिल्ली सरकार इस बार भी अपने किसानों को ये सुविधा दे रही है। https://t.co/I3sr7JVlbI,[],[],[],['https://t.co/I3sr7JVlbI'],India,दिल्ली में बायो डिकंपोज़र के शानदार नतीजों से किसान बेहद खुश हैं। पराली की समस्या के समाधान के रुप में दिल्ली सरकार इस बार भी अपने किसानों को ये सुविधा दे रही है। https   t co I3sr7JVlbI,2021-09-21 13:00:00,
1,en,ArvindKejriwal,405427035,True,1440292720379977734,"Air pollution data for 21 Sep (safe limit in brackets)

AQI- 83 (0 to 50 - Good, 51 to 100  Satisfactory)
PM10- 81 (0 to 50 Good, 51 to 100 Satisfactory)
PM2.5- 31 (0 to 30 Good, 31 to 60 Satisfactory) https://t.co/iTzVviyYqO",[],[],[],['https://t.co/iTzVviyYqO'],India,,2021-09-21 13:00:00,Air pollution data for 21 Sep  safe limit in brackets AQI  83  0 to 50   Good  51 to 100  Satisfactory PM10  81  0 to 50 Good  51 to 100 Satisfactory PM2 5  31  0 to 30 Good  31 to 60 Satisfactory  https   t co iTzVviyYqO
2,en,ArvindKejriwal,405427035,True,1440205956919422982,"My 7 Guarantees for Goa's youth

▪️Jobs for Goans, not just for MLA's relatives
▪️1 Job/family for unemployed
▪️3000/month until then
▪️80% pvt jobs reserved for Goans
▪️5000/month for unemployed in tourism due to COVID
▪️5000/month for mining ban affected
▪️Skill University",['▪️'],[],[],[],India,,2021-09-21 07:00:00,My 7 Guarantees for Goa s youthJobs for Goans  not just for MLA s relatives1 Job family for unemployed3000 month until then80  pvt jobs reserved for Goans5000 month for unemployed in tourism due to COVID5000 month for mining ban affectedSkill University
3,en,ArvindKejriwal,405427035,True,1440205335382220800,"This morning, I paid my respects at the Basilica of Bom Jesus in Old Goa. I pray for peace, prosperity and progress of the people of Goa. https://t.co/1CdFyxy8Y4",[],[],[],[],India,,2021-09-21 07:00:00,This morning  I paid my respects at the Basilica of Bom Jesus in Old Goa  I pray for peace  prosperity and progress of the people of Goa  https   t co 1CdFyxy8Y4
4,en,ArvindKejriwal,405427035,True,1439989228612435972,"Visited Rudreshwar Temple, which is one of the most auspicious temples in Goa. I pray to Rudreshwar Dev for the safety and prosperity of the people of Goa. https://t.co/DXtq3CuzYG",[],[],[],[],India,,2021-09-20 16:00:00,Visited Rudreshwar Temple  which is one of the most auspicious temples in Goa  I pray to Rudreshwar Dev for the safety and prosperity of the people of Goa  https   t co DXtq3CuzYG
5,hi,ArvindKejriwal,405427035,True,1439986883560304642,अखिल भारतीय अखाड़ा परिषद के अध्यक्ष महंत नरेंद्र गिरि जी के निधन का समाचार सुनकर स्तब्ध हूं ईश्वर उनकी पुण्य आत्मा को शांति प्रदान करे व उनके अनुयायियों को ये अपार कष्ट सहन करने की शक्ति दे।,[],[],[],[],India,अखिल भारतीय अखाड़ा परिषद के अध्यक्ष महंत नरेंद्र गिरि जी के निधन का समाचार सुनकर स्तब्ध हूं ईश्वर उनकी पुण्य आत्मा को शांति प्रदान करे व उनके अनुयायियों को ये अपार कष्ट सहन करने की शक्ति दे।,2021-09-20 16:00:00,
6,en,ArvindKejriwal,405427035,True,1439921661885640708,"Air pollution data for 20 Sep (safe limit in brackets)
AQI- 82 (0 to 50 - Good, 51 to 100 - Satisfactory)
PM10- 78 (0 to 50 Good, 51 to 100 -Satisfactory)
PM2.5- 31 (0 to 30 Good, 31 to 60 -Satisfactory) https://t.co/RlzDjt3T99",[],[],[],['https://t.co/RlzDjt3T99'],India,,2021-09-20 12:00:00,Air pollution data for 20 Sep  safe limit in brackets AQI  82  0 to 50   Good  51 to 100   Satisfactory PM10  78  0 to 50 Good  51 to 100  Satisfactory PM2 5  31  0 to 30 Good  31 to 60  Satisfactory  https   t co RlzDjt3T99
7,en,ArvindKejriwal,405427035,True,1439824140739891205,"With unemployment at its peak, Goa's youth are not getting jobs. Government jobs are available only to people with money and connections. 

Coming to Goa to discuss this issue with the People of Goa.",[],[],[],[],India,,2021-09-20 06:00:00,With unemployment at its peak  Goa s youth are not getting jobs  Government jobs are available only to people with money and connections  Coming to Goa to discuss this issue with the People of Goa 
8,en,ArvindKejriwal,405427035,True,1439816998364454915,More power to u Sonu ji. U are a hero to millions of Indians https://t.co/TACjG8ugOP,[],[],[],['https://t.co/TACjG8ugOP'],India,,2021-09-20 05:00:00,More power to u Sonu ji  U are a hero to millions of Indians https   t co TACjG8ugOP
9,en,ArvindKejriwal,405427035,True,1439557728087601153,"Air pollution data for 19 Sep (safe limit in brackets)

AQI- 82 (0 to 50 - Good, 51 to 100 - Satisfactory)
PM10- 85 (0 to 50 Good, 51 to 100 Satisfactory)
PM2.5- 35 (0 to 30 Good, 31 to 60 Satisfactory) https://t.co/9CgVITOf9x",[],[],[],['https://t.co/9CgVITOf9x'],India,,2021-09-19 12:00:00,Air pollution data for 19 Sep  safe limit in brackets AQI  82  0 to 50   Good  51 to 100   Satisfactory PM10  85  0 to 50 Good  51 to 100 Satisfactory PM2 5  35  0 to 30 Good  31 to 60 Satisfactory  https   t co 9CgVITOf9x
