,tweet_lang,poi_name,poi_id,verified,id,tweet_text,tweet_emoticons,hashtags,mentions,tweet_urls,country,text_en,tweet_date,text_es
0,en,BarackObama,813286,True,1440069580437671952,"Ten years ago today, we repealed ‘Don’t Ask, Don’t Tell.’ Today our military is stronger and our country is safer because patriotic Americans no longer have to live a lie in order to defend the country they love. https://t.co/uXKSnsflMk",[],[],[],[],USA,Ten years ago today  we repealed ‘Don’t Ask  Don’t Tell ’ Today our military is stronger and our country is safer because patriotic Americans no longer have to live a lie in order to defend the country they love  https   t co uXKSnsflMk,2021-09-20 22:00:00,
1,en,BarackObama,813286,True,1438541175607242766,"Wishing my friend @JustinTrudeau the best in Canada’s upcoming election. Justin has been an effective leader and strong voice for democratic values, and I’m proud of the work we did together.",[],[],['JustinTrudeau'],[],USA,Wishing my friend  JustinTrudeau the best in Canada’s upcoming election  Justin has been an effective leader and strong voice for democratic values  and I’m proud of the work we did together ,2021-09-16 17:00:00,
2,en,BarackObama,813286,True,1437878127011696641,"The Freedom to Vote Act just introduced in the Senate would strengthen our democracy by making it easier for people to vote and harder for politicians and special interests to drown out the voices of ordinary Americans. I support it, and every Senator should do the same.",[],[],[],[],USA,The Freedom to Vote Act just introduced in the Senate would strengthen our democracy by making it easier for people to vote and harder for politicians and special interests to drown out the voices of ordinary Americans  I support it  and every Senator should do the same ,2021-09-14 21:00:00,
3,en,BarackObama,813286,True,1437808539016343558,"Many of the refugees fleeing Afghanistan stood by America and risked everything for a chance at a better life. With the launch of https://t.co/2CLx31kMeN, we can support our new Afghan neighbors and reaffirm our common humanity. I hope you'll join us. https://t.co/oi0NNIBihQ",[],[],[],"['https://t.co/2CLx31kMeN', 'https://t.co/oi0NNIBihQ']",USA,Many of the refugees fleeing Afghanistan stood by America and risked everything for a chance at a better life  With the launch of https   t co 2CLx31kMeN  we can support our new Afghan neighbors and reaffirm our common humanity  I hope you ll join us  https   t co oi0NNIBihQ,2021-09-14 16:00:00,
4,en,BarackObama,813286,True,1436655211846721537,"Today we honor the nearly 3,000 men, women, and children who died on September 11, 2001, and the heroes who have always run towards danger to do what’s right. Let’s never forget that day, and let’s never take them for granted. https://t.co/VkN11wZAMh",[],[],[],[],USA,Today we honor the nearly 3 000 men  women  and children who died on September 11  2001  and the heroes who have always run towards danger to do what’s right  Let’s never forget that day  and let’s never take them for granted  https   t co VkN11wZAMh,2021-09-11 12:00:00,
5,en,BarackObama,813286,True,1436111878045028353,It was great speaking with @Surgeon_General Murthy and the COVID-19 Community Corps volunteers across the country who've been spending their time and energy encouraging their communities to get vaccinated. Their work is making a difference and will help us end this pandemic. https://t.co/t4yoLaibrU,[],[],['Surgeon_General'],['https://t.co/t4yoLaibrU'],USA,It was great speaking with  Surgeon General Murthy and the COVID 19 Community Corps volunteers across the country who ve been spending their time and energy encouraging their communities to get vaccinated  Their work is making a difference and will help us end this pandemic  https   t co t4yoLaibrU,2021-09-10 00:00:00,
6,en,BarackObama,813286,True,1435736097535954944,"California! You’ve got a big choice to make by September 14, and everything is on the line. Your vote could be the difference between protecting our kids or putting them at risk; helping Californians recover or taking us backwards. Vote “no” on the Republican recall.",[],[],[],[],USA,California  You’ve got a big choice to make by September 14  and everything is on the line  Your vote could be the difference between protecting our kids or putting them at risk  helping Californians recover or taking us backwards  Vote “no” on the Republican recall ,2021-09-08 23:00:00,
7,en,BarackObama,813286,True,1435657058536337418,Great memories of an important day. 31 million people now have health insurance—and the peace of mind that comes with it—thanks to the Affordable Care Act. Now @POTUS is committed to making it even stronger through his Build Back Better plan. https://t.co/RRgs0heacp,[],[],['POTUS'],['https://t.co/RRgs0heacp'],USA,Great memories of an important day  31 million people now have health insurance—and the peace of mind that comes with it—thanks to the Affordable Care Act  Now  POTUS is committed to making it even stronger through his Build Back Better plan  https   t co RRgs0heacp,2021-09-08 18:00:00,
8,en,BarackObama,813286,True,1435262267013181440,"The pandemic has devastated communities everywhere. But the young leaders in our newest class of @ObamaFoundation Scholars studying at @UChicago and @Columbia give me hope for a better future. Congratulations, Scholars! https://t.co/QWpgaxfwvg",[],[],"['ObamaFoundation', 'UChicago', 'Columbia']",['https://t.co/QWpgaxfwvg'],USA,The pandemic has devastated communities everywhere  But the young leaders in our newest class of  ObamaFoundation Scholars studying at  UChicago and  Columbia give me hope for a better future  Congratulations  Scholars  https   t co QWpgaxfwvg,2021-09-07 15:00:00,
9,en,BarackObama,813286,True,1434894258780114956,"This Labor Day, let’s honor all the working men and women who make this country what it is—and the American labor movement that has helped protect them, especially during this pandemic.",[],[],[],[],USA,This Labor Day  let’s honor all the working men and women who make this country what it is—and the American labor movement that has helped protect them  especially during this pandemic ,2021-09-06 15:00:00,
10,en,BarackObama,813286,True,1432822074117079040,"Michelle and I are thinking of everyone affected by Hurricane Ida, and we're grateful to the first responders doing heroic work. Here are some ways to support those in need: https://t.co/YZU1xlRN1i",[],[],[],['https://t.co/YZU1xlRN1i'],USA,Michelle and I are thinking of everyone affected by Hurricane Ida  and we re grateful to the first responders doing heroic work  Here are some ways to support those in need  https   t co YZU1xlRN1i,2021-08-31 22:00:00,
11,en,BarackObama,813286,True,1431244018248257537,"Like so many of you, Michelle and I were heartbroken to hear about the terrorist attack outside the Kabul airport that killed and wounded so many U.S. service members, as well as Afghan men, women, and children.",[],[],[],[],USA,Like so many of you  Michelle and I were heartbroken to hear about the terrorist attack outside the Kabul airport that killed and wounded so many U S  service members  as well as Afghan men  women  and children ,2021-08-27 13:00:00,
