,tweet_lang,poi_name,poi_id,verified,id,tweet_text,tweet_emoticons,hashtags,mentions,tweet_urls,country,text_en,tweet_date
0,en,CDCgov,146569971,True,1440420601861079053,"Pregnant and recently pregnant people are more likely to get very sick and die from #COVID19. More than 120,000 pregnant people have had COVID-19 since Jan 22, 2020. If you are pregnant, get vaccinated &amp; take steps to protect yourself &amp; your baby. More: https://t.co/tvR0iCuokN. https://t.co/3ipFIsYeZb",[],['COVID19'],[],['https://t.co/tvR0iCuokN'],USA,Pregnant and recently pregnant people are more likely to get very sick and die from  COVID19  More than 120 000 pregnant people have had COVID 19 since Jan 22  2020  If you are pregnant  get vaccinated  amp  take steps to protect yourself  amp  your baby  More  https   t co tvR0iCuokN  https   t co 3ipFIsYeZb,2021-09-21 21:00:00
1,en,CDCgov,146569971,True,1440413035642818565,Learn how you can keep your kids safe and healthy this year! We sat down with @NationalPTA on their #BackpackNotes podcast to share info parents need as their kids go #BacktoSchool. Listen to the #BackpackNotes podcast wherever you listen or at https://t.co/J2P3wUejmk. #COVID19 https://t.co/tuob7WdwKg,[],"['BackpackNotes', 'BacktoSchool', 'BackpackNotes', 'COVID19']",['NationalPTA'],['https://t.co/J2P3wUejmk'],USA,Learn how you can keep your kids safe and healthy this year  We sat down with  NationalPTA on their  BackpackNotes podcast to share info parents need as their kids go  BacktoSchool  Listen to the  BackpackNotes podcast wherever you listen or at https   t co J2P3wUejmk   COVID19 https   t co tuob7WdwKg,2021-09-21 21:00:00
2,en,CDCgov,146569971,True,1440404223271661574,"Salmonella outbreak linked to frozen cooked shrimp is over. Recalled shrimp should no longer be in stores but could still be in your freezer. If you have any left, throw them out or return them to the store. Find list of products: https://t.co/rrl2sSxalX. https://t.co/AP6zLckEto",[],[],[],['https://t.co/rrl2sSxalX'],USA,Salmonella outbreak linked to frozen cooked shrimp is over  Recalled shrimp should no longer be in stores but could still be in your freezer  If you have any left  throw them out or return them to the store  Find list of products  https   t co rrl2sSxalX  https   t co AP6zLckEto,2021-09-21 20:00:00
3,en,CDCgov,146569971,True,1440362819870883852,A new @CDCMMWR study of a #COVID19 outbreak among incarcerated people in a federal prison in Texas found that unvaccinated people were more likely to experience severe illness than vaccinated people. More: https://t.co/w2e3fXkI02. https://t.co/wRZPG0eqVn,['xp'],['COVID19'],['CDCMMWR'],['https://t.co/w2e3fXkI02'],USA,A new  CDCMMWR study of a  COVID19 outbreak among incarcerated people in a federal prison in Texas found that unvaccinated people were more likely to eerience severe illness than vaccinated people  More  https   t co w2e3fXkI02  https   t co wRZPG0eqVn,2021-09-21 17:00:00
4,en,CDCgov,146569971,True,1440345190112247823,"Getting a #COVID19 vaccine is the best way to help prevent COVID-19, especially severe illness and death. Get vaccinated today:

💻Search https://t.co/2akIUZiFIL 
📱 Text your ZIP code to 438829
📞Call 1-800-232-0233 https://t.co/ELcjN1rbtM","['📱', '📞', '💻']",['COVID19'],[],['https://t.co/2akIUZiFIL'],USA,Getting a  COVID19 vaccine is the best way to help prevent COVID 19  especially severe illness and death  Get vaccinated today Search https   t co 2akIUZiFIL  Text your ZIP code to 438829Call 1 800 232 0233 https   t co ELcjN1rbtM,2021-09-21 16:00:00
5,en,CDCgov,146569971,True,1440337553337425921,"Since 1980, CDC operates Field Epidemiology Training Programs in more than 70 countries to strengthen their #PublicHealth. Read in #PublicHealthReports about the program’s evaluation and lessons learned in Tanzania. https://t.co/JPSVNayjf5 https://t.co/ZcjhktOQXZ",[],"['PublicHealth', 'PublicHealthReports']",[],['https://t.co/JPSVNayjf5'],USA,Since 1980  CDC operates Field Epidemiology Training Programs in more than 70 countries to strengthen their  PublicHealth  Read in  PublicHealthReports about the program’s evaluation and lessons learned in Tanzania  https   t co JPSVNayjf5 https   t co ZcjhktOQXZ,2021-09-21 16:00:00
6,en,CDCgov,146569971,True,1440330052449681416,Health care professionals are crucial in helping #FightFlu. Make strong #flu vaccination recommendations to your patients this season with resources found here: https://t.co/dR0A1UGgbM. https://t.co/EuMjmfGXu0,[],"['FightFlu', 'flu']",[],['https://t.co/dR0A1UGgbM'],USA,Health care professionals are crucial in helping  FightFlu  Make strong  flu vaccination recommendations to your patients this season with resources found here  https   t co dR0A1UGgbM  https   t co EuMjmfGXu0,2021-09-21 15:00:00
7,en,CDCgov,146569971,True,1440058230260916237,"As of September 20, 212 million people have received at least one dose of a #COVID19 vaccine. Of those, 181.7 million are fully vaccinated. Getting vaccinated is safe, easy, and free. Make your vaccination appointment today. More: https://t.co/zYLe3HiDiM. https://t.co/TpGBfrpSFO",[],['COVID19'],[],['https://t.co/zYLe3HiDiM'],USA,As of September 20  212 million people have received at least one dose of a  COVID19 vaccine  Of those  181 7 million are fully vaccinated  Getting vaccinated is safe  easy  and free  Make your vaccination appointment today  More  https   t co zYLe3HiDiM  https   t co TpGBfrpSFO,2021-09-20 21:00:00
8,en,CDCgov,146569971,True,1440045599345156104,"#HCPs: MIS-C is a rare, but serious condition in children, adolescents, or young adults who have had #COVID19 in the past 6 weeks. CDC has new resources to help you diagnose and treat MIS-C. Learn more: https://t.co/lV4Clc6x0l.
#Pediatrics #HealthyChildren #Children #Adolescents https://t.co/lmG6BMmUKw",[],"['HCPs', 'COVID19', 'Pediatrics', 'HealthyChildren', 'Children', 'Adolescents']",[],['https://t.co/lV4Clc6x0l'],USA, HCPs  MIS C is a rare  but serious condition in children  adolescents  or young adults who have had  COVID19 in the past 6 weeks  CDC has new resources to help you diagnose and treat MIS C  Learn more  https   t co lV4Clc6x0l  Pediatrics  HealthyChildren  Children  Adolescents https   t co lmG6BMmUKw,2021-09-20 20:00:00
9,en,CDCgov,146569971,True,1440027035758301191,Electronic case reporting (eCR) can provide more complete clinical data from #healthcare facilities to #PublicHealth agencies. Learn more: https://t.co/XechjJuRHJ. https://t.co/hq6qyOtjfg,[],"['healthcare', 'PublicHealth']",[],['https://t.co/XechjJuRHJ'],USA,Electronic case reporting  eCR  can provide more complete clinical data from  healthcare facilities to  PublicHealth agencies  Learn more  https   t co XechjJuRHJ  https   t co hq6qyOtjfg,2021-09-20 19:00:00
10,en,CDCgov,146569971,True,1439982768599994373,Residents in long-term care settings are disproportionately affected by #COVID19 disease. Learn more about what CDC and its partners are doing to provide residents and staff access to COVID-19 vaccines: https://t.co/A4NXtXoZKt. https://t.co/gh3GVmrEsz,[],['COVID19'],[],['https://t.co/A4NXtXoZKt'],USA,Residents in long term care settings are disproportionately affected by  COVID19 disease  Learn more about what CDC and its partners are doing to provide residents and staff access to COVID 19 vaccines  https   t co A4NXtXoZKt  https   t co gh3GVmrEsz,2021-09-20 16:00:00
11,en,CDCgov,146569971,True,1439975138699710464,"The best way to plan for a #radiation emergency is to make sure you and your loved ones know the 3 steps to save your lives: get inside, stay inside, and stay tuned. For National Preparedness Month, learn how to stay safe in a radiation emergency. https://t.co/7CXI0D2FzB #NPM https://t.co/m2Kf4X3h0r",[],"['radiation', 'NPM']",[],['https://t.co/7CXI0D2FzB'],USA,The best way to plan for a  radiation emergency is to make sure you and your loved ones know the 3 steps to save your lives  get inside  stay inside  and stay tuned  For National Preparedness Month  learn how to stay safe in a radiation emergency  https   t co 7CXI0D2FzB  NPM https   t co m2Kf4X3h0r,2021-09-20 16:00:00
12,en,CDCgov,146569971,True,1439967686939787267,E. coli outbreak linked to cake mix is over. Always wait to enjoy your baked goods until they are fully cooked. Don’t taste raw batter—it’s not worth the risk. https://t.co/9eSTd4cM6t https://t.co/jjOAIYdMal,[],[],[],['https://t.co/9eSTd4cM6t'],USA,E  coli outbreak linked to cake mix is over  Always wait to enjoy your baked goods until they are fully cooked  Don’t taste raw batter—it’s not worth the risk  https   t co 9eSTd4cM6t https   t co jjOAIYdMal,2021-09-20 15:00:00
13,en,CDCgov,146569971,True,1439655029447725068,September is National Disaster Preparedness Month. Do you know what to do with your pets in case of an emergency? Make a plan so you’re prepared! https://t.co/pt00E3JIuY. #Preparedness #BePrepared #NatlPrep https://t.co/9W4SfmjgSX,[],"['Preparedness', 'BePrepared', 'NatlPrep']",[],['https://t.co/pt00E3JIuY'],USA,September is National Disaster Preparedness Month  Do you know what to do with your pets in case of an emergency  Make a plan so you’re prepared  https   t co pt00E3JIuY   Preparedness  BePrepared  NatlPrep https   t co 9W4SfmjgSX,2021-09-19 18:00:00
14,en,CDCgov,146569971,True,1438971071282257924,"The virus that causes #COVID19 can change quickly and often, producing new types of the virus, or variants. Delta is still the most common variant in the U.S. Get vaccinated to help prevent new variants from emerging. More: https://t.co/F4bAyObDp1. https://t.co/ZcSPIHHl61",[],['COVID19'],[],['https://t.co/F4bAyObDp1'],USA,The virus that causes  COVID19 can change quickly and often  producing new types of the virus  or variants  Delta is still the most common variant in the U S  Get vaccinated to help prevent new variants from emerging  More  https   t co F4bAyObDp1  https   t co ZcSPIHHl61,2021-09-17 21:00:00
15,en,CDCgov,146569971,True,1438964733416288261,"COVID-NET data show hospitalization rates for children are surging. For the week ending 8/28, the #COVID19 hospitalization rate for children ages 4 yrs. &amp; younger was the highest recorded. All children 2 yrs. &amp; older should #MaskUp in indoor public spaces. https://t.co/mMMus2BuPg https://t.co/zjuikjmVTm",[],"['COVID19', 'MaskUp']",[],['https://t.co/mMMus2BuPg'],USA,COVID NET data show hospitalization rates for children are surging  For the week ending 8 28  the  COVID19 hospitalization rate for children ages 4 yrs   amp  younger was the highest recorded  All children 2 yrs   amp  older should  MaskUp in indoor public spaces  https   t co mMMus2BuPg https   t co zjuikjmVTm,2021-09-17 21:00:00
16,en,CDCgov,146569971,True,1438957182893137928,"NEW OUTBREAK: CDC is investigating a fast-growing Salmonella outbreak. The source is unknown, but investigators are working quickly to identify a food linked to illness. Info on what you can do: https://t.co/SH3Iy7JeEG. https://t.co/uhNm9EINbi",[],[],[],['https://t.co/SH3Iy7JeEG'],USA,NEW OUTBREAK  CDC is investigating a fast growing Salmonella outbreak  The source is unknown  but investigators are working quickly to identify a food linked to illness  Info on what you can do  https   t co SH3Iy7JeEG  https   t co uhNm9EINbi,2021-09-17 20:00:00
17,en,CDCgov,146569971,True,1438944102071119875,"Regular COVID-19 testing helps keep schools open and stop future outbreaks. Parents: If your school is offering regular #COVID19 testing, sign your child up. Learn more at https://t.co/2tVvXo4VXf. https://t.co/gBFKy58YCN",[],['COVID19'],[],['https://t.co/2tVvXo4VXf'],USA,Regular COVID 19 testing helps keep schools open and stop future outbreaks  Parents  If your school is offering regular  COVID19 testing  sign your child up  Learn more at https   t co 2tVvXo4VXf  https   t co gBFKy58YCN,2021-09-17 19:00:00
18,en,CDCgov,146569971,True,1438933291818790912,"#COVID19 diagnostic tests can detect all variants but won't tell you which variant you have. If you test positive, your sample may be sent to CDC or partners for sequencing, a lab technique that analyzes your sample to tell which variant is present. https://t.co/vQ2ABTmDAT https://t.co/inMwoaYtXt",[],['COVID19'],[],['https://t.co/vQ2ABTmDAT'],USA, COVID19 diagnostic tests can detect all variants but won t tell you which variant you have  If you test positive  your sample may be sent to CDC or partners for sequencing  a lab technique that analyzes your sample to tell which variant is present  https   t co vQ2ABTmDAT https   t co inMwoaYtXt,2021-09-17 19:00:00
