,tweet_lang,poi_name,poi_id,verified,id,tweet_text,tweet_emoticons,hashtags,mentions,tweet_urls,country,text_es,tweet_date,text_en
0,es,Claudiashein,591361197,True,1440903551836905472,No te lo pierdas https://t.co/HxR7KH7yeL,[],[],[],['https://t.co/HxR7KH7yeL'],Mexico,No te lo pierdas https   t co HxR7KH7yeL,2021-09-23 05:00:00,
1,es,Claudiashein,591361197,True,1440886552666726400,"Buenas noches, comparto el informe diario de la situación de la Ciudad frente al #COVID19. 

https://t.co/nEKvFrFPP1

#ProtégeteYProtegeALosDemás https://t.co/cWnanu4s4N",[],"['COVID19', 'ProtégeteYProtegeALosDemás']",[],['https://t.co/nEKvFrFPP1'],Mexico,Buenas noches  comparto el informe diario de la situación de la Ciudad frente al  COVID19  https   t co nEKvFrFPP1 ProtégeteYProtegeALosDemás https   t co cWnanu4s4N,2021-09-23 04:00:00,
2,es,Claudiashein,591361197,True,1440847814083297282,"Para nuestro proyecto, estar conectados📲💻 es una necesidad y un derecho, no un privilegio.

Con 17 mil puntos públicos de 📶 internet gratuito en la Ciudad, garantizamos el acceso a la tecnología. 

🌐Con internet para todas y todos, #LaTransformaciónAvanza. https://t.co/nH0ev0WwRU","['📲', '🌐', '💻', '📶']",['LaTransformaciónAvanza'],[],[],Mexico,Para nuestro proyecto  estar conectados es una necesidad y un derecho  no un privilegio Con 17 mil puntos públicos de  internet gratuito en la Ciudad  garantizamos el acceso a la tecnología  Con internet para todas y todos   LaTransformaciónAvanza  https   t co nH0ev0WwRU,2021-09-23 01:00:00,
3,es,Claudiashein,591361197,True,1440825347432280068,"Con más y mejor policía; capacitada; con mejores prestaciones y cercana a la gente, 👮🏽‍♀️👮🏻👮🏽‍♂️redujimos 50% los delitos de alto impacto en la Ciudad de México ✅
#LaTransformaciónAvanza https://t.co/hXvD14p3Ir","['👮🏽\u200d♂️', '👮🏻', '👮🏽\u200d♀️', '✅']",['LaTransformaciónAvanza'],[],[],Mexico,Con más y mejor policía  capacitada  con mejores prestaciones y cercana a la gente  redujimos 50  los delitos de alto impacto en la Ciudad de México  LaTransformaciónAvanza https   t co hXvD14p3Ir,2021-09-23 00:00:00,
4,es,Claudiashein,591361197,True,1440800503886057472,Timbre postal. 100 años del escudo de la @UNAM_MX Goya! https://t.co/ffZrylInxA,[],[],['UNAM_MX'],[],Mexico,Timbre postal  100 años del escudo de la  UNAM MX Goya  https   t co ffZrylInxA,2021-09-22 22:00:00,
5,es,Claudiashein,591361197,True,1440795050191900682,"Después de la Cancelación de la Estampilla Postal de la @UNAM_MX, que se realizó en el Palacio de Minería, caminamos rumbo al zócalo. 
#DíaMundialSinAuto https://t.co/L4Zlo5HDmT",[],['DíaMundialSinAuto'],['UNAM_MX'],[],Mexico,Después de la Cancelación de la Estampilla Postal de la  UNAM MX  que se realizó en el Palacio de Minería  caminamos rumbo al zócalo   DíaMundialSinAuto https   t co L4Zlo5HDmT,2021-09-22 22:00:00,
6,es,Claudiashein,591361197,True,1440764036740640769,"Como universitaria, me siento orgullosa de la Cancelación de la Estampilla Postal de los 100 años del escudo y lema de la @UNAM_MX. 
La Universidad más grande de México, donde nos hemos formado muchas generaciones de mexicanas y mexicanos. https://t.co/wAmPKtsk1R",[],[],['UNAM_MX'],[],Mexico,Como universitaria  me siento orgullosa de la Cancelación de la Estampilla Postal de los 100 años del escudo y lema de la  UNAM MX  La Universidad más grande de México  donde nos hemos formado muchas generaciones de mexicanas y mexicanos  https   t co wAmPKtsk1R,2021-09-22 20:00:00,
7,es,Claudiashein,591361197,True,1440729387305889797,"Hoy en el #DíaMundialSinAuto, inauguramos un nuevo biciestacionamiento 🚲 en la estación del @MetroCDMX Escuadrón 201, el sexto en la Ciudad. 

Con estas acciones, promovemos el uso de la bicicleta 🚴 🚴‍♂️ 🚴‍♀️

#CiudadSustentable https://t.co/ik5mGSJzVu","['🚴', '🚴\u200d♀️', '🚲', '🚴\u200d♂️']","['DíaMundialSinAuto', 'CiudadSustentable']",['MetroCDMX'],[],Mexico,Hoy en el  DíaMundialSinAuto  inauguramos un nuevo biciestacionamiento  en la estación del  MetroCDMX Escuadrón 201  el sexto en la Ciudad  Con estas acciones  promovemos el uso de la bicicleta    CiudadSustentable https   t co ik5mGSJzVu,2021-09-22 17:00:00,
8,es,Claudiashein,591361197,True,1440711324502167559,"#EnVivo 🔴🎥 Con motivo del #DíaMundialSinAuto, inauguramos el Biciestacionamiento ubicado en la estación del @MetroCDMX Escuadrón 201. 🚲🚲🚲
#CiudadSustentable https://t.co/7aCbV6nXvS","['🎥', '🚲', '🔴']","['EnVivo', 'DíaMundialSinAuto', 'CiudadSustentable']",['MetroCDMX'],['https://t.co/7aCbV6nXvS'],Mexico, EnVivo  Con motivo del  DíaMundialSinAuto  inauguramos el Biciestacionamiento ubicado en la estación del  MetroCDMX Escuadrón 201   CiudadSustentable https   t co 7aCbV6nXvS,2021-09-22 16:00:00,
9,es,Claudiashein,591361197,True,1440685287584067587,"Vacunación contra #COVID19

Hoy les toca a las personas que su 1er apellido empieza con letra D, E, F y G.

💉Aplicación de 2a dosis a adultos de 30 a 39 años de📍Álvaro Obregón, Cuajimalpa y Xochimilco.

💉Aplicación de 2a dosis a adultos de 18 a 29 años de 📍Gustavo A. Madero. https://t.co/x5iZ2wTIAC","['📍', '💉']",['COVID19'],[],[],Mexico,Vacunación contra  COVID19Hoy les toca a las personas que su 1er apellido empieza con letra D  E  F y G Aplicación de 2a dosis a adultos de 30 a 39 años deÁlvaro Obregón  Cuajimalpa y Xochimilco Aplicación de 2a dosis a adultos de 18 a 29 años de Gustavo A  Madero  https   t co x5iZ2wTIAC,2021-09-22 15:00:00,
