,tweet_lang,poi_name,poi_id,verified,id,tweet_text,tweet_emoticons,hashtags,mentions,tweet_urls,country,text_es,tweet_date,text_en
0,es,EPN,2897441,True,1419681726230458373,"Lamento profundamente el fallecimiento de René @JuarezCisneros,destacado político y servidor público que dedicó su vida al bienestar de Guerrero y de México. Mis condolencias para sus familiares y amigos. Descanse en paz.",[],[],['JuarezCisneros'],[],Mexico,Lamento profundamente el fallecimiento de René  JuarezCisneros destacado político y servidor público que dedicó su vida al bienestar de Guerrero y de México  Mis condolencias para sus familiares y amigos  Descanse en paz ,2021-07-26 16:00:00,
1,es,EPN,2897441,True,1372216010242027520,"Lamento profundamente el fallecimiento de Sylvia Sánchez Estrada, esposa de @MFBeltrones y madre de @sylbeltrones. A ambos les expreso mi solidaridad y condolencias, así como para sus seres queridos. Descanse en Paz.",['xp'],[],"['MFBeltrones', 'sylbeltrones']",[],Mexico,Lamento profundamente el fallecimiento de Sylvia Sánchez Estrada  esposa de  MFBeltrones y madre de  sylbeltrones  A ambos les ereso mi solidaridad y condolencias  así como para sus seres queridos  Descanse en Paz ,2021-03-17 16:00:00,
2,es,EPN,2897441,True,1353524785532203011,Lamento que el Presidente @lopezobrador_ esté contagiado de COVID-19.  Le deseo una pronta y  satisfactoria recuperación.,[],[],['lopezobrador_'],[],Mexico,Lamento que el Presidente  lopezobrador  esté contagiado de COVID 19   Le deseo una pronta y  satisfactoria recuperación ,2021-01-25 02:00:00,
3,es,EPN,2897441,True,1341398757250920450,"Lamento profundamente el fallecimiento de Juan Bustillos, periodista y director de Impacto, con quien tuve el gusto de forjar una sólida amistad, caracterizada por la franqueza y la confianza. Mis condolencias para su familia, amigos y colaboradores en este difícil momento.",[],[],[],[],Mexico,Lamento profundamente el fallecimiento de Juan Bustillos  periodista y director de Impacto  con quien tuve el gusto de forjar una sólida amistad  caracterizada por la franqueza y la confianza  Mis condolencias para su familia  amigos y colaboradores en este difícil momento ,2020-12-22 15:00:00,
4,es,EPN,2897441,True,1339636372273950720,"Expreso mi más sentido pésame a la familia Coello Garrido, por el sensible fallecimiento de Don Fernando Coello Pedrero, abuelo de mi querido amigo  @VelascoM_. Mi solidaridad con familiares y amigos. Que descanse en paz.",['xp'],[],['VelascoM_'],[],Mexico,Ereso mi más sentido pésame a la familia Coello Garrido  por el sensible fallecimiento de Don Fernando Coello Pedrero  abuelo de mi querido amigo   VelascoM   Mi solidaridad con familiares y amigos  Que descanse en paz ,2020-12-17 18:00:00,
5,es,EPN,2897441,True,1329156247204061184,"Expreso mis sentidas condolencias al Presidente Andrés Manuel @lopezobrador_ y a su familia, por el fallecimiento de la Profesora Candelaria Beatriz López Obrador.  Descanse en paz.",['xp'],[],['lopezobrador_'],[],Mexico,Ereso mis sentidas condolencias al Presidente Andrés Manuel  lopezobrador  y a su familia  por el fallecimiento de la Profesora Candelaria Beatriz López Obrador   Descanse en paz ,2020-11-18 20:00:00,
6,es,EPN,2897441,True,1250416024123367430,"Mis más sentidas condolencias por el fallecimiento del Lic. Ignacio Pichardo Pagaza, Exgobernador del Estado de México; hombre honorable y destacado político Mexiquense con una gran trayectoria dentro del servicio Público. Abrazo solidario a su familia y amigos. Descanse en paz.",[],[],[],[],Mexico,Mis más sentidas condolencias por el fallecimiento del Lic  Ignacio Pichardo Pagaza  Exgobernador del Estado de México  hombre honorable y destacado político Mexiquense con una gran trayectoria dentro del servicio Público  Abrazo solidario a su familia y amigos  Descanse en paz ,2020-04-15 13:00:00,
7,es,EPN,2897441,True,1245457105861001217,"Lamento profundamente el fallecimiento de mi amigo y excolaborador, Gerardo Ruiz Esparza, gran ser humano y servidor público de excelencia; responsable de importantes proyectos de infraestructura en todo México. Mi más sentido pésame y abrazo solidario a su familia y amigos. QEPD",[],[],[],[],Mexico,Lamento profundamente el fallecimiento de mi amigo y excolaborador  Gerardo Ruiz Esparza  gran ser humano y servidor público de excelencia  responsable de importantes proyectos de infraestructura en todo México  Mi más sentido pésame y abrazo solidario a su familia y amigos  QEPD,2020-04-01 21:00:00,
8,es,EPN,2897441,True,1141022312747143168,"Rechazo categóricamente las falsas imputaciones en mi contra, publicadas esta mañana en distintos medios y atribuidas a un supuesto informante. No es la primera vez que se pretende inculparme de mala fe y sin fundamento alguno. Por supuesto, mienten.",[],[],[],[],Mexico,Rechazo categóricamente las falsas imputaciones en mi contra  publicadas esta mañana en distintos medios y atribuidas a un supuesto informante  No es la primera vez que se pretende inculparme de mala fe y sin fundamento alguno  Por supuesto  mienten ,2019-06-18 17:00:00,
9,es,EPN,2897441,True,1122227679757991936,María de los Ángeles Moreno tuvo una valiosa trayectoria de servicio a México desde distintos ámbitos de la vida pública. Envío mi sentido pésame a sus familiares y amigos. Descanse en paz @MMorenoU,[],[],['MMorenoU'],[],Mexico,María de los Ángeles Moreno tuvo una valiosa trayectoria de servicio a México desde distintos ámbitos de la vida pública  Envío mi sentido pésame a sus familiares y amigos  Descanse en paz  MMorenoU,2019-04-27 20:00:00,
