,tweet_lang,replied_to_tweet_id,replied_to_user_id,reply_text,id,verified,text_es,tweet_date,country,tweet_text,tweet_emoticons,hashtags,mentions,tweet_urls
0,es,1440420576602906625,1154180084078501889, HLGatell Debemos seguir cuidándonos no lo olviden ,1440554452419637248,False, HLGatell Debemos seguir cuidándonos no lo olviden ,2021-09-22T05:52:00.000Z,Mexico,@HLGatell Debemos seguir cuidándonos no lo olviden 😉😉,['😉'],[],['HLGatell'],[]
1,es,1440420576602906625,1154180084078501889, LEYVAZH  HLGatell Y desafortunadamente las muertes en México y en el mundo seguirán mientras la pandemia no se acabe   ,1440553701651845122,False, LEYVAZH  HLGatell Y desafortunadamente las muertes en México y en el mundo seguirán mientras la pandemia no se acabe   ,2021-09-22T05:49:01.000Z,Mexico,@LEYVAZH @HLGatell Y desafortunadamente las muertes en México y en el mundo seguirán mientras la pandemia no se acabe :/,[],[],"['LEYVAZH', 'HLGatell']",[]
2,es,1440420576602906625,1154180084078501889, HLGatell La medida de prevención contra el covid 19 y sus variantes  cualesquiera de ellas  sería que usted presentara su inmediata renuncia  Por mentiroso  obsequioso e incompetente ,1440548763605422094,False, HLGatell La medida de prevención contra el covid 19 y sus variantes  cualesquiera de ellas  sería que usted presentara su inmediata renuncia  Por mentiroso  obsequioso e incompetente ,2021-09-22T05:29:24.000Z,Mexico,"@HLGatell La medida de prevención contra el covid 19 y sus variantes, cualesquiera de ellas, sería que usted presentara su inmediata renuncia. Por mentiroso, obsequioso e incompetente.",[],[],['HLGatell'],['https://t.co/GA157Son6Y']
3,es,1440420576602906625,1154180084078501889, HLGatell Muchas gracias Dr Gatell,1440544006002282498,False, HLGatell Muchas gracias Dr Gatell,2021-09-22T05:10:29.000Z,Mexico,@HLGatell Muchas gracias Dr Gatell,[],[],['HLGatell'],[]
4,es,1440420576602906625,1154180084078501889, Tupeorp39518112  cravenautumn  HLGatell Sólo el fifí mide la inteligencia en seguidores de Twitter     ,1440533388922744832,False, Tupeorp39518112  cravenautumn  HLGatell Sólo el fifí mide la inteligencia en seguidores de Twitter     ,2021-09-22T04:28:18.000Z,Mexico,@Tupeorp39518112 @cravenautumn @HLGatell Sólo el fifí mide la inteligencia en seguidores de Twitter...  🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣,['🤣'],[],"['Tupeorp39518112', 'cravenautumn', 'HLGatell']",[]
5,es,1440420576602906625,1154180084078501889, Tupeorp39518112  cravenautumn  HLGatell P   ñ e t   s tu madre  T   r a d o ,1440533030838231043,False, Tupeorp39518112  cravenautumn  HLGatell P   ñ e t   s tu madre  T   r a d o ,2021-09-22T04:26:53.000Z,Mexico,@Tupeorp39518112 @cravenautumn @HLGatell P * ñ e t * s tu madre. T * r a d o.,[],[],"['Tupeorp39518112', 'cravenautumn', 'HLGatell']",[]
6,es,1440420576602906625,1154180084078501889, fjrsoyson  HLGatell Los 2 juntos van y CHINGan SM ,1440531625197015047,False, fjrsoyson  HLGatell Los 2 juntos van y CHINGan SM ,2021-09-22T04:21:17.000Z,Mexico,@fjrsoyson @HLGatell Los 2 juntos van y CHINGan SM.,[],[],"['fjrsoyson', 'HLGatell']",[]
7,es,1440420576602906625,1154180084078501889, HLGatell ¿Es cierto que los Cubanos que lo ayudaron no eran médicos titulados ,1440524470741962755,False, HLGatell ¿Es cierto que los Cubanos que lo ayudaron no eran médicos titulados ,2021-09-22T03:52:52.000Z,Mexico,@HLGatell ¿Es cierto que los Cubanos que lo ayudaron no eran médicos titulados?,[],[],['HLGatell'],[]
8,es,1440420576602906625,1154180084078501889, HLGatell En verdad    elíqueme porque no reciben pacientes los hospitales de la raza   24  48 del imss   siendo que ya bajo SU pandemia,1440521860332998662,False, HLGatell En verdad    elíqueme porque no reciben pacientes los hospitales de la raza   24  48 del imss   siendo que ya bajo SU pandemia,2021-09-22T03:42:29.000Z,Mexico,"@HLGatell En verdad? , explíqueme porque no reciben pacientes los hospitales de la raza , 24, 48 del imss , siendo que ya bajo SU pandemia",['xp'],[],['HLGatell'],[]
9,es,1440420576602906625,1154180084078501889, gmiagro2021  sfajardoo  HLGatell  No sabia      https   t co fQuAIwTu64,1440510803124228101,False, gmiagro2021  sfajardoo  HLGatell  No sabia      https   t co fQuAIwTu64,2021-09-22T02:58:33.000Z,Mexico,"@gmiagro2021 @sfajardoo @HLGatell ""No sabia...."" https://t.co/fQuAIwTu64",[],[],"['gmiagro2021', 'sfajardoo', 'HLGatell']",[]
