,tweet_lang,poi_name,poi_id,verified,id,tweet_text,tweet_emoticons,hashtags,mentions,tweet_urls,country,text_en,tweet_date,text_es
0,en,HillaryClinton,1339835893,True,1440018755120254986,"In her personal story of crisis and transformation, @slaughterAM shows us how renewal can be a process of looking backward and forward at the same time—facing our past with honesty and looking to the future with confidence and purpose. 

Pick up this book. https://t.co/2nBC5STROV",[],[],['SlaughterAM'],['https://t.co/2nBC5STROV'],USA,In her personal story of crisis and transformation   slaughterAM shows us how renewal can be a process of looking backward and forward at the same time—facing our past with honesty and looking to the future with confidence and purpose  Pick up this book  https   t co 2nBC5STROV,2021-09-20 18:00:00,
1,en,HillaryClinton,1339835893,True,1440004903192174597,"It's been a bit delayed because of the pandemic. But I'm honored to be formally installed as the chancellor of @QUBelfast this week. 

Pro tanto quid retribuamus?

https://t.co/oPsIv1x2ZL",[],[],['QUBelfast'],['https://t.co/oPsIv1x2ZL'],USA,It s been a bit delayed because of the pandemic  But I m honored to be formally installed as the chancellor of  QUBelfast this week  Pro tanto quid retribuamus https   t co oPsIv1x2ZL,2021-09-20 17:00:00,
2,en,HillaryClinton,1339835893,True,1438902448442195971,"I have seen my friend @JustinTrudeau show leadership in the fight for accessible child care, protected reproductive rights, and ambitious climate action. 

I’m wishing him and our progressive Canadian neighbors the best in Monday's election.",[],[],['JustinTrudeau'],[],USA,I have seen my friend  JustinTrudeau show leadership in the fight for accessible child care  protected reproductive rights  and ambitious climate action  I’m wishing him and our progressive Canadian neighbors the best in Monday s election ,2021-09-17 16:00:00,
3,en,HillaryClinton,1339835893,True,1438492179761074176,"""I like the idea that I'm playing for someone else besides myself,"" @billiejeanking once said. 

She's done that all her life, and in her new book, ""All In,"" she tells her incredible story. Pick it up now. https://t.co/y6CNVxftPB https://t.co/qEuJlAONw8",[],[],['BillieJeanKing'],['https://t.co/y6CNVxftPB'],USA, I like the idea that I m playing for someone else besides myself    billiejeanking once said  She s done that all her life  and in her new book   All In   she tells her incredible story  Pick it up now  https   t co y6CNVxftPB https   t co qEuJlAONw8,2021-09-16 13:00:00,
4,en,HillaryClinton,1339835893,True,1438201382385946624,"Have a moment to help protect Virginia's Democratic majority? 

Write a letter (or two, or three!) before Saturday for @onwardtogether partner @swingleft's campaign with @votefwd to reach 1 million of the state's voters. https://t.co/FmrjEEpMdR",[],[],"['OnwardTogether', 'swingleft', 'votefwd']",['https://t.co/FmrjEEpMdR'],USA,Have a moment to help protect Virginia s Democratic majority  Write a letter  or two  or three   before Saturday for  onwardtogether partner  swingleft s campaign with  votefwd to reach 1 million of the state s voters  https   t co FmrjEEpMdR,2021-09-15 18:00:00,
5,en,HillaryClinton,1339835893,True,1438166583420100609,"News! The great @sallyqyates—who knows something about defending the Constitution—will join @lin_manuel, @tylerperry and me to talk about the urgent fight for voting rights. 

Don't wait to RSVP. https://t.co/MhPhPCsJEB https://t.co/fZ0OxC4Lgl",[],[],"['SallyQYates', 'Lin_Manuel', 'tylerperry']",['https://t.co/MhPhPCsJEB'],USA,News  The great  sallyqyates—who knows something about defending the Constitution—will join  lin manuel   tylerperry and me to talk about the urgent fight for voting rights  Don t wait to RSVP  https   t co MhPhPCsJEB https   t co fZ0OxC4Lgl,2021-09-15 16:00:00,
6,en,HillaryClinton,1339835893,True,1438152374460289026,"Congrats, Gov. Newsom, and congrats, California! https://t.co/ifcRZQH5EM",[],[],[],['https://t.co/ifcRZQH5EM'],USA,Congrats  Gov  Newsom  and congrats  California  https   t co ifcRZQH5EM,2021-09-15 15:00:00,
7,en,HillaryClinton,1339835893,True,1437912669420404737,Congratulations to Reta Jo Lewis on being nominated to run the Export-Import Bank.  She will be a great advocate for American businesses around the world. https://t.co/a0Ei17jZ28,['xp'],[],[],['https://t.co/a0Ei17jZ28'],USA,Congratulations to Reta Jo Lewis on being nominated to run the Eort Import Bank   She will be a great advocate for American businesses around the world  https   t co a0Ei17jZ28,2021-09-14 23:00:00,
8,en,HillaryClinton,1339835893,True,1437872135230402566,Here’s a wonderful new way to help. https://t.co/nAdhAtGRKE,[],[],[],['https://t.co/nAdhAtGRKE'],USA,Here’s a wonderful new way to help  https   t co nAdhAtGRKE,2021-09-14 20:00:00,
9,en,HillaryClinton,1339835893,True,1437814796980793349,"I highly recommend @AlecJRoss’s new book, out today. ""The Raging 2020s"" is an important investigation into how to restore the balance of power between government, citizens, and business.

https://t.co/epco4MY0KB https://t.co/hUXrIxIEUA",[],[],['AlecJRoss'],['https://t.co/epco4MY0KB'],USA,I highly recommend  AlecJRoss’s new book  out today   The Raging 2020s  is an important investigation into how to restore the balance of power between government  citizens  and business https   t co epco4MY0KB https   t co hUXrIxIEUA,2021-09-14 16:00:00,
10,en,HillaryClinton,1339835893,True,1437776592718151692,"Californians—don't sit out today's recall election. 

Vote NO on Question 1 to retain Gavin Newsom as governor and prevent a dangerous Trump follower from taking leadership of your state. 

Make your voice heard by mail (postmarked by today) or in person. https://t.co/bd7Z2rWVhx",[],[],[],['https://t.co/bd7Z2rWVhx'],USA,Californians—don t sit out today s recall election  Vote NO on Question 1 to retain Gavin Newsom as governor and prevent a dangerous Trump follower from taking leadership of your state  Make your voice heard by mail  postmarked by today  or in person  https   t co bd7Z2rWVhx,2021-09-14 14:00:00,
11,en,HillaryClinton,1339835893,True,1437766028193411075,"One night only: 

Join @Lin_Manuel, @TylerPerry, and me for a conversation about activism, art, and how to protect voting rights. 

See you there Sept. 29. https://t.co/BDME733ymQ https://t.co/7xcSmuJhnr",[],[],"['Lin_Manuel', 'tylerperry']",['https://t.co/BDME733ymQ'],USA,One night only  Join  Lin Manuel   TylerPerry  and me for a conversation about activism  art  and how to protect voting rights  See you there Sept  29  https   t co BDME733ymQ https   t co 7xcSmuJhnr,2021-09-14 13:00:00,
12,en,HillaryClinton,1339835893,True,1437443917205626882,Thanks for noticing. https://t.co/1fZ398UpZg,[],[],[],['https://t.co/1fZ398UpZg'],USA,Thanks for noticing  https   t co 1fZ398UpZg,2021-09-13 16:00:00,
13,en,HillaryClinton,1339835893,True,1437435820978450436,"Congratulations, @LaphonzaB. The mission of electing  pro-choice, Democratic women just became more important than ever, and I'm looking forward to working with you to do it. https://t.co/wRUsciB90k",[],[],['LaphonzaB'],['https://t.co/wRUsciB90k'],USA,Congratulations   LaphonzaB  The mission of electing  pro choice  Democratic women just became more important than ever  and I m looking forward to working with you to do it  https   t co wRUsciB90k,2021-09-13 15:00:00,
14,en,HillaryClinton,1339835893,True,1436768093481709580,"Thank you for showing us how we can both remember and serve, today and every day. https://t.co/FV8GTAahUE",[],[],[],['https://t.co/FV8GTAahUE'],USA,Thank you for showing us how we can both remember and serve  today and every day  https   t co FV8GTAahUE,2021-09-11 19:00:00,
15,en,HillaryClinton,1339835893,True,1436708936158171139,Twenty years on. We will never forget. https://t.co/4sClbwUNW5,[],[],[],[],USA,Twenty years on  We will never forget  https   t co 4sClbwUNW5,2021-09-11 15:00:00,
16,en,HillaryClinton,1339835893,True,1436352901409017857,"Our mission at @HiddenLightPrd is to celebrate the best of the human spirit and encourage us all to see the world in a new way. 

I'm proud that our new #YouTubeOriginals series, #JustOneThing, will do just that by sharing the voices of inspiring women. https://t.co/Lba6Eym1pA https://t.co/7FSA3noOJJ",[],"['YouTubeOriginals', 'JustOneThing']",['HiddenLightPrd'],['https://t.co/Lba6Eym1pA'],USA,Our mission at  HiddenLightPrd is to celebrate the best of the human spirit and encourage us all to see the world in a new way  I m proud that our new  YouTubeOriginals series   JustOneThing  will do just that by sharing the voices of inspiring women  https   t co Lba6Eym1pA https   t co 7FSA3noOJJ,2021-09-10 16:00:00,
17,en,HillaryClinton,1339835893,True,1436322775174635527,"To mark the 20th anniversary of 9/11, I want to invite you in to three conversations I had with people whose lives changed forever that day:

https://t.co/nEzfqQ2u8P",[],[],[],['https://t.co/nEzfqQ2u8P'],USA,To mark the 20th anniversary of 9 11  I want to invite you in to three conversations I had with people whose lives changed forever that day https   t co nEzfqQ2u8P,2021-09-10 14:00:00,
18,en,HillaryClinton,1339835893,True,1435651564660826116,"Every inch of progress we gain starts with the right to vote. And it’s under attack. 

Join me, @Lin_Manuel, &amp; @TylerPerry Sept. 29 for a live virtual conversation in support of groups combating suppression in communities of color in Georgia and beyond. 

https://t.co/WABqmQ58MN https://t.co/W8oLy0QqZQ",[],[],"['Lin_Manuel', 'tylerperry']",['https://t.co/WABqmQ58MN'],USA,Every inch of progress we gain starts with the right to vote  And it’s under attack  Join me   Lin Manuel   amp   TylerPerry Sept  29 for a live virtual conversation in support of groups combating suppression in communities of color in Georgia and beyond  https   t co WABqmQ58MN https   t co W8oLy0QqZQ,2021-09-08 17:00:00,
19,en,HillaryClinton,1339835893,True,1435285587829870606,"Love this tribute to @BillClinton, and love seeing all these familiar faces! https://t.co/aRbrokMHCj",[],[],['BillClinton'],['https://t.co/aRbrokMHCj'],USA,Love this tribute to  BillClinton  and love seeing all these familiar faces  https   t co aRbrokMHCj,2021-09-07 17:00:00,
20,en,HillaryClinton,1339835893,True,1435262432788746244,"I've always been a fan of Joan Allen. I'm thrilled that she'll narrate the audiobook edition of State of Terror, my fiction debut with Louise Penny. 

Get it October 12 from @SimonAudio. https://t.co/PnTI43nJss https://t.co/weuwVHfKrT",[],[],['SimonAudio'],['https://t.co/PnTI43nJss'],USA,I ve always been a fan of Joan Allen  I m thrilled that she ll narrate the audiobook edition of State of Terror  my fiction debut with Louise Penny  Get it October 12 from  SimonAudio  https   t co PnTI43nJss https   t co weuwVHfKrT,2021-09-07 15:00:00,
21,en,HillaryClinton,1339835893,True,1434866088265895937,"Happy Labor Day. For weekends, holidays, 40-hour weeks, workplace protections, and more, thank a labor organizer—and thank a union.",[],[],[],[],USA,Happy Labor Day  For weekends  holidays  40 hour weeks  workplace protections  and more  thank a labor organizer—and thank a union ,2021-09-06 13:00:00,
22,en,HillaryClinton,1339835893,True,1433805518599073794,"In our post-Roe reality, it’s more important than ever to elect state and local officials who will protect abortion access and reproductive freedom. 

Run for office to become one of them. 

@runforsomething will help. https://t.co/ZvOBT0vMTO",[],[],['runforsomething'],['https://t.co/ZvOBT0vMTO'],USA,In our post Roe reality  it’s more important than ever to elect state and local officials who will protect abortion access and reproductive freedom  Run for office to become one of them   runforsomething will help  https   t co ZvOBT0vMTO,2021-09-03 15:00:00,
23,en,HillaryClinton,1339835893,True,1433514829474578432,"Pat Hume was a gracious, determined force behind the achievement of peace in Ireland. She and her husband John both made the world a better place and set an example for us all. Sending my condolences to her family. https://t.co/cAC9IYrobq",[],[],[],['https://t.co/cAC9IYrobq'],USA,Pat Hume was a gracious  determined force behind the achievement of peace in Ireland  She and her husband John both made the world a better place and set an example for us all  Sending my condolences to her family  https   t co cAC9IYrobq,2021-09-02 20:00:00,
24,en,HillaryClinton,1339835893,True,1433455893262348288,"Last night, the Supreme Court officially overturned five decades of settled law and permitted Texas' unconstitutional abortion ban to stand. 

Yes: They gutted Roe v. Wade without hearing arguments, in a one-paragraph, unsigned 5-4 opinion issued in the middle of the night.",[],[],[],[],USA,Last night  the Supreme Court officially overturned five decades of settled law and permitted Texas  unconstitutional abortion ban to stand  Yes  They gutted Roe v  Wade without hearing arguments  in a one paragraph  unsigned 5 4 opinion issued in the middle of the night ,2021-09-02 16:00:00,
25,en,HillaryClinton,1339835893,True,1433093747856789504,"Under the cover of darkness, by choosing to do nothing, the Supreme Court allowed an unconstitutional abortion ban in Texas to go into effect last night.
Their decision doesn’t change the fact that reproductive rights are human rights. We'll fight for them.https://t.co/hp1N6G2S3M",[],[],[],['https://t.co/hp1N6G2S3M'],USA,Under the cover of darkness  by choosing to do nothing  the Supreme Court allowed an unconstitutional abortion ban in Texas to go into effect last night Their decision doesn’t change the fact that reproductive rights are human rights  We ll fight for them https   t co hp1N6G2S3M,2021-09-01 16:00:00,
26,en,HillaryClinton,1339835893,True,1432346458221596677,"Thinking of everyone in the path, and aftermath, of Ida. Please follow the guidance of your local officials and stay safe.",[],[],[],[],USA,Thinking of everyone in the path  and aftermath  of Ida  Please follow the guidance of your local officials and stay safe ,2021-08-30 14:00:00,
27,en,HillaryClinton,1339835893,True,1431283219211685889,"If you've ever looked at history and wondered what you would have been doing amid its most righteous fights, the answer is whatever you're doing right now. 

This weekend, march on for voting rights. https://t.co/7zUsOsowgJ https://t.co/dx0CKW8qy0",[],[],[],['https://t.co/7zUsOsowgJ'],USA,If you ve ever looked at history and wondered what you would have been doing amid its most righteous fights  the answer is whatever you re doing right now  This weekend  march on for voting rights  https   t co 7zUsOsowgJ https   t co dx0CKW8qy0,2021-08-27 16:00:00,
28,en,HillaryClinton,1339835893,True,1430517743430868998,"Racist, anti-democratic voter suppression laws are sweeping the country. Fight back by joining @OnwardTogether partners @alliance4youth, @wedemandjustice, @higherheights, @indivisibleteam, @votolatino and more this weekend to March On for Voting Rights. https://t.co/N2FR7n7QVk",[],[],"['OnwardTogether', 'alliance4youth', 'WeDemandJustice', 'HigherHeights', 'IndivisibleTeam', 'votolatino']",['https://t.co/N2FR7n7QVk'],USA,Racist  anti democratic voter suppression laws are sweeping the country  Fight back by joining  OnwardTogether partners  alliance4youth   wedemandjustice   higherheights   indivisibleteam   votolatino and more this weekend to March On for Voting Rights  https   t co N2FR7n7QVk,2021-08-25 13:00:00,
29,en,HillaryClinton,1339835893,True,1430177347068735498,"Kids are heading back to school over the next few weeks—and because they can't yet get vaccinated, adults around them need to step up. 

Ask a friend or family member to do their part to protect kids at https://t.co/rAGfELbV9Q.",[],[],[],['https://t.co/rAGfELbV9Q'],USA,Kids are heading back to school over the next few weeks—and because they can t yet get vaccinated  adults around them need to step up  Ask a friend or family member to do their part to protect kids at https   t co rAGfELbV9Q ,2021-08-24 15:00:00,
30,en,HillaryClinton,1339835893,True,1430149306363924530,"Congratulations to @GovKathyHochul, New York’s new—and first female—governor. She’s a remarkable public servant, tough as nails, and cares deeply about the people of New York State. Excelsior! https://t.co/d6o4Qm6ouW",[],[],['GovKathyHochul'],[],USA,Congratulations to  GovKathyHochul  New York’s new—and first female—governor  She’s a remarkable public servant  tough as nails  and cares deeply about the people of New York State  Excelsior  https   t co d6o4Qm6ouW,2021-08-24 13:00:00,
31,en,HillaryClinton,1339835893,True,1429842623766876165,Congrats to Karen Persichilli Keogh on being chosen as Secretary to the Governor. She was a trusted advisor when I had the honor of serving NY in the Senate. She has a steady hand &amp; knows every corner of the state. @KathyHochul has made a great choice in appointing her.,[],[],['KathyHochul'],[],USA,Congrats to Karen Persichilli Keogh on being chosen as Secretary to the Governor  She was a trusted advisor when I had the honor of serving NY in the Senate  She has a steady hand  amp  knows every corner of the state   KathyHochul has made a great choice in appointing her ,2021-08-23 16:00:00,
32,en,HillaryClinton,1339835893,True,1429812623743365128,"Thrilled to see one of our mightiest warriors for voting rights expand his practice. Congrats, Marc, and congrats to everyone in the new @eliaslawgroup. https://t.co/LyIRGmYoky",['xp'],[],['EliasLawGroup'],['https://t.co/LyIRGmYoky'],USA,Thrilled to see one of our mightiest warriors for voting rights eand his practice  Congrats  Marc  and congrats to everyone in the new  eliaslawgroup  https   t co LyIRGmYoky,2021-08-23 14:00:00,
33,en,HillaryClinton,1339835893,True,1429158993000378382,Have any Fox viewers in your life? Make sure they know that what the network says on TV doesn’t match its stance in real life. https://t.co/5l8KLt8ney,[],[],[],['https://t.co/5l8KLt8ney'],USA,Have any Fox viewers in your life  Make sure they know that what the network says on TV doesn’t match its stance in real life  https   t co 5l8KLt8ney,2021-08-21 19:00:00,
34,en,HillaryClinton,1339835893,True,1428745296100614146,".@lizshuler has worked her way up from union organizing to become the new president of the @AFLCIO, the first woman to serve in the role. 

She’ll fight for good, sustainable jobs for everyone, and I’m excited to help. 

Congratulations, Madam President.",[],[],"['lizshuler', 'AFLCIO']",[],USA,  lizshuler has worked her way up from union organizing to become the new president of the  AFLCIO  the first woman to serve in the role  She’ll fight for good  sustainable jobs for everyone  and I’m excited to help  Congratulations  Madam President ,2021-08-20 16:00:00,
