,tweet_lang,poi_name,poi_id,verified,id,tweet_text,tweet_emoticons,hashtags,mentions,tweet_urls,country,text_en,tweet_date,text_es
0,en,JoeBiden,939091,True,1440481472855494657,"As we pursue diplomacy across the board, the U.S. will champion the democratic values that go to the very heart of who we are as a nation and a people—freedom, equality, opportunity, and a belief in the universal rights of all people. 

It's stamped into our DNA as a nation.",[],[],[],[],USA,As we pursue diplomacy across the board  the U S  will champion the democratic values that go to the very heart of who we are as a nation and a people—freedom  equality  opportunity  and a belief in the universal rights of all people  It s stamped into our DNA as a nation ,2021-09-22 01:00:00,
1,en,JoeBiden,939091,True,1440453789090152458,"For the first time in 20 years, the United States is not at war. We’ve turned the page.

All the unmatched strength, energy, commitment, will, and resources of our nation are now fully and squarely focused on what’s ahead of us, not what was behind. https://t.co/4n3HlIiUlY",[],[],[],[],USA,For the first time in 20 years  the United States is not at war  We’ve turned the page All the unmatched strength  energy  commitment  will  and resources of our nation are now fully and squarely focused on what’s ahead of us  not what was behind  https   t co 4n3HlIiUlY,2021-09-21 23:00:00,
2,en,JoeBiden,939091,True,1440428877822660608,"As we recover from this crisis, we must put in place a long-term plan to increase opportunities with better jobs and higher wages; a plan that will lower the everyday costs that strain our budgets and our nation’s families.

Our Build Back Better Agenda will get it done.",[],[],[],[],USA,As we recover from this crisis  we must put in place a long term plan to increase opportunities with better jobs and higher wages  a plan that will lower the everyday costs that strain our budgets and our nation’s families Our Build Back Better Agenda will get it done ,2021-09-21 22:00:00,
3,en,JoeBiden,939091,True,1440377300948643841,"The evidence is clear: climate change poses an existential threat. If we don't stay below 1.5°C of global temperature rise, we're in deep trouble.  

We need to build back better by investing in clean energy, cutting emissions, and fighting climate change head on.",[],[],[],[],USA,The evidence is clear  climate change poses an existential threat  If we don t stay below 1 5°C of global temperature rise  we re in deep trouble   We need to build back better by investing in clean energy  cutting emissions  and fighting climate change head on ,2021-09-21 18:00:00,
4,en,JoeBiden,939091,True,1440120847142895624,"This summer alone, over 100 million Americans and the communities they call home have been affected by extreme weather.  

We can’t just rebuild, we have to build back better. We have to invest in climate resilience to protect our communities and work to cut carbon emissions.",[],[],[],[],USA,This summer alone  over 100 million Americans and the communities they call home have been affected by extreme weather   We can’t just rebuild  we have to build back better  We have to invest in climate resilience to protect our communities and work to cut carbon emissions ,2021-09-21 01:00:00,
5,en,JoeBiden,939091,True,1439975893250740225,"Our Build Back Better Agenda will invest in working families by cutting taxes, lowering prescription drug prices and health care costs, and reducing the cost of child care. 

We’ll build our economy from the bottom up and middle out.",[],[],[],[],USA,Our Build Back Better Agenda will invest in working families by cutting taxes  lowering prescription drug prices and health care costs  and reducing the cost of child care  We’ll build our economy from the bottom up and middle out ,2021-09-20 16:00:00,
6,en,JoeBiden,939091,True,1439607728016609286,"Past presidents have cut taxes for the wealthy and biggest corporations with the promise of economic growth.

It doesn't work.

The ultra-wealthy and corporations must pay their fair share—which will lower costs for the middle class.",[],[],[],[],USA,Past presidents have cut taxes for the wealthy and biggest corporations with the promise of economic growth It doesn t work The ultra wealthy and corporations must pay their fair share—which will lower costs for the middle class ,2021-09-19 15:00:00,
7,en,JoeBiden,939091,True,1439266438997553155,"Our Build Back Better Agenda is a historic investment in middle-class families. It will be paid for by reforming the tax code to make sure the wealthiest Americans and largest corporations pay their fair share.

No one earning under $400,000 will pay a penny more in taxes.",[],[],[],[],USA,Our Build Back Better Agenda is a historic investment in middle class families  It will be paid for by reforming the tax code to make sure the wealthiest Americans and largest corporations pay their fair share No one earning under  400 000 will pay a penny more in taxes ,2021-09-18 17:00:00,
8,en,JoeBiden,939091,True,1439228469028794368,Virtually all of the COVID deaths and hospitalizations are from unvaccinated people. Get your shot.,[],[],[],[],USA,Virtually all of the COVID deaths and hospitalizations are from unvaccinated people  Get your shot ,2021-09-18 14:00:00,
9,en,JoeBiden,939091,True,1438987881545076738,"We can build an economy that gives working people a fair shot. 
We can restore some sanity and fairness to our tax code. 
We can make the investments that we know are long overdue in this nation. 

That's exactly what my Bipartisan Infrastructure Plan does.",[],[],[],[],USA,We can build an economy that gives working people a fair shot  We can restore some sanity and fairness to our tax code  We can make the investments that we know are long overdue in this nation  That s exactly what my Bipartisan Infrastructure Plan does ,2021-09-17 22:00:00,
10,en,JoeBiden,939091,True,1438944345881812999,"Our Build Back Better agenda takes on the existential threat of climate change directly by investing in clean energy, creating good-paying, union jobs, and working to stop the climate crisis’s most disastrous impacts on working families.",[],[],[],[],USA,Our Build Back Better agenda takes on the existential threat of climate change directly by investing in clean energy  creating good paying  union jobs  and working to stop the climate crisis’s most disastrous impacts on working families ,2021-09-17 19:00:00,
11,en,JoeBiden,939091,True,1438891499463262222,"Big corporations and the super wealthy have to start paying their fair share of taxes. It’s long overdue. 

I'm not out to punish anyone. All I'm asking is that you pay your fair share—just like middle-class folks do.",[],[],[],[],USA,Big corporations and the super wealthy have to start paying their fair share of taxes  It’s long overdue  I m not out to punish anyone  All I m asking is that you pay your fair share—just like middle class folks do ,2021-09-17 16:00:00,
12,en,JoeBiden,939091,True,1438678843213037570,"When big corporations and the wealthy pay their fair share, we are able to invest in America. https://t.co/b2U1BgSdjP",[],[],[],[],USA,When big corporations and the wealthy pay their fair share  we are able to invest in America  https   t co b2U1BgSdjP,2021-09-17 02:00:00,
13,en,JoeBiden,939091,True,1438649149738700809,"Republican governors in states like Texas and Florida are doing everything they can to undermine the public health requirements that keep people safe.

They're playing politics with the lives of their citizens, especially children. I refuse to give in to it.",[],[],[],[],USA,Republican governors in states like Texas and Florida are doing everything they can to undermine the public health requirements that keep people safe They re playing politics with the lives of their citizens  especially children  I refuse to give in to it ,2021-09-17 00:00:00,
14,en,JoeBiden,939091,True,1438620810491613187,"This is our moment to prove to the American people that their government works for them, not just for the big corporations and those at the very top. https://t.co/Ie9keqGYqk",[],[],[],[],USA,This is our moment to prove to the American people that their government works for them  not just for the big corporations and those at the very top  https   t co Ie9keqGYqk,2021-09-16 22:00:00,
15,en,JoeBiden,939091,True,1438535418841116676,"The Build Back Better Agenda will lower the costs of:
✅ Child care
✅ Higher education
✅ Prescription drugs
✅ Health care
✅ Housing

And we’ll do it by making the wealthiest and large corporations pay their fair share.",['✅'],[],[],[],USA,The Build Back Better Agenda will lower the costs of  Child care Higher education Prescription drugs Health care HousingAnd we’ll do it by making the wealthiest and large corporations pay their fair share ,2021-09-16 16:00:00,
16,en,JoeBiden,939091,True,1438223300489056261,"Congratulations Governor @GavinNewsom on defeating the recall. This vote is a resounding win for the approach that he and I share to beating the pandemic: strong vaccine requirements, steps to reopen schools safely, and plans to help those who get sick.",[],[],['GavinNewsom'],[],USA,Congratulations Governor  GavinNewsom on defeating the recall  This vote is a resounding win for the approach that he and I share to beating the pandemic  strong vaccine requirements  steps to reopen schools safely  and plans to help those who get sick ,2021-09-15 19:00:00,
17,en,JoeBiden,939091,True,1437883965168312322,"California, the eyes of the nation are on you. Vote NO on the recall before polls close at 8pm to keep @GavinNewsom as governor and keep moving our country forward. https://t.co/uV4UbFsSBF",[],[],['GavinNewsom'],[],USA,California  the eyes of the nation are on you  Vote NO on the recall before polls close at 8pm to keep  GavinNewsom as governor and keep moving our country forward  https   t co uV4UbFsSBF,2021-09-14 21:00:00,
18,en,JoeBiden,939091,True,1437842363678957584,"California, Election Day is today. On behalf of people all across America, don’t take anything for granted. If you want to vote in person, make sure you know where you’re going to vote. If you’ve already voted, make sure your family and friends are voting. Vote no on the recall. https://t.co/Y9DFAZej6S",[],[],[],[],USA,California  Election Day is today  On behalf of people all across America  don’t take anything for granted  If you want to vote in person  make sure you know where you’re going to vote  If you’ve already voted  make sure your family and friends are voting  Vote no on the recall  https   t co Y9DFAZej6S,2021-09-14 18:00:00,
19,en,JoeBiden,939091,True,1437816410659430402,"California, vote to keep @GavinNewsom your governor. The rest of America is counting on you, and so am I. https://t.co/mYnR2isUjI",[],[],['GavinNewsom'],[],USA,California  vote to keep  GavinNewsom your governor  The rest of America is counting on you  and so am I  https   t co mYnR2isUjI,2021-09-14 17:00:00,
