,tweet_lang,replied_to_tweet_id,replied_to_user_id,reply_text,id,verified,text_en,tweet_date,country,tweet_text,tweet_emoticons,hashtags,mentions,tweet_urls,text_es
0,en,1440481472855494657,939091, JoeBiden Honorable US President Joybeid  will you negotiate if the attack on Ethiopia is carried out against the United States  The United States has negotiated with the Taliban  al Shabab and other terrorists group   JoeBidenBackoff   POTUS  SecBlinken  ,1440561952158191625,False, JoeBiden Honorable US President Joybeid  will you negotiate if the attack on Ethiopia is carried out against the United States  The United States has negotiated with the Taliban  al Shabab and other terrorists group   JoeBidenBackoff   POTUS  SecBlinken  ,2021-09-22T06:21:48.000Z,USA,"@JoeBiden Honorable US President Joybeid, will you negotiate if the attack on Ethiopia is carried out against the United States? The United States has negotiated with the Taliban, al-Shabab and other terrorists group? #JoeBidenBackoff  @POTUS @SecBlinken #",[],[],['JoeBiden'],['https://t.co/aed4gzT0AN'],
1,en,1440481472855494657,939091, JoeBiden The practice of therapy of the future  is at your disposal during this period of confinement 24 h 24 quantum therapy care from home and prayer wheel Protect your family  donate for humanity We must stay united in love  we are all one in the universe https   t co 0MaurEvg2N,1440561806804545536,False, JoeBiden The practice of therapy of the future  is at your disposal during this period of confinement 24 h 24 quantum therapy care from home and prayer wheel Protect your family  donate for humanity We must stay united in love  we are all one in the universe https   t co 0MaurEvg2N,2021-09-22T06:21:13.000Z,USA,"@JoeBiden The practice of therapy of the future  is at your disposal during this period of confinement.
24 h/24 quantum therapy care from home and prayer wheel.
Protect your family, donate for humanity.
We must stay united in love, we are all one in the universe.❤️

https://t.co/0MaurEvg2N",['❤️'],[],['JoeBiden'],['https://t.co/SMI3ojP0fs'],
2,es,1440481472855494657,939091, JoeBiden is versus migra police,1440561769450143756,False,,2021-09-22T06:21:04.000Z,USA,@JoeBiden is versus migra police,[],[],['JoeBiden'],[], JoeBiden is versus migra police
3,en,1440481472855494657,939091, JoeBiden  CIA  POTUS  KingSalman  OPECSecretariat  UN  UN PGA  KremlinRussia E  xijinping  10DowningStreet  EmmanuelMacron  G7  JPN PMO  CDUMerkel  JustinTrudeau  GiuseppeConteIT AGENDA for  PMOIndia    UN General Assembly https   t co h5bu1e049y,1440561684569935879,False, JoeBiden  CIA  POTUS  KingSalman  OPECSecretariat  UN  UN PGA  KremlinRussia E  xijinping  10DowningStreet  EmmanuelMacron  G7  JPN PMO  CDUMerkel  JustinTrudeau  GiuseppeConteIT AGENDA for  PMOIndia    UN General Assembly https   t co h5bu1e049y,2021-09-22T06:20:44.000Z,USA,@JoeBiden @CIA @POTUS @KingSalman @OPECSecretariat @UN @UN_PGA @KremlinRussia_E @xijinping @10DowningStreet @EmmanuelMacron @G7 @JPN_PMO @CDUMerkel @JustinTrudeau @GiuseppeConteIT AGENDA for @PMOIndia   @UN General Assembly https://t.co/h5bu1e049y,[],[],"['JoeBiden', 'CIA', 'POTUS', 'KingSalman', 'OPECSecretariat', 'UN', 'UN_PGA', 'KremlinRussia_E', 'xijinping', '10DowningStreet']",['https://t.co/ZHPWvhq4KS'],
4,en,1440481472855494657,939091, JoeBiden no diference,1440561431733100545,False, JoeBiden no diference,2021-09-22T06:19:44.000Z,USA,@JoeBiden no diference,[],[],['JoeBiden'],[],
5,en,1440481472855494657,939091, JoeBiden hu is the diference ki ll kid in the church for color,1440561383297355783,False, JoeBiden hu is the diference ki ll kid in the church for color,2021-09-22T06:19:32.000Z,USA,@JoeBiden hu is the diference ki%ll kid in the church for color,[],[],['JoeBiden'],[],
6,en,1440481472855494657,939091, JoeBiden It s really a pleasure to see that Mr President  you are all set for a New World Order  Appreciable ADDRESS in UN ,1440561067063578627,False, JoeBiden It s really a pleasure to see that Mr President  you are all set for a New World Order  Appreciable ADDRESS in UN ,2021-09-22T06:18:17.000Z,USA,"@JoeBiden It's really a pleasure to see that Mr President, you are all set for a New World Order. Appreciable ADDRESS in UN 🌹🌹🙏🙏","['🌹', '🙏']",[],['JoeBiden'],[],
7,en,1440481472855494657,939091, JoeBiden preaching words than don’t apply your acts,1440560917842829320,False, JoeBiden preaching words than don’t apply your acts,2021-09-22T06:17:41.000Z,USA,@JoeBiden preaching words than don’t apply your acts,[],[],['JoeBiden'],[],
8,en,1440481472855494657,939091, JoeBiden Without VOTING RIGHTS watch our DNA mutate into authoritarianism and white nationalism ,1440560875098673153,False, JoeBiden Without VOTING RIGHTS watch our DNA mutate into authoritarianism and white nationalism ,2021-09-22T06:17:31.000Z,USA,@JoeBiden Without VOTING RIGHTS watch our DNA mutate into authoritarianism and white nationalism.,[],[],['JoeBiden'],[],
9,en,1440481472855494657,939091, JoeBiden No one buys Ur BS Joe  U were censured by UK Parliament  amp  will never meet W   Queen or Charles when he becomes King  France US s longest friend recalled it s ambassador  China  Russia  amp  N Korea think Ur a joke,1440560851648274439,False, JoeBiden No one buys Ur BS Joe  U were censured by UK Parliament  amp  will never meet W   Queen or Charles when he becomes King  France US s longest friend recalled it s ambassador  China  Russia  amp  N Korea think Ur a joke,2021-09-22T06:17:26.000Z,USA,"@JoeBiden No one buys Ur BS Joe. U were censured by UK Parliament &amp; will never meet W/  Queen or Charles when he becomes King. France US's longest friend recalled it's ambassador. China, Russia &amp; N Korea think Ur a joke",[],[],['JoeBiden'],['https://t.co/8iaUYblkhB'],
