,tweet_lang,poi_name,poi_id,verified,id,tweet_text,tweet_emoticons,hashtags,mentions,tweet_urls,country,text_es,tweet_date,text_en
0,es,LuisaAlcalde,208699970,True,1439993632564596741,"Agosto es el octavo mes en el que se ha registrado un crecimiento consecutivo de puestos de trabajo formales en @Tu_IMSS. 

La recuperación avanza.

Julio y agosto registraron un record histórico no visto en los últimos 20 años. https://t.co/Pb4cx0emjB",[],[],['Tu_IMSS'],[],Mexico,Agosto es el octavo mes en el que se ha registrado un crecimiento consecutivo de puestos de trabajo formales en  Tu IMSS  La recuperación avanza Julio y agosto registraron un record histórico no visto en los últimos 20 años  https   t co Pb4cx0emjB,2021-09-20 17:00:00,
1,es,LuisaAlcalde,208699970,True,1439004146997334016,"Hoy recibimos a @CarlosAlvQ, Presidente de Costa Rica, quien nos visita para participar en la cumbre de la @PPT_CELAC.

Celebramos este espacio de diálogo que fortalece lazos de coordinación y solidaridad en beneficio de nuestras naciones. https://t.co/f2mPOVjc02",[],[],"['CarlosAlvQ', 'PPT_CELAC']",[],Mexico,Hoy recibimos a  CarlosAlvQ  Presidente de Costa Rica  quien nos visita para participar en la cumbre de la  PPT CELAC Celebramos este espacio de diálogo que fortalece lazos de coordinación y solidaridad en beneficio de nuestras naciones  https   t co f2mPOVjc02,2021-09-17 23:00:00,
2,es,LuisaAlcalde,208699970,True,1438955403912499206,"Hoy Acompañé a @Claudiashein en su #3erInforme.

Se ha hecho un trabajo extraordinario. Ha bajado la incidencia delictiva, mejorado la movilidad y el respeto al medio ambiente. Se avanza en la recuperación de empleo. Se prioriza a los que menos tienen y se protege a las mujeres! https://t.co/eCUR91UgrL",[],['3erInforme'],['Claudiashein'],[],Mexico,Hoy Acompañé a  Claudiashein en su  3erInforme Se ha hecho un trabajo extraordinario  Ha bajado la incidencia delictiva  mejorado la movilidad y el respeto al medio ambiente  Se avanza en la recuperación de empleo  Se prioriza a los que menos tienen y se protege a las mujeres  https   t co eCUR91UgrL,2021-09-17 20:00:00,
3,es,LuisaAlcalde,208699970,True,1438562603064774659,Todo un honor acompañar al Presidente en el grito de independencia y ahora en el desfile militar. Que viva México! Que viva la independencia de todos los pueblos del mundo! Que viva la fraternidad universal! https://t.co/Qjrk4fGnnJ,[],[],[],[],Mexico,Todo un honor acompañar al Presidente en el grito de independencia y ahora en el desfile militar  Que viva México  Que viva la independencia de todos los pueblos del mundo  Que viva la fraternidad universal  https   t co Qjrk4fGnnJ,2021-09-16 18:00:00,
4,es,LuisaAlcalde,208699970,True,1438286053601857540,"Celebramos a 🇲🇽 con esta joya de documental que muestra cómo emerge un mariachi en Camargo con la dedicación y disciplina de un tutor que encontró en @JovConFuturo la 🔑 para su sueño y dar esperanza a jóvenes de su comunidad. No se van a arrepentir 👇

https://t.co/VeyoDqKI1s https://t.co/qARkEGn18g","['👇', '🔑', '🇲🇽']",[],['JovConFuturo'],['https://t.co/VeyoDqKI1s'],Mexico,Celebramos a  con esta joya de documental que muestra cómo emerge un mariachi en Camargo con la dedicación y disciplina de un tutor que encontró en  JovConFuturo la  para su sueño y dar esperanza a jóvenes de su comunidad  No se van a arrepentir https   t co VeyoDqKI1s https   t co qARkEGn18g,2021-09-16 00:00:00,
5,es,LuisaAlcalde,208699970,True,1437824467657535491,"Hoy me tocó aplicarme la 2da dosis de Sputnik ni más ni menos que en mi alma mater la #UNAM… 

…y lo que más gusto me dio, fue encontrarme a compañer@s que estimo y quiero y que hacen posible que la vacunación sea un éxito. https://t.co/AXvlB7gmmM",[],['UNAM'],[],[],Mexico,Hoy me tocó aplicarme la 2da dosis de Sputnik ni más ni menos que en mi alma mater la  UNAM… …y lo que más gusto me dio  fue encontrarme a compañer s que estimo y quiero y que hacen posible que la vacunación sea un éxito  https   t co AXvlB7gmmM,2021-09-14 17:00:00,
6,es,LuisaAlcalde,208699970,True,1435782238457716736,"No se pierdan en Los Pinos la exposición #MujeresForjadorasDeLaPatria. 

Muy recomendable para conocer la aportación femenina en nuestra historia y atestiguar un nuevo espacio cultural recuperado para el goce del pueblo de México. https://t.co/xyMiT21gDA",['xp'],['MujeresForjadorasDeLaPatria'],[],[],Mexico,No se pierdan en Los Pinos la eosición  MujeresForjadorasDeLaPatria  Muy recomendable para conocer la aportación femenina en nuestra historia y atestiguar un nuevo espacio cultural recuperado para el goce del pueblo de México  https   t co xyMiT21gDA,2021-09-09 02:00:00,
7,es,LuisaAlcalde,208699970,True,1435401411836121090,Nunca más 💚 https://t.co/EYC6MMUW1B,['💚'],[],[],['https://t.co/EYC6MMUW1B'],Mexico,Nunca más  https   t co EYC6MMUW1B,2021-09-08 01:00:00,
8,es,LuisaAlcalde,208699970,True,1435360839842897922,"Alistándose #Guanajuato para arrancar en octubre el nuevo modelo laboral!

Agradecemos al Presidente del Tribunal Superior de Justicia, Héctor Tinajero y a la Secretaria de Gobierno @LibiaGarciaML por la buena colaboración que hemos tenido. https://t.co/01WfLTxhlp",[],['Guanajuato'],['LibiaGarciaML'],[],Mexico,Alistándose  Guanajuato para arrancar en octubre el nuevo modelo laboral Agradecemos al Presidente del Tribunal Superior de Justicia  Héctor Tinajero y a la Secretaria de Gobierno  LibiaGarciaML por la buena colaboración que hemos tenido  https   t co 01WfLTxhlp,2021-09-07 22:00:00,
9,es,LuisaAlcalde,208699970,True,1433905903489724429,"Supervisamos el avance en la construcción de los centros de conciliación y tribunales laborales de #Querétaro, todo listo para arrancar la 2ª etapa de la #ReformaLaboral este 1 de octubre. Agradecemos al gobernador @PanchDominguez su compromiso y la coordinación. https://t.co/kiHOAZ5mm4",[],"['Querétaro', 'ReformaLaboral']",['PanchDominguez'],[],Mexico,Supervisamos el avance en la construcción de los centros de conciliación y tribunales laborales de  Querétaro  todo listo para arrancar la 2ª etapa de la  ReformaLaboral este 1 de octubre  Agradecemos al gobernador  PanchDominguez su compromiso y la coordinación  https   t co kiHOAZ5mm4,2021-09-03 22:00:00,
