,tweet_lang,poi_name,poi_id,verified,id,tweet_text,tweet_emoticons,hashtags,mentions,tweet_urls,country,text_en,tweet_date
0,en,POTUS,1349149096909668363,True,1440858017122197504,"Today I had three productive meetings with congressional Democrats to hear their perspectives and make progress in passing the Build Back Better Act and Bipartisan Infrastructure Deal. There’s more work to be done, but I’m committed to delivering for the middle class.",[],[],[],[],USA,Today I had three productive meetings with congressional Democrats to hear their perspectives and make progress in passing the Build Back Better Act and Bipartisan Infrastructure Deal  There’s more work to be done  but I’m committed to delivering for the middle class ,2021-09-23 02:00:00
1,en,POTUS,1349149096909668363,True,1440837982160769024,"Instead of continuing to fight the wars of the past, we are focusing on the challenges that hold the keys to our future. https://t.co/Pdh9v5yqMD",[],[],[],[],USA,Instead of continuing to fight the wars of the past  we are focusing on the challenges that hold the keys to our future  https   t co Pdh9v5yqMD,2021-09-23 01:00:00
2,en,POTUS,1349149096909668363,True,1440794506652110848,"I’m sick and tired of the super-wealthy and giant corporations not paying their fair share in taxes.
 
It’s time for it to change.",[],[],[],[],USA,I’m sick and tired of the super wealthy and giant corporations not paying their fair share in taxes  It’s time for it to change ,2021-09-22 22:00:00
3,en,POTUS,1349149096909668363,True,1440772872448798723,Let’s put this pandemic behind us. Get vaccinated.,[],[],[],[],USA,Let’s put this pandemic behind us  Get vaccinated ,2021-09-22 20:00:00
4,en,POTUS,1349149096909668363,True,1440756785057468419,"Today I spoke with President Emmanuel Macron of France, and reaffirmed the importance of French and European engagement in the Indo-Pacific region. I look forward to a process of in-depth consultations and to meeting with him in October. https://t.co/MouVMCBgDR",[],[],[],[],USA,Today I spoke with President Emmanuel Macron of France  and reaffirmed the importance of French and European engagement in the Indo Pacific region  I look forward to a process of in depth consultations and to meeting with him in October  https   t co MouVMCBgDR,2021-09-22 19:00:00
5,en,POTUS,1349149096909668363,True,1440728112170340360,"As we fight COVID-19 here at home, we need to continue our efforts overseas. That’s why today, I announced we’re increasing our total vaccine donation to over 1.1 billion doses — more than every other country combined.
 
That’s American leadership on the global stage.",[],[],[],[],USA,As we fight COVID 19 here at home  we need to continue our efforts overseas  That’s why today  I announced we’re increasing our total vaccine donation to over 1 1 billion doses — more than every other country combined  That’s American leadership on the global stage ,2021-09-22 17:00:00
6,en,POTUS,1349149096909668363,True,1440718421390282753,We are committed to working with our partners and allies to build a more prosperous future for all people. https://t.co/o50rOqEHXc,[],[],[],[],USA,We are committed to working with our partners and allies to build a more prosperous future for all people  https   t co o50rOqEHXc,2021-09-22 17:00:00
7,en,POTUS,1349149096909668363,True,1440666857724252160,"Instead of continuing to fight the wars of the past, we are fixing our eyes on — and devoting our resources to — the challenges that hold the keys to our future: ending the pandemic, the climate crisis, emerging technology, and the threat of terrorism as it stands today.",[],[],[],[],USA,Instead of continuing to fight the wars of the past  we are fixing our eyes on — and devoting our resources to — the challenges that hold the keys to our future  ending the pandemic  the climate crisis  emerging technology  and the threat of terrorism as it stands today ,2021-09-22 13:00:00
8,en,POTUS,1349149096909668363,True,1440487517149532164,It was an honor to welcome United Kingdom Prime Minister Boris Johnson to the White House this afternoon. The bond between our two nations is ironclad and we’re committed to working together on everything from climate change to COVID-19 in the years ahead. https://t.co/ldr0NzzWYN,[],[],[],[],USA,It was an honor to welcome United Kingdom Prime Minister Boris Johnson to the White House this afternoon  The bond between our two nations is ironclad and we’re committed to working together on everything from climate change to COVID 19 in the years ahead  https   t co ldr0NzzWYN,2021-09-22 01:00:00
9,en,POTUS,1349149096909668363,True,1440408769456791552,It was great to meet with Australian Prime Minister Scott Morrison today in New York. Our nations have stood together for over 70 years — and we’re committed to working together to secure a free and open Indo-Pacific region and tackle the shared challenges we face. https://t.co/SNGCQSy3H9,[],[],[],[],USA,It was great to meet with Australian Prime Minister Scott Morrison today in New York  Our nations have stood together for over 70 years — and we’re committed to working together to secure a free and open Indo Pacific region and tackle the shared challenges we face  https   t co SNGCQSy3H9,2021-09-21 20:00:00
10,en,POTUS,1349149096909668363,True,1440394460710391814,"From extreme storms to relentless wildfires, we’re witnessing the devastating impact of climate change every day.

We need to act. We need to pass my Build Back Better Agenda. https://t.co/Ooms6iHAPs",[],[],[],[],USA,From extreme storms to relentless wildfires  we’re witnessing the devastating impact of climate change every day We need to act  We need to pass my Build Back Better Agenda  https   t co Ooms6iHAPs,2021-09-21 19:00:00
11,en,POTUS,1349149096909668363,True,1440379663411343364,"It was an honor to address the UN General Assembly this morning. We stand at an inflection point in history, and the United States is committed to working with our allies and partners to tackle the greatest challenges of our time.

We will build a better future — together. https://t.co/M7xAx72PqE",[],[],[],[],USA,It was an honor to address the UN General Assembly this morning  We stand at an inflection point in history  and the United States is committed to working with our allies and partners to tackle the greatest challenges of our time We will build a better future — together  https   t co M7xAx72PqE,2021-09-21 18:00:00
12,en,POTUS,1349149096909668363,True,1440340140187009031,"Here at the dawning of what must be a decisive decade for our world, our global community is challenged by urgent and looming crises. But in those crises lie enormous opportunities, if we can summon the will and resolve to seize them.
 
We stand at an inflection point in history.",[],[],[],[],USA,Here at the dawning of what must be a decisive decade for our world  our global community is challenged by urgent and looming crises  But in those crises lie enormous opportunities  if we can summon the will and resolve to seize them  We stand at an inflection point in history ,2021-09-21 16:00:00
13,en,POTUS,1349149096909668363,True,1440315218005880843,Tune in as I deliver remarks before the 76th Session of the United Nations General Assembly. https://t.co/3i8ONT13G7,[],[],[],['https://t.co/3i8ONT13G7'],USA,Tune in as I deliver remarks before the 76th Session of the United Nations General Assembly  https   t co 3i8ONT13G7,2021-09-21 14:00:00
14,en,POTUS,1349149096909668363,True,1440310494871515143,In New York for the UN General Assembly. Let’s get to work. https://t.co/LeszRZGmuN,[],[],[],[],USA,In New York for the UN General Assembly  Let’s get to work  https   t co LeszRZGmuN,2021-09-21 14:00:00
15,en,POTUS,1349149096909668363,True,1440295929983078402,It’s not enough just to build back to the way things were before the pandemic – it’s time to build back better. https://t.co/gT6WiV1Eaj,[],[],[],[],USA,It’s not enough just to build back to the way things were before the pandemic – it’s time to build back better  https   t co gT6WiV1Eaj,2021-09-21 13:00:00
16,en,POTUS,1349149096909668363,True,1440135291843534848,"As I said during tonight’s meeting with UN Secretary General António Guterres: global challenges require global solutions. We believe in the United Nations and its value. And at this moment, our bond — based on common values and principles — is more important than ever. https://t.co/H7G1GAXopQ",[],[],[],[],USA,As I said during tonight’s meeting with UN Secretary General António Guterres  global challenges require global solutions  We believe in the United Nations and its value  And at this moment  our bond — based on common values and principles — is more important than ever  https   t co H7G1GAXopQ,2021-09-21 02:00:00
17,en,POTUS,1349149096909668363,True,1440089176230088712,It’s time we reward work in this country — not just wealth.,[],[],[],[],USA,It’s time we reward work in this country — not just wealth ,2021-09-20 23:00:00
18,en,POTUS,1349149096909668363,True,1440068616511123457,"I’m not looking to punish anyone, I just think it’s only fair that the wealthiest Americans pay their fair share once again. Then, we’ll use that money to invest in the middle class. https://t.co/xZYMMUo5yi",[],[],[],[],USA,I’m not looking to punish anyone  I just think it’s only fair that the wealthiest Americans pay their fair share once again  Then  we’ll use that money to invest in the middle class  https   t co xZYMMUo5yi,2021-09-20 22:00:00
19,en,POTUS,1349149096909668363,True,1440053936551981063,"I applaud this plan from @SpeakerPelosi and @SenSchumer to keep the government open, provide disaster relief, and avoid catastrophic default.
 
This is a bipartisan responsibility, just as it was under my predecessor. Blocking it would be inexcusable. https://t.co/qDBwMs6DBx",[],[],"['SpeakerPelosi', 'SenSchumer']",['https://t.co/qDBwMs6DBx'],USA,I applaud this plan from  SpeakerPelosi and  SenSchumer to keep the government open  provide disaster relief  and avoid catastrophic default  This is a bipartisan responsibility  just as it was under my predecessor  Blocking it would be inexcusable  https   t co qDBwMs6DBx,2021-09-20 21:00:00
20,en,POTUS,1349149096909668363,True,1440022155295592452,"This afternoon, I’m heading to New York for the 76th session of the United Nations General Assembly. I look forward to strengthening our global partnerships, working with our allies to tackle our shared challenges, and making clear that America is back.",[],[],[],[],USA,This afternoon  I’m heading to New York for the 76th session of the United Nations General Assembly  I look forward to strengthening our global partnerships  working with our allies to tackle our shared challenges  and making clear that America is back ,2021-09-20 19:00:00
