,tweet_lang,replied_to_tweet_id,replied_to_user_id,reply_text,id,verified,text_en,tweet_date,country,tweet_text,tweet_emoticons,hashtags,mentions,tweet_urls
0,en,1440772872448798723,1349149096909668363, POTUS You do know that about 75  of the ELIGIBLE population is vaccinated  right   So  what s the problem   About 50 million people arent old enough to get the vax   65  of the total population have gotten at least one dose  and that s about 75  of the  eligible  population ,1440999470557278211,False, POTUS You do know that about 75  of the ELIGIBLE population is vaccinated  right   So  what s the problem   About 50 million people arent old enough to get the vax   65  of the total population have gotten at least one dose  and that s about 75  of the  eligible  population ,2021-09-23T11:20:20.000Z,USA,"@POTUS You do know that about 75% of the ELIGIBLE population is vaccinated, right?  So, what's the problem?  About 50 million people arent old enough to get the vax.  65% of the total population have gotten at least one dose, and that's about 75% of the ""eligible"" population.",[],[],['POTUS'],['https://t.co/mDL5VW5MwE']
1,en,1440772872448798723,1349149096909668363, xander doo  cbjkc5  POTUS You think I m  scared   Aren t you the one talking about a satanic plot to change human DNA and take over the planet with a vaccine hoax  You sound like a paranoid schizophrenic while simultaneously accusing me of being scared lmao ,1440999271835193353,False, xander doo  cbjkc5  POTUS You think I m  scared   Aren t you the one talking about a satanic plot to change human DNA and take over the planet with a vaccine hoax  You sound like a paranoid schizophrenic while simultaneously accusing me of being scared lmao ,2021-09-23T11:19:33.000Z,USA,"@xander_doo @cbjkc5 @POTUS You think I'm ""scared""? Aren't you the one talking about a satanic plot to change human DNA and take over the planet with a vaccine hoax? You sound like a paranoid schizophrenic while simultaneously accusing me of being scared lmao.",[],[],"['xander_doo', 'cbjkc5', 'POTUS']",['https://t.co/vTWT2Y0T4Q']
2,en,1440772872448798723,1349149096909668363, POTUS I think the federal govt needs to address how hospitals are prioritizing the unvaxxed     Now  if vaxxed people are sick in TN they can t get the cocktail   Bull hit     We will continue to have unvaxxed as long as hospital systems make them the priority   ,1440999171901644804,False, POTUS I think the federal govt needs to address how hospitals are prioritizing the unvaxxed     Now  if vaxxed people are sick in TN they can t get the cocktail   Bull hit     We will continue to have unvaxxed as long as hospital systems make them the priority   ,2021-09-23T11:19:09.000Z,USA,"@POTUS I think the federal govt needs to address how hospitals are prioritizing the unvaxxed.    Now, if vaxxed people are sick in TN they can't get the cocktail???

Bull$hit.    We will continue to have unvaxxed as long as hospital systems make them the priority...",[],[],['POTUS'],['https://t.co/uVTXxSmdBW']
3,en,1440772872448798723,1349149096909668363, sailor Nebula   POTUS You think we care about celebrities  This is the most dogshit idea I’ve ever heard ,1440999125626114049,False, sailor Nebula   POTUS You think we care about celebrities  This is the most dogshit idea I’ve ever heard ,2021-09-23T11:18:58.000Z,USA,@sailor_Nebula_ @POTUS You think we care about celebrities? This is the most dogshit idea I’ve ever heard.,[],[],"['sailor_Nebula_', 'POTUS']",[]
4,en,1440772872448798723,1349149096909668363, POTUS Let s put Biden behind us  Where is  The Donald  ,1440999077815242752,False, POTUS Let s put Biden behind us  Where is  The Donald  ,2021-09-23T11:18:47.000Z,USA,"@POTUS Let's put Biden behind us. Where is ""The Donald""?",[],[],['POTUS'],[]
5,en,1440772872448798723,1349149096909668363, POTUS CHARGE THEM ALL  https   t co AuMGkgNVZz,1440998883329552390,False, POTUS CHARGE THEM ALL  https   t co AuMGkgNVZz,2021-09-23T11:18:00.000Z,USA,@POTUS CHARGE THEM ALL! https://t.co/AuMGkgNVZz,[],[],['POTUS'],['https://t.co/AuMGkgNVZz']
6,en,1440772872448798723,1349149096909668363, POTUS I m two times vaccinated  because my family and my country people survival is must  they won t disappoint because of me   so we all given respect to but vaccination ,1440998861649047556,False, POTUS I m two times vaccinated  because my family and my country people survival is must  they won t disappoint because of me   so we all given respect to but vaccination ,2021-09-23T11:17:55.000Z,USA,"@POTUS I'm two times vaccinated, because my family and my country people survival is must, they won't disappoint because of me.. so we all given respect to but vaccination.",[],[],['POTUS'],['https://t.co/SMsnkEavWK']
7,en,1440772872448798723,1349149096909668363, POTUS You need to focus on the demographics that are least vaccinated    a  age group 0 to 29  and  b  African Americans and Hispanics   Your constant assertions that this is a Republican thing is false and clearly politically motivated ,1440998606807441410,False, POTUS You need to focus on the demographics that are least vaccinated    a  age group 0 to 29  and  b  African Americans and Hispanics   Your constant assertions that this is a Republican thing is false and clearly politically motivated ,2021-09-23T11:16:54.000Z,USA,"@POTUS You need to focus on the demographics that are least vaccinated:  (a) age group 0 to 29, and (b) African Americans and Hispanics.  Your constant assertions that this is a Republican thing is false and clearly politically motivated.",[],[],['POTUS'],['https://t.co/OxlIp6uYBu']
8,en,1440772872448798723,1349149096909668363, wolfpack trader  AngelaBelcamino  POTUS Pure blooded and proud ,1440998559776661507,False, wolfpack trader  AngelaBelcamino  POTUS Pure blooded and proud ,2021-09-23T11:16:43.000Z,USA,@wolfpack_trader @AngelaBelcamino @POTUS Pure blooded and proud ❤️🇺🇲🖕,"['🇺🇲', '❤️', '🖕']",[],"['wolfpack_trader', 'AngelaBelcamino', 'POTUS']",[]
9,en,1440772872448798723,1349149096909668363, S1xersN0ah  PlayoffHuskies  POTUS Hmm  I’ve never heard of that country ,1440998146453254146,False, S1xersN0ah  PlayoffHuskies  POTUS Hmm  I’ve never heard of that country ,2021-09-23T11:15:05.000Z,USA,"@S1xersN0ah @PlayoffHuskies @POTUS Hmm, I’ve never heard of that country.",[],[],"['S1xersN0ah', 'PlayoffHuskies', 'POTUS']",[]
10,en,1440772872448798723,1349149096909668363, AngelaBelcamino  POTUS Pure blooded here ,1440998096855605250,False, AngelaBelcamino  POTUS Pure blooded here ,2021-09-23T11:14:53.000Z,USA,@AngelaBelcamino @POTUS Pure blooded here 🖕,['🖕'],[],"['AngelaBelcamino', 'POTUS']",[]
11,en,1440772872448798723,1349149096909668363, critical disc  cbjkc5  POTUS Vaccinated and unvaccinated carry the same viral load for transmittion to others  If youre afraid of the unvaxed over the vaxed at this point you need to get a clue  If youre scared stay in your basement forever,1440998053561999363,False, critical disc  cbjkc5  POTUS Vaccinated and unvaccinated carry the same viral load for transmittion to others  If youre afraid of the unvaxed over the vaxed at this point you need to get a clue  If youre scared stay in your basement forever,2021-09-23T11:14:43.000Z,USA,@critical_disc @cbjkc5 @POTUS Vaccinated and unvaccinated carry the same viral load for transmittion to others. If youre afraid of the unvaxed over the vaxed at this point you need to get a clue. If youre scared stay in your basement forever,[],[],"['critical_disc', 'cbjkc5', 'POTUS']",['https://t.co/IfefDz0m1K']
12,en,1440772872448798723,1349149096909668363, POTUS Let s put tallibani terriost behind the history of Afganistan,1440997987509882888,False, POTUS Let s put tallibani terriost behind the history of Afganistan,2021-09-23T11:14:27.000Z,USA,@POTUS Let's put tallibani terriost behind the history of Afganistan,[],[],['POTUS'],[]
13,en,1440772872448798723,1349149096909668363, chairboy  POTUS Why are democrats racist socialists and hate America  It s time to call out democrats for what they are  Against the values of America  Against the people of this nation   Democrats are the violent aggressors that want to keep a slave class  oh wait    Human Infrastructure ,1440997949023129602,False, chairboy  POTUS Why are democrats racist socialists and hate America  It s time to call out democrats for what they are  Against the values of America  Against the people of this nation   Democrats are the violent aggressors that want to keep a slave class  oh wait    Human Infrastructure ,2021-09-23T11:14:18.000Z,USA,"@chairboy @POTUS Why are democrats racist socialists and hate America? It's time to call out democrats for what they are. Against the values of America. Against the people of this nation.  Democrats are the violent aggressors that want to keep a slave class..oh wait...""Human Infrastructure""",[],[],"['chairboy', 'POTUS']",['https://t.co/fwNQQYUnhi']
14,en,1440772872448798723,1349149096909668363, POTUS There are people still not working we need one more stimulate check please,1440997620189700099,False, POTUS There are people still not working we need one more stimulate check please,2021-09-23T11:12:59.000Z,USA,@POTUS There are people still not working we need one more stimulate check please,[],[],['POTUS'],[]
15,en,1440772872448798723,1349149096909668363, POTUS So  all these migrants from Del Rio that have been let into the US  were they required to be vaccinated  If not  that’s just dumb ,1440997555421188100,False, POTUS So  all these migrants from Del Rio that have been let into the US  were they required to be vaccinated  If not  that’s just dumb ,2021-09-23T11:12:44.000Z,USA,"@POTUS So, all these migrants from Del Rio that have been let into the US, were they required to be vaccinated? If not, that’s just dumb.",[],[],['POTUS'],[]
16,en,1440772872448798723,1349149096909668363, My2centzzz  Mtlady56  POTUS Actually  we do know natural immunity lasts 8 months at least  we also know memory cells for defense are stored in bone marrow indicating much longer immunity ,1440997360646111232,False, My2centzzz  Mtlady56  POTUS Actually  we do know natural immunity lasts 8 months at least  we also know memory cells for defense are stored in bone marrow indicating much longer immunity ,2021-09-23T11:11:57.000Z,USA,"@My2centzzz @Mtlady56 @POTUS Actually, we do know natural immunity lasts 8 months at least, we also know memory cells for defense are stored in bone marrow indicating much longer immunity.",[],[],"['My2centzzz', 'Mtlady56', 'POTUS']",['https://t.co/LpgDtLF1tk']
17,en,1440772872448798723,1349149096909668363, POTUS Zero chance joe  There’s nothing you can do about it either ,1440997308263505924,False, POTUS Zero chance joe  There’s nothing you can do about it either ,2021-09-23T11:11:45.000Z,USA,@POTUS Zero chance joe. There’s nothing you can do about it either.,[],[],['POTUS'],[]
18,en,1440772872448798723,1349149096909668363, Maestro4Maestro  POTUS DeSantis is one of the best  Pro people s choice  He doesn t want to force people into getting injections  As an adult  there has been no other time where being forced into an injection has been a thing  Let people have pro choice   ,1440997271873757185,False, Maestro4Maestro  POTUS DeSantis is one of the best  Pro people s choice  He doesn t want to force people into getting injections  As an adult  there has been no other time where being forced into an injection has been a thing  Let people have pro choice   ,2021-09-23T11:11:36.000Z,USA,"@Maestro4Maestro @POTUS DeSantis is one of the best. Pro people's choice. He doesn't want to force people into getting injections. As an adult, there has been no other time where being forced into an injection has been a thing. Let people have pro choice...",[],[],"['Maestro4Maestro', 'POTUS']",['https://t.co/EVLL6Ww6Kt']
19,en,1440772872448798723,1349149096909668363, POTUS Lets put the microphone in front of you  Answer questions ,1440997222791974913,False, POTUS Lets put the microphone in front of you  Answer questions ,2021-09-23T11:11:25.000Z,USA,@POTUS Lets put the microphone in front of you. Answer questions.,[],[],['POTUS'],[]
20,en,1440772872448798723,1349149096909668363, floridaman1972  throwawayuser4  Animallover5961  Maestro4Maestro  mrwalker92  POTUS My cousin died in a car wreck while wearing a seatbelt  Everyone needs to stop driving and stay home Maybe Dementia Joe can mandate that for us ,1440997111844192256,False, floridaman1972  throwawayuser4  Animallover5961  Maestro4Maestro  mrwalker92  POTUS My cousin died in a car wreck while wearing a seatbelt  Everyone needs to stop driving and stay home Maybe Dementia Joe can mandate that for us ,2021-09-23T11:10:58.000Z,USA,"@floridaman1972 @throwawayuser4 @Animallover5961 @Maestro4Maestro @mrwalker92 @POTUS My cousin died in a car wreck while wearing a seatbelt. Everyone needs to stop driving and stay home.
Maybe Dementia Joe can mandate that for us.",[],[],"['floridaman1972', 'throwawayuser4', 'Animallover5961', 'Maestro4Maestro', 'mrwalker92', 'POTUS']",['https://t.co/8vTXHgcAJa']
21,en,1440772872448798723,1349149096909668363, Mtlady56  POTUS “…researchers who have identified long lived antibody producing cells in the bone marrow of people who have recovered from COVID 19”https   t co 3vJwHj6MIG,1440997055128915976,False, Mtlady56  POTUS “…researchers who have identified long lived antibody producing cells in the bone marrow of people who have recovered from COVID 19”https   t co 3vJwHj6MIG,2021-09-23T11:10:45.000Z,USA,"@Mtlady56 @POTUS “…researchers who have identified long-lived antibody-producing cells in the bone marrow of people who have recovered from COVID-19”

https://t.co/3vJwHj6MIG",[],[],"['Mtlady56', 'POTUS']",['https://t.co/WP0H85RU2T']
22,en,1440772872448798723,1349149096909668363, mbertwo  mrsosodeaf Oh pleesssse my family lives in Florida they are totally vaccinated  Educate yourself ,1440996860492230657,False, mbertwo  mrsosodeaf Oh pleesssse my family lives in Florida they are totally vaccinated  Educate yourself ,2021-09-23T11:09:58.000Z,USA,@mbertwo @mrsosodeaf Oh pleesssse my family lives in Florida they are totally vaccinated. Educate yourself.,[],[],"['mbertwo', 'mrsosodeaf']",[]
23,en,1440772872448798723,1349149096909668363, Adietheshouter  Safeen Safah  christieavon  mrsosodeaf  POTUS Someone believes everything MSM tells them ,1440996838908125187,False, Adietheshouter  Safeen Safah  christieavon  mrsosodeaf  POTUS Someone believes everything MSM tells them ,2021-09-23T11:09:53.000Z,USA,@Adietheshouter @Safeen_Safah @christieavon @mrsosodeaf @POTUS Someone believes everything MSM tells them.,[],[],"['Adietheshouter', 'Safeen_Safah', 'christieavon', 'mrsosodeaf', 'POTUS']",[]
24,en,1440772872448798723,1349149096909668363, POTUS “Antibody Responses 8 Months after Asymptomatic or Mild SARS CoV 2 Infection” https   t co 6ev3SgrkHL,1440996817617948673,False, POTUS “Antibody Responses 8 Months after Asymptomatic or Mild SARS CoV 2 Infection” https   t co 6ev3SgrkHL,2021-09-23T11:09:48.000Z,USA,@POTUS “Antibody Responses 8 Months after Asymptomatic or Mild SARS-CoV-2 Infection” https://t.co/6ev3SgrkHL,[],[],['POTUS'],['https://t.co/6ev3SgrkHL']
25,en,1440295929983078402,1349149096909668363, POTUS I would love to see your new lab work Mr President and hopefully you can get enough votes in n Congress to move ahead with these ideas…Our great Country needs a tune up   I believe we also should help to get the American Cirtizens that are homeless off the Streets ,1440988838952902663,False, POTUS I would love to see your new lab work Mr President and hopefully you can get enough votes in n Congress to move ahead with these ideas…Our great Country needs a tune up   I believe we also should help to get the American Cirtizens that are homeless off the Streets ,2021-09-23T10:38:06.000Z,USA,@POTUS I would love to see your new lab work Mr President and hopefully you can get enough votes in n Congress to move ahead with these ideas…Our great Country needs a tune-up.. I believe we also should help to get the American Cirtizens that are homeless off the Streets.,[],[],['POTUS'],['https://t.co/TmzZIzSWix']
26,en,1440295929983078402,1349149096909668363, POTUS You haven’t paid yours   You owed  500 000 in back taxes   https   t co jP3gqMwwUl,1440904579344998400,False, POTUS You haven’t paid yours   You owed  500 000 in back taxes   https   t co jP3gqMwwUl,2021-09-23T05:03:17.000Z,USA,"@POTUS You haven’t paid yours.  You owed $500,000 in back taxes.  
https://t.co/jP3gqMwwUl",[],[],['POTUS'],['https://t.co/jP3gqMwwUl']
27,en,1440295929983078402,1349149096909668363, POTUS Overdue  and let us see that on this years tax return not 2 years more,1440848349725216770,False, POTUS Overdue  and let us see that on this years tax return not 2 years more,2021-09-23T01:19:50.000Z,USA,"@POTUS Overdue, and let us see that on this years tax return not 2 years more",[],[],['POTUS'],[]
28,en,1440295929983078402,1349149096909668363, POTUS I don’t believe anything that comes from our incompetent President and his boot licking cabinet members  military echelon  including his advisors  and press secretary corp   Everything he has touched has turned into feces  The border  Afghanistan  the budget  Covid pandemic  ALL ,1440836480167936001,False, POTUS I don’t believe anything that comes from our incompetent President and his boot licking cabinet members  military echelon  including his advisors  and press secretary corp   Everything he has touched has turned into feces  The border  Afghanistan  the budget  Covid pandemic  ALL ,2021-09-23T00:32:40.000Z,USA,"@POTUS I don’t believe anything that comes from our incompetent President and his boot licking cabinet members, military echelon, including his advisors, and press secretary corp.. Everything he has touched has turned into feces. The border, Afghanistan, the budget, Covid pandemic. ALL!",[],[],['POTUS'],['https://t.co/CfTkgGSk3K']
29,en,1440295929983078402,1349149096909668363, POTUS What Biden really means is build worse than ever ,1440833023105126402,False, POTUS What Biden really means is build worse than ever ,2021-09-23T00:18:56.000Z,USA,@POTUS What Biden really means is build worse than ever!,[],[],['POTUS'],[]
30,en,1440295929983078402,1349149096909668363, POTUS AGREED START BY FINISHING THE WALL ,1440823695451123716,False, POTUS AGREED START BY FINISHING THE WALL ,2021-09-22T23:41:52.000Z,USA,"@POTUS AGREED!
START BY FINISHING THE WALL!",[],[],['POTUS'],[]
31,en,1440295929983078402,1349149096909668363, POTUS Since you became President inflation has increased along with gas prices  food prices  transportation costs  Tolls  amp  fares have increased  Why is that Joe ,1440801071895486472,False, POTUS Since you became President inflation has increased along with gas prices  food prices  transportation costs  Tolls  amp  fares have increased  Why is that Joe ,2021-09-22T22:11:58.000Z,USA,"@POTUS Since you became President inflation has increased along with gas prices, food prices, transportation costs. Tolls &amp; fares have increased. Why is that Joe?",[],[],['POTUS'],['https://t.co/f64M1PLURe']
32,en,1440295929983078402,1349149096909668363, POTUS The present infrastructure isn t properly maintained  Storm drains on highways aren t being cleaned out  Roads aren t being repaved  etc   Try doing that first  It will save taayers billions of dollars Joe ,1440800240668319745,False, POTUS The present infrastructure isn t properly maintained  Storm drains on highways aren t being cleaned out  Roads aren t being repaved  etc   Try doing that first  It will save taayers billions of dollars Joe ,2021-09-22T22:08:40.000Z,USA,"@POTUS The present infrastructure isn't properly maintained. Storm drains on highways aren't being cleaned out. Roads aren't being repaved, etc.! Try doing that first. It will save taxpayers billions of dollars Joe!",['xp'],[],['POTUS'],['https://t.co/9RLVIbQy8W']
33,en,1440295929983078402,1349149096909668363, POTUS  SenatorCardin Hey  President Biden you want things to change  Get rid of Mitch McConnell then things will get better without him,1440797511333994497,False, POTUS  SenatorCardin Hey  President Biden you want things to change  Get rid of Mitch McConnell then things will get better without him,2021-09-22T21:57:50.000Z,USA,@POTUS @SenatorCardin Hey: President Biden you want things to change? Get rid of Mitch McConnell then things will get better without him,[],[],"['POTUS', 'SenatorCardin']",[]
34,en,1440295929983078402,1349149096909668363, POTUS By voting you out    Don t let the door hit you on the way out    If you can find it ,1440779839812747267,False, POTUS By voting you out    Don t let the door hit you on the way out    If you can find it ,2021-09-22T20:47:36.000Z,USA,@POTUS By voting you out... Don't let the door hit you on the way out... If you can find it!,[],[],['POTUS'],[]
35,en,1440295929983078402,1349149096909668363, POTUS We need Trump back you idiots couldn t run a snack shop ,1440770841789169671,False, POTUS We need Trump back you idiots couldn t run a snack shop ,2021-09-22T20:11:51.000Z,USA,@POTUS We need Trump back you idiots couldn't run a snack shop!,[],[],['POTUS'],[]
36,en,1440295929983078402,1349149096909668363, POTUS I heard you pulled shit into your pants  right ,1440764421391876097,False, POTUS I heard you pulled shit into your pants  right ,2021-09-22T19:46:20.000Z,USA,"@POTUS I heard you pulled shit into your pants, right?",[],[],['POTUS'],[]
37,en,1440295929983078402,1349149096909668363, POTUS You couldn t build anything  Your too busy destroying and living about it,1440762057205293059,False, POTUS You couldn t build anything  Your too busy destroying and living about it,2021-09-22T19:36:57.000Z,USA,@POTUS You couldn't build anything. Your too busy destroying and living about it,[],[],['POTUS'],[]
