,tweet_lang,replied_to_tweet_id,replied_to_user_id,reply_text,id,verified,text_es,tweet_date,country,tweet_text,tweet_emoticons,hashtags,mentions,tweet_urls
0,es,1440070375941935115,96144763, SRE mx RECUPERACION    ConsumoLocalTODO ESTE CONOCIMIENTO  ESTE LIBRO QUE HACEN MENCIÓN al FINAL DEL VIDEO  TIENE QUE HACERSE DEL CONOCIMIENTO DE LOS EMPRESARIOS DE LAS PEQUEÑAS EMPRESAS  m ebrard  hectortejadasha  wzuloag  DavidFigueroaO Ej   DocumentoCEPALhttps   t co 68UVMGFUhc,1440359602713817095,False, SRE mx RECUPERACION    ConsumoLocalTODO ESTE CONOCIMIENTO  ESTE LIBRO QUE HACEN MENCIÓN al FINAL DEL VIDEO  TIENE QUE HACERSE DEL CONOCIMIENTO DE LOS EMPRESARIOS DE LAS PEQUEÑAS EMPRESAS  m ebrard  hectortejadasha  wzuloag  DavidFigueroaO Ej   DocumentoCEPALhttps   t co 68UVMGFUhc,2021-09-21T16:57:44.000Z,Mexico,"@SRE_mx RECUPERACION = #ConsumoLocal
TODO ESTE CONOCIMIENTO, ESTE LIBRO QUE HACEN MENCIÓN al FINAL DEL VIDEO, TIENE QUE HACERSE DEL CONOCIMIENTO DE LOS EMPRESARIOS DE LAS PEQUEÑAS EMPRESAS @m_ebrard @hectortejadasha @wzuloag @DavidFigueroaO 

Ej. #DocumentoCEPAL
https://t.co/68UVMGFUhc",[],['ConsumoLocal'],['SRE_mx'],['https://t.co/nLOmn93nFg']
1,es,1440070375941935115,96144763, cuauhtemoc29  SRE mx Seguro si tienen  y vacunada con la Pfizer gringa  no con la vacilada que le dan a la borregada ,1440150572213014534,False, cuauhtemoc29  SRE mx Seguro si tienen  y vacunada con la Pfizer gringa  no con la vacilada que le dan a la borregada ,2021-09-21T03:07:07.000Z,Mexico,"@cuauhtemoc29 @SRE_mx Seguro si tienen, y vacunada con la Pfizer gringa, no con la vacilada que le dan a la borregada.",[],[],"['cuauhtemoc29', 'SRE_mx']",[]
2,es,1440070375941935115,96144763, SRE mx Son el hazmerreír del mundo  están hundidos en mentiras y crimenes de lesa humanidad y salen con esta pendejada  ¡No tienen Madre ,1440077646352642049,False, SRE mx Son el hazmerreír del mundo  están hundidos en mentiras y crimenes de lesa humanidad y salen con esta pendejada  ¡No tienen Madre ,2021-09-20T22:17:20.000Z,Mexico,"@SRE_mx Son el hazmerreír del mundo, están hundidos en mentiras y crimenes de lesa humanidad y salen con esta pendejada. ¡No tienen Madre!",[],[],['SRE_mx'],[]
3,es,1440041636407377920,96144763, SRE mx  m ebrard Excelente trabajo canciller  m ebrard   muy cierto las estrategias  que se implementaron para que no faltaran vacunas fue todo un éxito y comprare el libro esta interesante,1440205971884699652,False, SRE mx  m ebrard Excelente trabajo canciller  m ebrard   muy cierto las estrategias  que se implementaron para que no faltaran vacunas fue todo un éxito y comprare el libro esta interesante,2021-09-21T06:47:16.000Z,Mexico,@SRE_mx @m_ebrard Excelente trabajo canciller @m_ebrard   muy cierto las estrategias  que se implementaron para que no faltaran vacunas fue todo un éxito y comprare el libro esta interesante👏👍,"['👏', '👍']",[],"['SRE_mx', 'm_ebrard', 'm_ebrard']",['https://t.co/AWiCJ19DoW']
4,es,1440041636407377920,96144763, SRE mx  m ebrard A qué hora trabaja Leonardo Curzio en la UNAM ,1440079954369126412,False, SRE mx  m ebrard A qué hora trabaja Leonardo Curzio en la UNAM ,2021-09-20T22:26:31.000Z,Mexico,@SRE_mx @m_ebrard A qué hora trabaja Leonardo Curzio en la UNAM?,[],[],"['SRE_mx', 'm_ebrard']",[]
5,es,1440041636407377920,96144763, SRE mx  LeonardoCurzio  m ebrard No le da pena  m ebrard     Cómo puede mentir de forma tan descarada     Si sabe cuál es el concepto de estrategia  verdad  verdad ,1440067006707888140,False, SRE mx  LeonardoCurzio  m ebrard No le da pena  m ebrard     Cómo puede mentir de forma tan descarada     Si sabe cuál es el concepto de estrategia  verdad  verdad ,2021-09-20T21:35:04.000Z,Mexico,"@SRE_mx @LeonardoCurzio @m_ebrard No le da pena @m_ebrard ??? Cómo puede mentir de forma tan descarada ??? Si sabe cuál es el concepto de estrategia, verdad, verdad?",[],[],"['SRE_mx', 'LeonardoCurzio', 'm_ebrard', 'm_ebrard']",['https://t.co/6e1Ovln7S3']
6,es,1440041636407377920,96144763, SRE mx  LeonardoCurzio  m ebrard Queremos resultados no libros,1440065776011022336,False, SRE mx  LeonardoCurzio  m ebrard Queremos resultados no libros,2021-09-20T21:30:10.000Z,Mexico,@SRE_mx @LeonardoCurzio @m_ebrard Queremos resultados no libros,[],[],"['SRE_mx', 'LeonardoCurzio', 'm_ebrard']",[]
7,es,1440041636407377920,96144763, SRE mx  LeonardoCurzio  m ebrard ¿Dónde se nos fue a meter que Ebrard finge como Secretario de Salud ,1440064058380537859,False, SRE mx  LeonardoCurzio  m ebrard ¿Dónde se nos fue a meter que Ebrard finge como Secretario de Salud ,2021-09-20T21:23:21.000Z,Mexico,@SRE_mx @LeonardoCurzio @m_ebrard ¿Dónde se nos fue a meter que Ebrard finge como Secretario de Salud?,[],[],"['SRE_mx', 'LeonardoCurzio', 'm_ebrard']",[]
8,es,1440041636407377920,96144763, SRE mx  LeonardoCurzio  m ebrard Algo huele mal aqui    ,1440064001140944898,False, SRE mx  LeonardoCurzio  m ebrard Algo huele mal aqui    ,2021-09-20T21:23:07.000Z,Mexico,@SRE_mx @LeonardoCurzio @m_ebrard Algo huele mal aqui....,[],[],"['SRE_mx', 'LeonardoCurzio', 'm_ebrard']",[]
9,es,1440041636407377920,96144763, SRE mx  m ebrard buen chiste  m ebrard,1440063817447133188,False, SRE mx  m ebrard buen chiste  m ebrard,2021-09-20T21:22:23.000Z,Mexico,@SRE_mx @m_ebrard buen chiste @m_ebrard,[],[],"['SRE_mx', 'm_ebrard', 'm_ebrard']",[]
10,es,1440041636407377920,96144763, SRE mx  m ebrard Resumen diario veíamos llegada de carga de vacunas de lo demás ninguna estrategia lenta vacunación no distribución de pruebas COVID no seguimiento   no distribución de tanques oxígeno   ningún respeto a médicos ignoraron método q ya teníamos vacunación,1440042677244887043,False, SRE mx  m ebrard Resumen diario veíamos llegada de carga de vacunas de lo demás ninguna estrategia lenta vacunación no distribución de pruebas COVID no seguimiento   no distribución de tanques oxígeno   ningún respeto a médicos ignoraron método q ya teníamos vacunación,2021-09-20T19:58:23.000Z,Mexico,"@SRE_mx @m_ebrard Resumen diario veíamos llegada de carga de vacunas de lo demás ninguna estrategia 😑lenta vacunación no distribución de pruebas COVID no seguimiento , no distribución de tanques oxígeno , ningún respeto a médicos ignoraron método q ya teníamos vacunación",['😑'],[],"['SRE_mx', 'm_ebrard']",['https://t.co/mK6lcOzwLt']
11,es,1440038976169988100,96144763, SRE mx  m ebrard Obligación del gobierno,1440356643938594823,False, SRE mx  m ebrard Obligación del gobierno,2021-09-21T16:45:59.000Z,Mexico,@SRE_mx @m_ebrard Obligación del gobierno,[],[],"['SRE_mx', 'm_ebrard']",[]
12,es,1440038976169988100,96144763, SRE mx  m ebrard Pero si no hicieron nada  no existe estrategia  nada ,1440337301515558918,False, SRE mx  m ebrard Pero si no hicieron nada  no existe estrategia  nada ,2021-09-21T15:29:07.000Z,Mexico,"@SRE_mx @m_ebrard Pero si no hicieron nada, no existe estrategia, nada.",[],[],"['SRE_mx', 'm_ebrard']",[]
13,es,1440038976169988100,96144763, BrendaC56423549  SRE mx  m ebrard Eres bot no tienes hijos  https   t co 4gpJN8a9wa,1440191215803113484,False, BrendaC56423549  SRE mx  m ebrard Eres bot no tienes hijos  https   t co 4gpJN8a9wa,2021-09-21T05:48:37.000Z,Mexico,@BrendaC56423549 @SRE_mx @m_ebrard Eres bot no tienes hijos. https://t.co/4gpJN8a9wa,[],[],"['BrendaC56423549', 'SRE_mx', 'm_ebrard']",[]
