,tweet_lang,replied_to_tweet_id,replied_to_user_id,reply_text,id,verified,text_en,tweet_date,country,tweet_text,tweet_emoticons,hashtags,mentions,tweet_urls,text_es,text_hi
0,en,1440853605116833796,803694179079458816, JCTheResistance  eminently me5  VP I was going to say ,1441002969831464960,False, JCTheResistance  eminently me5  VP I was going to say ,2021-09-23T11:34:15.000Z,USA,@JCTheResistance @eminently_me5 @VP I was going to say.,[],[],"['JCTheResistance', 'eminently_me5', 'VP']",[],,
1,en,1440853605116833796,803694179079458816, carbonbaby  VP He had enough fentanyl in him to kill a horse   He was being detained for passing counterfeit bills   Plus anyone of any color that beats on their pregnant girlfriend I don t have any sympathy for ,1441002859408117761,False, carbonbaby  VP He had enough fentanyl in him to kill a horse   He was being detained for passing counterfeit bills   Plus anyone of any color that beats on their pregnant girlfriend I don t have any sympathy for ,2021-09-23T11:33:48.000Z,USA,@carbonbaby @VP He had enough fentanyl in him to kill a horse.  He was being detained for passing counterfeit bills.  Plus anyone of any color that beats on their pregnant girlfriend I don't have any sympathy for.,[],[],"['carbonbaby', 'VP']",['https://t.co/uuILVw0qBj'],,
2,en,1440853605116833796,803694179079458816, joemuggs  VP Im not surprised you dont take the border crisis serious  No leftist does  As a death cult  you wouldn t care if any of them dies,1441002758526709760,False, joemuggs  VP Im not surprised you dont take the border crisis serious  No leftist does  As a death cult  you wouldn t care if any of them dies,2021-09-23T11:33:24.000Z,USA,"@joemuggs @VP Im not surprised you dont take the border crisis serious. No leftist does. As a death cult, you wouldn't care if any of them dies",[],[],"['joemuggs', 'VP']",['https://t.co/wz9BXQod9F'],,
3,en,1440853605116833796,803694179079458816, ChrisSkinner3  GemayelHampton  VP Shove off  badgegroupiehttps   t co c2ZdgjqPrF,1441002741493600256,False, ChrisSkinner3  GemayelHampton  VP Shove off  badgegroupiehttps   t co c2ZdgjqPrF,2021-09-23T11:33:20.000Z,USA,"@ChrisSkinner3 @GemayelHampton @VP Shove off #badgegroupie

https://t.co/c2ZdgjqPrF",[],['badgegroupie'],"['ChrisSkinner3', 'GemayelHampton', 'VP']",['https://t.co/c2ZdgjqPrF'],,
4,en,1440853605116833796,803694179079458816, VP Reminder that u are useless  pos and have done NOTHING  to help at boarder  nor help America in any way   U should be ashamed if ur self,1441002667476672512,False, VP Reminder that u are useless  pos and have done NOTHING  to help at boarder  nor help America in any way   U should be ashamed if ur self,2021-09-23T11:33:03.000Z,USA,"@VP Reminder that u are useless, pos and have done NOTHING  to help at boarder, nor help America in any way!  U should be ashamed if ur self",[],[],['VP'],[],,
5,en,1440853605116833796,803694179079458816, VP Yeah right  You are not treating any of us with any dignity  You have no idea how to run a country ,1441002449330917614,False, VP Yeah right  You are not treating any of us with any dignity  You have no idea how to run a country ,2021-09-23T11:32:11.000Z,USA,@VP Yeah right! You are not treating any of us with any dignity! You have no idea how to run a country!,[],[],['VP'],[],,
6,en,1440853605116833796,803694179079458816, VP Don t listen to her friends  She is trying to divide us  We great people of America need to stand together in the face of tyranny like we did on 9 11 They know that we will take them down if we UNITE Do Not Divide I love you ALL Stand together ,1441002417496023048,False, VP Don t listen to her friends  She is trying to divide us  We great people of America need to stand together in the face of tyranny like we did on 9 11 They know that we will take them down if we UNITE Do Not Divide I love you ALL Stand together ,2021-09-23T11:32:03.000Z,USA,"@VP Don't listen to her friends. She is trying to divide us. We great people of America need to stand together in the face of tyranny like we did on 9/11.

They know that we will take them down if we UNITE!

Do Not Divide!

I love you ALL!

Stand together!",[],[],['VP'],['https://t.co/gcS50FnSXZ'],,
7,en,1440853605116833796,803694179079458816, VP  Sen JoeManchin  SenatorSinema Kill the filibuster for the people  It’s the only way to advance our nation out of the hell hole the GQP Senate corporations have put us in and which continues to hold us ALL down  https   t co HvZfD1jv1I,1441002111274192896,False, VP  Sen JoeManchin  SenatorSinema Kill the filibuster for the people  It’s the only way to advance our nation out of the hell hole the GQP Senate corporations have put us in and which continues to hold us ALL down  https   t co HvZfD1jv1I,2021-09-23T11:30:50.000Z,USA,@VP @Sen_JoeManchin @SenatorSinema Kill the filibuster for the people. It’s the only way to advance our nation out of the hell hole the GQP/Senate/corporations have put us in and which continues to hold us ALL down. https://t.co/HvZfD1jv1I,[],[],"['VP', 'Sen_JoeManchin', 'SenatorSinema']",['https://t.co/sXUAHrZoDx'],,
8,en,1440853605116833796,803694179079458816, VP Millions of people burned Siht to the ground and you called it peaceful       ID10T ,1441001920869588992,False, VP Millions of people burned Siht to the ground and you called it peaceful       ID10T ,2021-09-23T11:30:05.000Z,USA,@VP Millions of people burned Siht to the ground and you called it peaceful.......ID10T.,[],[],['VP'],[],,
9,en,1440853605116833796,803694179079458816, MaRktheDark37  DougIuliano  VP They chose that incident because it was time for the next major step in The Great Reset ,1441001552710455298,False, MaRktheDark37  DougIuliano  VP They chose that incident because it was time for the next major step in The Great Reset ,2021-09-23T11:28:37.000Z,USA,@MaRktheDark37 @DougIuliano @VP They chose that incident because it was time for the next major step in The Great Reset.,[],[],"['MaRktheDark37', 'DougIuliano', 'VP']",[],,
10,en,1440853605116833796,803694179079458816, VP Have you ever thought that if people who are approached by police do what they are told to do instead of acting stupid and trying to make a normally uneventful event very eventful that most like more than half of these so called police brutality cases would never have happened ,1441001550147690499,False, VP Have you ever thought that if people who are approached by police do what they are told to do instead of acting stupid and trying to make a normally uneventful event very eventful that most like more than half of these so called police brutality cases would never have happened ,2021-09-23T11:28:36.000Z,USA,@VP Have you ever thought that if people who are approached by police do what they are told to do instead of acting stupid and trying to make a normally uneventful event very eventful that most like more than half of these so called police brutality cases would never have happened.,[],[],['VP'],['https://t.co/FMWc1R2iXi'],,
