,tweet_lang,replied_to_tweet_id,replied_to_user_id,reply_text,id,verified,text_hi,tweet_date,country,tweet_text,tweet_emoticons,hashtags,mentions,tweet_urls,text_en
0,hi,1439331168827043840,77732185, drharshvardhan  narendramodi  PMOIndia  BJP4Goa आप भ्रष्टाचार पर रोक लगाने वाली बात करे  उत्तर प्रदेश के सहारनपुर के बेहट विधानसभा क्षेत्र के शिवालिक वन विभाग के जंगल मे हो रहे अवैध खनन और कीमती लकड़ी जड़ी बूटियों कि तस्करी वो व्यक्ति कर रहे हे जिन्होंने 2019 इलेक्शन मे बीजेपी को यहाँ हरा दिया अब बीजेपी के प्रोजेक्ट पर नजर हे,1439511384673320962,False, drharshvardhan  narendramodi  PMOIndia  BJP4Goa आप भ्रष्टाचार पर रोक लगाने वाली बात करे  उत्तर प्रदेश के सहारनपुर के बेहट विधानसभा क्षेत्र के शिवालिक वन विभाग के जंगल मे हो रहे अवैध खनन और कीमती लकड़ी जड़ी बूटियों कि तस्करी वो व्यक्ति कर रहे हे जिन्होंने 2019 इलेक्शन मे बीजेपी को यहाँ हरा दिया अब बीजेपी के प्रोजेक्ट पर नजर हे,2021-09-19T08:47:13.000Z,India,@drharshvardhan @narendramodi @PMOIndia @BJP4Goa आप भ्रष्टाचार पर रोक लगाने वाली बात करे! उत्तर प्रदेश के सहारनपुर के बेहट विधानसभा क्षेत्र के शिवालिक वन विभाग के जंगल मे हो रहे अवैध खनन और कीमती लकड़ी जड़ी-बूटियों कि तस्करी वो व्यक्ति कर रहे हे जिन्होंने 2019 इलेक्शन मे बीजेपी को यहाँ हरा दिया अब बीजेपी के प्रोजेक्ट पर नजर हे,[],[],"['drharshvardhan', 'narendramodi', 'PMOIndia', 'BJP4Goa']",['https://t.co/s7rFAj4zDs'],
1,en,1439331168827043840,77732185, drharshvardhan  narendramodi  PMOIndia  BJP4Goa A time will come when there will be no shortage of food  and poverty will be removed from the Earth by the mercy of Allah SWT  These any many other glad tidings are in the divine dreams of Muhammad Qasim  Learn more at https   t co mQt5YlOb6L https   t co 05TgfOL5iF https   t co aRpRUKIarY,1439494969841098760,False,,2021-09-19T07:41:59.000Z,India,"@drharshvardhan @narendramodi @PMOIndia @BJP4Goa A time will come when there will be no shortage of food, and poverty will be removed from the Earth by the mercy of Allah SWT. These any many other glad tidings are in the divine dreams of Muhammad Qasim. Learn more at https://t.co/mQt5YlOb6L https://t.co/05TgfOL5iF https://t.co/aRpRUKIarY",[],[],"['drharshvardhan', 'narendramodi', 'PMOIndia', 'BJP4Goa']",['https://t.co/e08qdey8A0'], drharshvardhan  narendramodi  PMOIndia  BJP4Goa A time will come when there will be no shortage of food  and poverty will be removed from the Earth by the mercy of Allah SWT  These any many other glad tidings are in the divine dreams of Muhammad Qasim  Learn more at https   t co mQt5YlOb6L https   t co 05TgfOL5iF https   t co aRpRUKIarY
2,hi,1439331168827043840,77732185, drharshvardhan  narendramodi  PMOIndia  BJP4Goa  AmitShah  PMOIndia  narendramodi  myogiadityanath  rajnathsingh एक बार इस मामले को देख ले क्योंकि बहुत गलत हो रहा है मेरे भाई के साथ एक सबूत नही इनके खिलाफ फिर भी बेल रिजेक्ट कर दी गई हर जगह से क्लीनचिट मिलने बाद जज बेल रिजेक्ट कर देता है https   t co ywyk2UYK7H,1439383551519047683,False, drharshvardhan  narendramodi  PMOIndia  BJP4Goa  AmitShah  PMOIndia  narendramodi  myogiadityanath  rajnathsingh एक बार इस मामले को देख ले क्योंकि बहुत गलत हो रहा है मेरे भाई के साथ एक सबूत नही इनके खिलाफ फिर भी बेल रिजेक्ट कर दी गई हर जगह से क्लीनचिट मिलने बाद जज बेल रिजेक्ट कर देता है https   t co ywyk2UYK7H,2021-09-19T00:19:15.000Z,India,@drharshvardhan @narendramodi @PMOIndia @BJP4Goa @AmitShah @PMOIndia @narendramodi @myogiadityanath @rajnathsingh एक बार इस मामले को देख ले क्योंकि बहुत गलत हो रहा है मेरे भाई के साथ एक सबूत नही इनके खिलाफ फिर भी बेल रिजेक्ट कर दी गई हर जगह से क्लीनचिट मिलने बाद जज बेल रिजेक्ट कर देता है https://t.co/ywyk2UYK7H,[],[],"['drharshvardhan', 'narendramodi', 'PMOIndia', 'BJP4Goa', 'AmitShah', 'PMOIndia', 'narendramodi', 'myogiadityanath', 'rajnathsingh']",['https://t.co/TtAqkAoQCR'],
3,en,1439331168827043840,77732185, drharshvardhan  narendramodi  PMOIndia  BJP4Goa Our Real Hero Modiji proud of you,1439368223196004353,False,,2021-09-18T23:18:21.000Z,India,@drharshvardhan @narendramodi @PMOIndia @BJP4Goa Our Real Hero Modiji proud of you,[],[],"['drharshvardhan', 'narendramodi', 'PMOIndia', 'BJP4Goa']",[], drharshvardhan  narendramodi  PMOIndia  BJP4Goa Our Real Hero Modiji proud of you
4,hi,1439331168827043840,77732185, drharshvardhan  narendramodi  PMOIndia  BJP4Goa कानून सबके लिए बराबर नहीं होता  यह साबित किया है  UCOBankOfficial  शेड्यूल कास्ट के फाइनेंशियल संवैधानिक अधिकारों की हत्या के लिए शूट फाइल विलफुल डिफॉल्टर  राईट आफ  सेटेलमेंट फर्जी टैग करना अपराध है  यह नार्मल बात श्रीमान बैंकिंग लोकपाल जयपुर को समझ नहीं आ रही FinMinIndia  RBI,1439331426457972750,False, drharshvardhan  narendramodi  PMOIndia  BJP4Goa कानून सबके लिए बराबर नहीं होता  यह साबित किया है  UCOBankOfficial  शेड्यूल कास्ट के फाइनेंशियल संवैधानिक अधिकारों की हत्या के लिए शूट फाइल विलफुल डिफॉल्टर  राईट आफ  सेटेलमेंट फर्जी टैग करना अपराध है  यह नार्मल बात श्रीमान बैंकिंग लोकपाल जयपुर को समझ नहीं आ रही FinMinIndia  RBI,2021-09-18T20:52:08.000Z,India,"@drharshvardhan @narendramodi @PMOIndia @BJP4Goa कानून सबके लिए बराबर नहीं होता ,यह साबित किया है @UCOBankOfficial  शेड्यूल कास्ट के फाइनेंशियल संवैधानिक अधिकारों की हत्या के लिए शूट फाइल विलफुल डिफॉल्टर ,राईट आफ, सेटेलमेंट फर्जी टैग करना अपराध है ,यह नार्मल बात श्रीमान बैंकिंग लोकपाल जयपुर को समझ नहीं आ रही
@FinMinIndia @RBI",[],[],"['drharshvardhan', 'narendramodi', 'PMOIndia', 'BJP4Goa', 'UCOBankOfficial']",['https://t.co/qbv1xxyewW'],
5,en,1439330681520209923,77732185, drharshvardhan  PMOIndia  BJP4India  BJP4Goa Muhammad Qasim saw in a dream in 1994  that Allah SWT will fulfil the promises made to Qasim  and if not then Allah SWT is not the king of all worlds  Many of Qasim’s dreams are now coming true  this is a warning for Muslim ummah  https   t co mQt5YlOb6L https   t co ycl4gi1ItL https   t co AheY0pl5Mq,1439495838338887683,False,,2021-09-19T07:45:27.000Z,India,"@drharshvardhan @PMOIndia @BJP4India @BJP4Goa Muhammad Qasim saw in a dream in 1994, that Allah SWT will fulfil the promises made to Qasim, and if not then Allah SWT is not the king of all worlds. Many of Qasim’s dreams are now coming true, this is a warning for Muslim ummah! https://t.co/mQt5YlOb6L https://t.co/ycl4gi1ItL https://t.co/AheY0pl5Mq",[],[],"['drharshvardhan', 'PMOIndia', 'BJP4India', 'BJP4Goa']",['https://t.co/jk2wfVsRWC'], drharshvardhan  PMOIndia  BJP4India  BJP4Goa Muhammad Qasim saw in a dream in 1994  that Allah SWT will fulfil the promises made to Qasim  and if not then Allah SWT is not the king of all worlds  Many of Qasim’s dreams are now coming true  this is a warning for Muslim ummah  https   t co mQt5YlOb6L https   t co ycl4gi1ItL https   t co AheY0pl5Mq
6,hi,1439329752825794560,77732185, drharshvardhan  narendramodi  PMOIndia  BJP4India जय हिंद,1439625810592206848,False, drharshvardhan  narendramodi  PMOIndia  BJP4India जय हिंद,2021-09-19T16:21:54.000Z,India,@drharshvardhan @narendramodi @PMOIndia @BJP4India जय हिंद,[],[],"['drharshvardhan', 'narendramodi', 'PMOIndia', 'BJP4India']",[],
7,hi,1439329752825794560,77732185, drharshvardhan  narendramodi  PMOIndia  BJP4India कल हमारा भी मन छू लिया नर्सों की कमी के कारण हॉस्पिटल में ताला लगा था गरीब मां बाप का बच्चा बीमार था स्वास्थ्य कर्मियों की कमी के कारण गोद में दम तोड़ दियास्वास्थ्य कर्मियों की कमी पूरी करो जल्दी से जल्दी भर्ती करो cmohry  HSSCorg in  JPNadda  BJP4Haryana  INCHaryana  ABPNews,1439433299810611206,False, drharshvardhan  narendramodi  PMOIndia  BJP4India कल हमारा भी मन छू लिया नर्सों की कमी के कारण हॉस्पिटल में ताला लगा था गरीब मां बाप का बच्चा बीमार था स्वास्थ्य कर्मियों की कमी के कारण गोद में दम तोड़ दियास्वास्थ्य कर्मियों की कमी पूरी करो जल्दी से जल्दी भर्ती करो cmohry  HSSCorg in  JPNadda  BJP4Haryana  INCHaryana  ABPNews,2021-09-19T03:36:56.000Z,India,"@drharshvardhan @narendramodi @PMOIndia @BJP4India कल हमारा भी मन छू लिया नर्सों की कमी के कारण हॉस्पिटल में ताला लगा था गरीब मां-बाप का बच्चा बीमार था स्वास्थ्य कर्मियों की कमी के कारण गोद में दम तोड़ दिया

स्वास्थ्य कर्मियों की कमी पूरी करो जल्दी से जल्दी भर्ती करो

@cmohry @HSSCorg_in @JPNadda @BJP4Haryana @INCHaryana @ABPNews",[],[],"['drharshvardhan', 'narendramodi', 'PMOIndia', 'BJP4India']",['https://t.co/09JEYahyHb'],
8,hi,1439329752825794560,77732185, drharshvardhan  narendramodi  PMOIndia  BJP4India लड़के लिया पाकिस्तान बिना लड़े लेंगे हिंदुस्तान सत्य है नहीं जागे तो मिट जाओगे  हिन्दू जनसंख्या बढ़ाये  जातिवाद मिटाये अन्यथाशरणार्थी बनने को तैयार रहे   जय भीम बोलने वाले दलित भी साथ दे  पाकिस्तान में 30  दलित थे अब 1  वो भी रोज मर रहे हैं इस्लामिकजिहादसे https   t co nN2aRUrnDH,1439433222903910401,False, drharshvardhan  narendramodi  PMOIndia  BJP4India लड़के लिया पाकिस्तान बिना लड़े लेंगे हिंदुस्तान सत्य है नहीं जागे तो मिट जाओगे  हिन्दू जनसंख्या बढ़ाये  जातिवाद मिटाये अन्यथाशरणार्थी बनने को तैयार रहे   जय भीम बोलने वाले दलित भी साथ दे  पाकिस्तान में 30  दलित थे अब 1  वो भी रोज मर रहे हैं इस्लामिकजिहादसे https   t co nN2aRUrnDH,2021-09-19T03:36:38.000Z,India,"@drharshvardhan @narendramodi @PMOIndia @BJP4India लड़के लिया पाकिस्तान,बिना लड़े लेंगे हिंदुस्तान सत्य है नहीं जागे तो मिट जाओगे, हिन्दू जनसंख्या बढ़ाये, जातिवाद मिटाये,अन्यथाशरणार्थी बनने को तैयार रहे , जय भीम बोलने वाले दलित भी साथ दे ,पाकिस्तान में 30% दलित थे अब 1% वो भी रोज मर रहे हैं,इस्लामिकजिहादसे https://t.co/nN2aRUrnDH",[],[],"['drharshvardhan', 'narendramodi', 'PMOIndia', 'BJP4India']",['https://t.co/NfPMEfqJtn'],
9,en,1439329752825794560,77732185, drharshvardhan  narendramodi  PMOIndia  BJP4India Thanking You  honourable prime minister of India sir  shree Narendra MODIJI  for effective vaccination drive in one day more than 2 5 crores People got vaccinated  a big leap forward for India ,1439403073365942280,False,,2021-09-19T01:36:50.000Z,India,"@drharshvardhan @narendramodi @PMOIndia @BJP4India Thanking You, honourable prime minister of India sir, shree Narendra MODIJI 🙏 for effective vaccination drive in one day more than 2.5 crores People got vaccinated, a big leap forward for India.",['🙏'],[],"['drharshvardhan', 'narendramodi', 'PMOIndia', 'BJP4India']",['https://t.co/DjQji7nzaj'], drharshvardhan  narendramodi  PMOIndia  BJP4India Thanking You  honourable prime minister of India sir  shree Narendra MODIJI  for effective vaccination drive in one day more than 2 5 crores People got vaccinated  a big leap forward for India 
