,tweet_lang,replied_to_tweet_id,replied_to_user_id,reply_text,id,verified,text_hi,tweet_date,country,tweet_text,tweet_emoticons,hashtags,mentions,tweet_urls,text_en,text_es
0,hi,1440724756173492226,978941133383454726,विशेष रुप से नवविवाहिता  गर्भवती  धात्री महिलाऐं  बीमार व्यक्ति तथा 18 वर्ष पूर्ण करने वाले युवाओं को पहचान करें और वैक्सीन लगवाएं।इसके साथ ही रोजगार के लिये बाहर गए श्रमिकों की पहचान कर उन्हें भी टीकाकरण सुनिश्चित करे।,1440724758979493898,False,विशेष रुप से नवविवाहिता  गर्भवती  धात्री महिलाऐं  बीमार व्यक्ति तथा 18 वर्ष पूर्ण करने वाले युवाओं को पहचान करें और वैक्सीन लगवाएं।इसके साथ ही रोजगार के लिये बाहर गए श्रमिकों की पहचान कर उन्हें भी टीकाकरण सुनिश्चित करे।,2021-09-22T17:08:44.000Z,India,"विशेष रुप से नवविवाहिता ,गर्भवती, धात्री महिलाऐं ,बीमार व्यक्ति तथा 18 वर्ष पूर्ण करने वाले युवाओं को पहचान करें और वैक्सीन लगवाएं।इसके साथ ही रोजगार के लिये बाहर गए श्रमिकों की पहचान कर उन्हें भी टीकाकरण सुनिश्चित करे।",[],[],[],['https://t.co/wWMegqbNMU'],,
1,hi,1440724548773548033,986178015913750528,विशेष रुप से नवविवाहिता  गर्भवती  धात्री महिलाऐं  बीमार व्यक्ति तथा 18 वर्ष पूर्ण करने वाले युवाओं को पहचान करें और वैक्सीन लगवाएं।इसके साथ ही रोजगार के लिये बाहर गए श्रमिकों की पहचान कर उन्हें भी टीकाकरण सुनिश्चित करे।,1440724551369822216,False,विशेष रुप से नवविवाहिता  गर्भवती  धात्री महिलाऐं  बीमार व्यक्ति तथा 18 वर्ष पूर्ण करने वाले युवाओं को पहचान करें और वैक्सीन लगवाएं।इसके साथ ही रोजगार के लिये बाहर गए श्रमिकों की पहचान कर उन्हें भी टीकाकरण सुनिश्चित करे।,2021-09-22T17:07:55.000Z,India,"विशेष रुप से नवविवाहिता ,गर्भवती, धात्री महिलाऐं ,बीमार व्यक्ति तथा 18 वर्ष पूर्ण करने वाले युवाओं को पहचान करें और वैक्सीन लगवाएं।इसके साथ ही रोजगार के लिये बाहर गए श्रमिकों की पहचान कर उन्हें भी टीकाकरण सुनिश्चित करे।",[],[],[],['https://t.co/DIgSlGJZDX'],,
2,hi,1440724080726970375,981074638750052352,विशेष रुप से नवविवाहिता  गर्भवती  धात्री महिलाऐं  बीमार व्यक्ति तथा 18 वर्ष पूर्ण करने वाले युवाओं को पहचान करें और वैक्सीन लगवाएं।इसके साथ ही रोजगार के लिये बाहर गए श्रमिकों की पहचान कर उन्हें भी टीकाकरण सुनिश्चित करे।,1440724083038056458,False,विशेष रुप से नवविवाहिता  गर्भवती  धात्री महिलाऐं  बीमार व्यक्ति तथा 18 वर्ष पूर्ण करने वाले युवाओं को पहचान करें और वैक्सीन लगवाएं।इसके साथ ही रोजगार के लिये बाहर गए श्रमिकों की पहचान कर उन्हें भी टीकाकरण सुनिश्चित करे।,2021-09-22T17:06:03.000Z,India,"विशेष रुप से नवविवाहिता ,गर्भवती, धात्री महिलाऐं ,बीमार व्यक्ति तथा 18 वर्ष पूर्ण करने वाले युवाओं को पहचान करें और वैक्सीन लगवाएं।इसके साथ ही रोजगार के लिये बाहर गए श्रमिकों की पहचान कर उन्हें भी टीकाकरण सुनिश्चित करे।",[],[],[],['https://t.co/5LLNKqPJ5g'],,
3,hi,1440723704195866640,949556726105178112,विशेष रुप से नवविवाहिता  गर्भवती  धात्री महिलाऐं  बीमार व्यक्ति तथा 18 वर्ष पूर्ण करने वाले युवाओं को पहचान करें और वैक्सीन लगवाएं।इसके साथ ही रोजगार के लिये बाहर गए श्रमिकों की पहचान कर उन्हें भी टीकाकरण सुनिश्चित करे।,1440723706951524352,False,विशेष रुप से नवविवाहिता  गर्भवती  धात्री महिलाऐं  बीमार व्यक्ति तथा 18 वर्ष पूर्ण करने वाले युवाओं को पहचान करें और वैक्सीन लगवाएं।इसके साथ ही रोजगार के लिये बाहर गए श्रमिकों की पहचान कर उन्हें भी टीकाकरण सुनिश्चित करे।,2021-09-22T17:04:33.000Z,India,"विशेष रुप से नवविवाहिता ,गर्भवती, धात्री महिलाऐं ,बीमार व्यक्ति तथा 18 वर्ष पूर्ण करने वाले युवाओं को पहचान करें और वैक्सीन लगवाएं।इसके साथ ही रोजगार के लिये बाहर गए श्रमिकों की पहचान कर उन्हें भी टीकाकरण सुनिश्चित करे।",[],[],[],['https://t.co/toYF4jMWI1'],,
4,en,1440722554944057348,1271838855117672451, Sarita95069121 Absolutaly right,1440731823378612227,False,,2021-09-22T17:36:48.000Z,India,@Sarita95069121 Absolutaly right,[],[],['Sarita95069121'],[], Sarita95069121 Absolutaly right,
5,hi,1440722554944057348,1271838855117672451, Sarita95069121 कहना क्या चाहती हैं आप,1440723677570473990,False, Sarita95069121 कहना क्या चाहती हैं आप,2021-09-22T17:04:26.000Z,India,@Sarita95069121 कहना क्या चाहती हैं आप,[],[],['Sarita95069121'],[],,
6,hi,1440716578954231810,973162418653335552, वार्ड स्तरीय तथा ग्राम स्तरीय क्राइसिस मैनेजमेंट समितियों  के सदस्यों को 23 सितम्बर को अपराह्न 020 बजे से वीडियो कॉन्फ्रेंसिंग के माध्यम से संबोधित करेंगे ।  CMMadhyaPradesh  JansamparkMP,1440716581231751171,False, वार्ड स्तरीय तथा ग्राम स्तरीय क्राइसिस मैनेजमेंट समितियों  के सदस्यों को 23 सितम्बर को अपराह्न 020 बजे से वीडियो कॉन्फ्रेंसिंग के माध्यम से संबोधित करेंगे ।  CMMadhyaPradesh  JansamparkMP,2021-09-22T16:36:14.000Z,India,"-वार्ड स्तरीय तथा ग्राम स्तरीय क्राइसिस मैनेजमेंट समितियों  के सदस्यों को 23 सितम्बर को अपराह्न 02:30 बजे से वीडियो कॉन्फ्रेंसिंग के माध्यम से संबोधित करेंगे । 
@CMMadhyaPradesh 
@JansamparkMP",[':3'],[],[],['https://t.co/TjlmSrmpYh'],,
7,hi,1440716248749248521,982500410882707456, वार्ड स्तरीय तथा ग्राम स्तरीय क्राइसिस मैनेजमेंट समितियों  के सदस्यों को 23 सितम्बर को अपराह्न 020 बजे से वीडियो कॉन्फ्रेंसिंग के माध्यम से संबोधित करेंगे । CMMadhyaPradesh  JansamparkMP,1440716251026780162,False, वार्ड स्तरीय तथा ग्राम स्तरीय क्राइसिस मैनेजमेंट समितियों  के सदस्यों को 23 सितम्बर को अपराह्न 020 बजे से वीडियो कॉन्फ्रेंसिंग के माध्यम से संबोधित करेंगे । CMMadhyaPradesh  JansamparkMP,2021-09-22T16:34:56.000Z,India,"-वार्ड स्तरीय तथा ग्राम स्तरीय क्राइसिस मैनेजमेंट समितियों  के सदस्यों को 23 सितम्बर को अपराह्न 02:30 बजे से वीडियो कॉन्फ्रेंसिंग के माध्यम से संबोधित करेंगे ।
@CMMadhyaPradesh 
@JansamparkMP",[':3'],[],[],['https://t.co/37MmozG3MU'],,
8,hi,1440714465817677829,1657620379, rpbreakingnews शैलेश खैरवा एसडीएम झुंझुनू एक महाभ्रष्ट अधिकारी है।  किसी भी मामले की सुनवाई नहीं करता।  आम जनता इनके कार्यालय   कोर्ट के चक्कर काटती रहती है।  और ये महाशय तारीख पर तारीख देते रहते हैं।  JhalkoJjn  JhalkoSikar  RajCMO  RajSampark  my rajasthan  BjpJhunjhunu  NarendraBJPRaj,1440714651847696386,False, rpbreakingnews शैलेश खैरवा एसडीएम झुंझुनू एक महाभ्रष्ट अधिकारी है।  किसी भी मामले की सुनवाई नहीं करता।  आम जनता इनके कार्यालय   कोर्ट के चक्कर काटती रहती है।  और ये महाशय तारीख पर तारीख देते रहते हैं।  JhalkoJjn  JhalkoSikar  RajCMO  RajSampark  my rajasthan  BjpJhunjhunu  NarendraBJPRaj,2021-09-22T16:28:34.000Z,India,@rpbreakingnews शैलेश खैरवा एसडीएम झुंझुनू एक महाभ्रष्ट अधिकारी है।  किसी भी मामले की सुनवाई नहीं करता।  आम जनता इनके कार्यालय / कोर्ट के चक्कर काटती रहती है।  और ये महाशय तारीख पर तारीख देते रहते हैं। @JhalkoJjn @JhalkoSikar @RajCMO @RajSampark @my_rajasthan @BjpJhunjhunu @NarendraBJPRaj,[],[],['rpbreakingnews'],['https://t.co/0lc7vGz5LP'],,
9,hi,1440714196153298955,42606652, aajtak  narendramodi Chupppppppp  Hamesha wahi bakwas  jhuth  fareb  Iss budhape mei upar wale se toh darr lo ,1440728511216451593,False, aajtak  narendramodi Chupppppppp  Hamesha wahi bakwas  jhuth  fareb  Iss budhape mei upar wale se toh darr lo ,2021-09-22T17:23:39.000Z,India,"@aajtak @narendramodi Chupppppppp! Hamesha wahi bakwas, jhuth, fareb. Iss budhape mei upar wale se toh darr lo.",[],[],"['aajtak', 'narendramodi']",[],,
