,tweet_lang,replied_to_tweet_id,replied_to_user_id,reply_text,id,verified,text_en,tweet_date,country,tweet_text,tweet_emoticons,hashtags,mentions,tweet_urls,text_hi,text_es
0,en,1441084345016487940,346965657,they be putting me in a pack I’m not even gon lie to you,1441084406458839046,False,they be putting me in a pack I’m not even gon lie to you,2021-09-23T16:57:51.000Z,USA,they be putting me in a pack I’m not even gon lie to you,[],[],[],[],,
1,en,1441083545972195334,1073777869791191040, TrinityMustache Same,1441083840336777225,False, TrinityMustache Same,2021-09-23T16:55:36.000Z,USA,@TrinityMustache Same,[],[],['TrinityMustache'],[],,
2,en,1441083468411142155,13297272,loans can save you in an emergency  but don’t play wit em if you don’t need eminstead it feels like a bunch of broke people  mentally and or physically unhealthy  are forcing others to take out loan they don’t want cuz they think they get better rates on their loans if they do,1441083486455037956,False,loans can save you in an emergency  but don’t play wit em if you don’t need eminstead it feels like a bunch of broke people  mentally and or physically unhealthy  are forcing others to take out loan they don’t want cuz they think they get better rates on their loans if they do,2021-09-23T16:54:11.000Z,USA,"loans can save you in an emergency, but don’t play wit em if you don’t need em

instead it feels like a bunch of broke people (mentally and/or physically unhealthy) are forcing others to take out loan they don’t want cuz they think they get better rates on their loans if they do",[],[],[],['https://t.co/8s1bC6202m'],,
3,en,1441083468411142155,13297272,most people didn’t actually need the money  healthy enough to survive covid naturally  but took out a loan to have a little extra spending moneya loud few of those people are mad that you might need money down the line  the unvaccinated are the only ones spreading covid ,1441083479719129088,False,most people didn’t actually need the money  healthy enough to survive covid naturally  but took out a loan to have a little extra spending moneya loud few of those people are mad that you might need money down the line  the unvaccinated are the only ones spreading covid ,2021-09-23T16:54:10.000Z,USA,"most people didn’t actually need the money (healthy enough to survive covid naturally) but took out a loan to have a little extra spending money

a loud few of those people are mad that you might need money down the line (the unvaccinated are the only ones spreading covid)",[],[],[],['https://t.co/0tkU4o9Tzy'],,
4,en,1441083468411142155,13297272,people always take out loans and use credit cards for things they need  polio vaccines  etc  and it usually works out just fine so what’s the big deal this loan is a little different tho  covid vax hasn’t been tested like the others  people are lying and hiding issues with it ,1441083478582472704,False,people always take out loans and use credit cards for things they need  polio vaccines  etc  and it usually works out just fine so what’s the big deal this loan is a little different tho  covid vax hasn’t been tested like the others  people are lying and hiding issues with it ,2021-09-23T16:54:09.000Z,USA,"people always take out loans and use credit cards for things they need (polio vaccines, etc) and it usually works out just fine so what’s the big deal?

this loan is a little different tho (covid vax hasn’t been tested like the others, people are lying and hiding issues with it)",[],[],[],['https://t.co/TmLOfzEda4'],,
5,en,1441083468411142155,13297272,pretty soon you need another loan  booster shots  to pay off the other loan  fix the issues caused by a prior booster shot you might go bankrupt  i won’t force payday loans on anybody  you can get one if you want  they can be helpful  beats not eating,1441083476837429269,False,pretty soon you need another loan  booster shots  to pay off the other loan  fix the issues caused by a prior booster shot you might go bankrupt  i won’t force payday loans on anybody  you can get one if you want  they can be helpful  beats not eating,2021-09-23T16:54:09.000Z,USA,"pretty soon you need another loan (booster shots) to pay off the other loan (fix the issues caused by a prior booster shot)

you might go bankrupt, i won’t force payday loans on anybody, you can get one if you want. 

they can be helpful, beats not eating",[],[],[],['https://t.co/aIFFtDEFfn'],,
6,en,1441083468411142155,13297272,terms of the loan look reasonable  the vaccines are completely safe and effective   and you hope that you can take out one loan and pay it off and move on  never eerience complications or issues that’s ideal  but not always reality  ADE  heart issues  blood clots for some ,1441083473813401602,False,terms of the loan look reasonable  the vaccines are completely safe and effective   and you hope that you can take out one loan and pay it off and move on  never eerience complications or issues that’s ideal  but not always reality  ADE  heart issues  blood clots for some ,2021-09-23T16:54:08.000Z,USA,"terms of the loan look reasonable (the vaccines are completely safe and effective!) and you hope that you can take out one loan and pay it off and move on (never experience complications or issues)

that’s ideal, but not always reality (ADE, heart issues, blood clots for some)",['xp'],[],[],['https://t.co/UrhxhhmBxA'],,
7,en,1441083468411142155,13297272,shoulda been smarter wit money  exercised  stop smoking  eat cleaner  vitamin D  so that you dont put yourself at higher risk of needing high interest loans  comorbidity that makes covid worse best thing to do might just be to not take these loans out at all  99  survival rate ,1441083471204470790,False,shoulda been smarter wit money  exercised  stop smoking  eat cleaner  vitamin D  so that you dont put yourself at higher risk of needing high interest loans  comorbidity that makes covid worse best thing to do might just be to not take these loans out at all  99  survival rate ,2021-09-23T16:54:08.000Z,USA,"shoulda been smarter wit money (exercised, stop smoking, eat cleaner, vitamin D) so that you dont put yourself at higher risk of needing high interest loans (comorbidity that makes covid worse)

best thing to do might just be to not take these loans out at all (99% survival rate)",[],[],[],['https://t.co/sYg9UKqGQD'],,
8,en,1441083355328487426,996405428,for those who weren’t around in those hallowed days  I definitely flipped off the camera in most of them,1441084129563451393,False,for those who weren’t around in those hallowed days  I definitely flipped off the camera in most of them,2021-09-23T16:56:45.000Z,USA,"for those who weren’t around in those hallowed days, I definitely flipped off the camera in most of them",[],[],[],[],,
9,en,1441083211635781638,2984583160, the wemoveeee Really ,1441083713790439430,False, the wemoveeee Really ,2021-09-23T16:55:06.000Z,USA,@the_wemoveeee Really?,[],[],['the_wemoveeee'],[],,
10,en,1441082895183978523,1406126941162328067,Creative  Hitler created art  I m cooler than the rest of you ,1441082989908135961,False,Creative  Hitler created art  I m cooler than the rest of you ,2021-09-23T16:52:13.000Z,USA,Creative. Hitler created art. I'm cooler than the rest of you.,[],[],[],[],,
11,en,1441082776946499589,1116648498210820096, SlowerOne  Yeah,1441084665520029696,False, SlowerOne  Yeah,2021-09-23T16:58:52.000Z,USA,@SlowerOne_ Yeah,[],[],['SlowerOne_'],[],,
12,en,1441082776946499589,1116648498210820096, SlowerOne  Probably in knockouts  Irrespective of target  ball is there  then hit,1441084642317115393,False, SlowerOne  Probably in knockouts  Irrespective of target  ball is there  then hit,2021-09-23T16:58:47.000Z,USA,"@SlowerOne_ Probably in knockouts. Irrespective of target, ball is there, then hit",[],[],['SlowerOne_'],[],,
13,en,1441082776946499589,1116648498210820096, MohitKattaC1733 Game awarness better word,1441084554094153728,False, MohitKattaC1733 Game awarness better word,2021-09-23T16:58:26.000Z,USA,@MohitKattaC1733 Game awarness better word,[],[],['MohitKattaC1733'],[],,
14,en,1441082776946499589,1116648498210820096, MohitKattaC1733 Needed in t20 yrr  But not that big role,1441084427824553987,False, MohitKattaC1733 Needed in t20 yrr  But not that big role,2021-09-23T16:57:56.000Z,USA,"@MohitKattaC1733 Needed in t20 yrr .
But not that big role",[],[],['MohitKattaC1733'],[],,
15,en,1441082776946499589,1116648498210820096, SlowerOne  I hate the word maturity in T20s  But yes  showing his complete range,1441084144721678341,False, SlowerOne  I hate the word maturity in T20s  But yes  showing his complete range,2021-09-23T16:56:48.000Z,USA,"@SlowerOne_ I hate the word maturity in T20s. But yes, showing his complete range",[],[],['SlowerOne_'],[],,
16,en,1441082776946499589,1116648498210820096, MohitKattaC1733 First impact is hitter now he is showing class  maturity  amp  game awareness,1441083755372822535,False, MohitKattaC1733 First impact is hitter now he is showing class  maturity  amp  game awareness,2021-09-23T16:55:15.000Z,USA,"@MohitKattaC1733 First impact is hitter now he is showing class, maturity &amp; game awareness",[],[],['MohitKattaC1733'],[],,
17,en,1441082632327073796,1143970471983099904, hammertime10691 Shaq top 3 don t care what anyone says,1441083466511224834,False, hammertime10691 Shaq top 3 don t care what anyone says,2021-09-23T16:54:07.000Z,USA,@hammertime10691 Shaq top 3 don't care what anyone says,[],[],['hammertime10691'],[],,
18,en,1441082624928325636,322905972, mchkzn  SearsStores I have fond memories of all of that  Was a big deal going to Sears in the day ,1441083758879277059,False, mchkzn  SearsStores I have fond memories of all of that  Was a big deal going to Sears in the day ,2021-09-23T16:55:16.000Z,USA,@mchkzn @SearsStores I have fond memories of all of that. Was a big deal going to Sears in the day.,[],[],"['mchkzn', 'SearsStores']",[],,
19,en,1441082566476320784,385473825, Squawka Victor Osimgoal ,1441082946992021529,False, Squawka Victor Osimgoal ,2021-09-23T16:52:03.000Z,USA,@Squawka Victor Osimgoal 🔥🤯,"['🤯', '🔥']",[],['Squawka'],[],,
20,en,1441082243103920131,487094283, LucidMotors Did you make friends with  canoo across the field  https   t co 4RTSopGXIh,1441084587019423749,False, LucidMotors Did you make friends with  canoo across the field  https   t co 4RTSopGXIh,2021-09-23T16:58:34.000Z,USA,"@LucidMotors Did you make friends with @canoo across the field? 

https://t.co/4RTSopGXIh",[],[],"['LucidMotors', 'canoo']",['https://t.co/4RTSopGXIh'],,
21,en,1441082243103920131,487094283, LucidMotors I love you guys,1441084424141955072,False, LucidMotors I love you guys,2021-09-23T16:57:55.000Z,USA,@LucidMotors I love you guys,[],[],['LucidMotors'],[],,
22,en,1441082243103920131,487094283, LucidMotors Post something to kill bears,1441084149192744965,False, LucidMotors Post something to kill bears,2021-09-23T16:56:49.000Z,USA,@LucidMotors Post something to kill bears,[],[],['LucidMotors'],[],,
23,en,1441082243103920131,487094283, AMC SQZ  LucidMotors Even they dont know  theyre useless,1441083522735755273,False, AMC SQZ  LucidMotors Even they dont know  theyre useless,2021-09-23T16:54:20.000Z,USA,"@AMC_SQZ @LucidMotors Even they dont know, theyre useless",[],[],"['AMC_SQZ', 'LucidMotors']",[],,
24,en,1441082243103920131,487094283, mbyMxnstr  LucidMotors Production review at their factory and allowing people who pre ordered check out the car,1441083460936896512,False, mbyMxnstr  LucidMotors Production review at their factory and allowing people who pre ordered check out the car,2021-09-23T16:54:05.000Z,USA,@mbyMxnstr @LucidMotors Production review at their factory and allowing people who pre-ordered check out the car,[],[],"['mbyMxnstr', 'LucidMotors']",[],,
25,en,1441082243103920131,487094283, LucidMotors Are you still blocking peoples replies to fit your own narrative What a shady company,1441083356876185605,False, LucidMotors Are you still blocking peoples replies to fit your own narrative What a shady company,2021-09-23T16:53:40.000Z,USA,"@LucidMotors Are you still blocking peoples replies to fit your own narrative?

What a shady company",[],[],['LucidMotors'],[],,
26,en,1441082243103920131,487094283, LucidMotors Long  LCID   ,1441082715990896640,False, LucidMotors Long  LCID   ,2021-09-23T16:51:08.000Z,USA,@LucidMotors Long $LCID!! 🚀,['🚀'],[],['LucidMotors'],[],,
27,en,1441082243103920131,487094283, AMC SQZ  LucidMotors The people with the real     know  That’s all that matters,1441082648902971395,False, AMC SQZ  LucidMotors The people with the real     know  That’s all that matters,2021-09-23T16:50:52.000Z,USA,@AMC_SQZ @LucidMotors The people with the real $$$ know. That’s all that matters,[],[],"['AMC_SQZ', 'LucidMotors']",[],,
28,en,1441082243103920131,487094283, LucidMotors Hey Lucid how i win a Golden Ticket to the chocolate factory open  Been here since CES 2017 ,1441082630024298514,False, LucidMotors Hey Lucid how i win a Golden Ticket to the chocolate factory open  Been here since CES 2017 ,2021-09-23T16:50:47.000Z,USA,@LucidMotors Hey Lucid how i win a Golden Ticket to the chocolate factory open? Been here since CES 2017!,[],[],['LucidMotors'],[],,
29,en,1441082243103920131,487094283, LucidMotors How about shooting your shot and telling us when deliveries can be eected   ,1441082439481233411,False, LucidMotors How about shooting your shot and telling us when deliveries can be eected   ,2021-09-23T16:50:02.000Z,USA,@LucidMotors How about shooting your shot and telling us when deliveries can be expected...,['xp'],[],['LucidMotors'],[],,
30,en,1441082243103920131,487094283, LucidMotors Big things coming for  LCID on Monday ,1441082374981185544,False, LucidMotors Big things coming for  LCID on Monday ,2021-09-23T16:49:46.000Z,USA,@LucidMotors Big things coming for $LCID on Monday!,[],[],['LucidMotors'],[],,
31,en,1441082198291980319,540281041,Part 2  https   t co JPgP615tfF,1441083371736625157,False,Part 2  https   t co JPgP615tfF,2021-09-23T16:53:44.000Z,USA,Part 2 ❤️ https://t.co/JPgP615tfF,['❤️'],[],[],[],,
32,en,1441082198291980319,540281041, WhereAnmlsCross I know ,1441083165477535746,False, WhereAnmlsCross I know ,2021-09-23T16:52:55.000Z,USA,@WhereAnmlsCross I know 😭,['😭'],[],['WhereAnmlsCross'],[],,
33,en,1441082093291802630,1085928172200243201, cricfam Fingers crossed ,1441084368332550149,False, cricfam Fingers crossed ,2021-09-23T16:57:42.000Z,USA,@cricfam Fingers crossed 🤞🏻🤞🏻😭,"['😭', '🤞🏻']",[],['cricfam'],[],,
34,hi,1441082093291802630,1085928172200243201, thecric18girl   Ab uski baari hai,1441084294932230149,False,,2021-09-23T16:57:24.000Z,USA,@thecric18girl 😭😭😍😍. Ab uski baari hai,"['😭', '😍']",[],['thecric18girl'],[], thecric18girl   Ab uski baari hai,
35,hi,1441082093291802630,1085928172200243201, cricfam Are bhai  aur mene Tl se,1441082870752170002,False,,2021-09-23T16:51:45.000Z,USA,@cricfam Are bhai 🤣 aur mene Tl se,['🤣'],[],['cricfam'],[], cricfam Are bhai  aur mene Tl se,
36,en,1441082093291802630,1085928172200243201,Btw pic   shortarmjab  se churaya hai,1441082739709464585,False,Btw pic   shortarmjab  se churaya hai,2021-09-23T16:51:13.000Z,USA,Btw pic @_shortarmjab_ se churaya hai,[],[],['_shortarmjab_'],[],,
37,en,1441081975289393173,357821616, Im So Arcane You’re a star   Thank you,1441082625368596480,False, Im So Arcane You’re a star   Thank you,2021-09-23T16:50:46.000Z,USA,@Im_So_Arcane You’re a star!! Thank you✨✨,['✨'],[],['Im_So_Arcane'],[],,
38,en,1441081922088693764,359959116, godfatherPrince Always tell my kids  good shooters hit 75 80  when no one is guarding them  great shooters 80 and above  So much truth,1441082927589126155,False, godfatherPrince Always tell my kids  good shooters hit 75 80  when no one is guarding them  great shooters 80 and above  So much truth,2021-09-23T16:51:58.000Z,USA,"@godfatherPrince Always tell my kids, good shooters hit 75-80% when no one is guarding them, great shooters 80 and above! So much truth",[],[],['godfatherPrince'],[],,
39,en,1441081724696350722,60053907, DomEstephane Childhood https   t co UPeLIiVFr9,1441082978159894545,False, DomEstephane Childhood https   t co UPeLIiVFr9,2021-09-23T16:52:10.000Z,USA,@DomEstephane Childhood https://t.co/UPeLIiVFr9,[],[],['DomEstephane'],[],,
40,en,1441081665321938945,62919959, moonbyte Lies,1441082460867948551,False, moonbyte Lies,2021-09-23T16:50:07.000Z,USA,@moonbyte Lies,[],[],['moonbyte'],[],,
41,en,1441081098595966980,1161974786,  longnotnia Be careful tho lol,1441082422301532164,False,  longnotnia Be careful tho lol,2021-09-23T16:49:58.000Z,USA,@_longnotnia Be careful tho lol,[],[],['_longnotnia'],[],,
42,en,1441081098595966980,1161974786,  TheShawn Mind yo business,1441081257119584264,False,  TheShawn Mind yo business,2021-09-23T16:45:20.000Z,USA,@_TheShawn Mind yo business,[],[],['_TheShawn'],[],,
43,en,1441081098595966980,1161974786,  longnotnia This early  Lol,1441081196394471424,False,  longnotnia This early  Lol,2021-09-23T16:45:05.000Z,USA,@_longnotnia This early? Lol,[],[],['_longnotnia'],[],,
