,tweet_lang,verified,id,tweet_text,tweet_emoticons,hashtags,mentions,tweet_urls,country,text_en,tweet_date
0,en,False,1441099878973595665,"Pincode: 560076
COVISHIELD - Dose 2: 120 slots

Age: 18 and above  (All Ages)
Date: 24 Sep 2021
Fees: ₹780
NANO HOSPITAL, Bommanahalli - BBMP

#CoWIN #IndiaFightsCorona #COVID19 #Vaccine #cowinblore1844 #BBMP #COVISHIELD",[],"['CoWIN', 'IndiaFightsCorona', 'COVID19', 'Vaccine', 'cowinblore1844', 'BBMP', 'COVISHIELD']",[],[],India,Pincode  560076COVISHIELD   Dose 2  120 slotsAge  18 and above   All Ages Date  24 Sep 2021Fees  ₹780NANO HOSPITAL  Bommanahalli   BBMP CoWIN  IndiaFightsCorona  COVID19  Vaccine  cowinblore1844  BBMP  COVISHIELD,2021-09-23 18:00:00
1,en,False,1441099859440771080,"Pincode: 560076
COVISHIELD - Dose 1: 115 slots

Age: 18 and above  (All Ages)
Date: 24 Sep 2021
Fees: ₹780
NANO HOSPITAL, Bommanahalli - BBMP

#CoWIN #IndiaFightsCorona #COVID19 #Vaccine #cowinblore1844 #BBMP #COVISHIELD",[],"['CoWIN', 'IndiaFightsCorona', 'COVID19', 'Vaccine', 'cowinblore1844', 'BBMP', 'COVISHIELD']",[],[],India,Pincode  560076COVISHIELD   Dose 1  115 slotsAge  18 and above   All Ages Date  24 Sep 2021Fees  ₹780NANO HOSPITAL  Bommanahalli   BBMP CoWIN  IndiaFightsCorona  COVID19  Vaccine  cowinblore1844  BBMP  COVISHIELD,2021-09-23 18:00:00
2,en,False,1441099174167015427,You have successfully been vaccinated with your 1st Dose with covishield on 21-09-2021 at 05:36 PM. You may download your vaccination Certificate from - https://t.co/EZaThRQmdc - CoWIN https://t.co/nZkWPB57XH,[':3'],[],[],['https://t.co/EZaThRQmdc'],India,You have successfully been vaccinated with your 1st Dose with covishield on 21 09 2021 at 056 PM  You may download your vaccination Certificate from   https   t co EZaThRQmdc   CoWIN https   t co nZkWPB57XH,2021-09-23 18:00:00
3,en,False,1441098163545206792,@FranceBombay @FranceinIndia @IndiaembFrance @MEAIndia @MoHFW_INDIA @narendramodi Need urgent help us in expediting the conversion of our AstraZeneca covishield vaccination certificate into EU COVID DIGTAL CERTIFICATE. We are currently in France for 2 weeks. Kindly help,['xp'],[],"['FranceBombay', 'FranceinIndia', 'IndiaembFrance', 'MEAIndia', 'MoHFW_INDIA', 'narendramodi']",[],India, FranceBombay  FranceinIndia  IndiaembFrance  MEAIndia  MoHFW INDIA  narendramodi Need urgent help us in eediting the conversion of our AstraZeneca covishield vaccination certificate into EU COVID DIGTAL CERTIFICATE  We are currently in France for 2 weeks  Kindly help,2021-09-23 18:00:00
4,en,True,1441095562292437002,Covishield tho,[],[],[],[],India,Covishield tho,2021-09-23 18:00:00
5,en,False,1441095524598239244,Covishield: UK recognises Covid jab after India outcry https://t.co/WYyOBIRZQl via @Yahoo,[],[],['Yahoo'],['https://t.co/WYyOBIRZQl'],India,Covishield  UK recognises Covid jab after India outcry https   t co WYyOBIRZQl via  Yahoo,2021-09-23 18:00:00
6,en,False,1441094431461949448,"#Mumbai 

List of CVCs administering Covishield on September24

HCW/FLW (only 2nd dose)
Citizens of age group 18+
Mumbai citizens going abroad for education, job or emergency purpose 
45+ (drive-in), pregnant women: Centers mentioned in list
9am-5pm
@BertyThomas @VaccinateMumbai https://t.co/ZRTvQgfpdq",[],['Mumbai'],"['BertyThomas', 'VaccinateMumbai']",[],India, Mumbai List of CVCs administering Covishield on September24HCW FLW  only 2nd dose Citizens of age group 18 Mumbai citizens going abroad for education  job or emergency purpose 45   drive in   pregnant women  Centers mentioned in list9am 5pm BertyThomas  VaccinateMumbai https   t co ZRTvQgfpdq,2021-09-23 18:00:00
7,en,False,1441094236766539788,"23 Sept 2021
• UK: Covishield fine but not indian certification, 10 days quarantine for indian traveller
• 50,000 for each covid death, states will pay to kin from SDRF as per NDMA recommendation, govt tells SC
1/2",[],[],[],[],India,23 Sept 2021• UK  Covishield fine but not indian certification  10 days quarantine for indian traveller• 50 000 for each covid death  states will pay to kin from SDRF as per NDMA recommendation  govt tells SC1 2,2021-09-23 18:00:00
8,en,False,1441093676726247440,"@MujeSakshiMaano That's why UK says, 
It's not about Covishield Vaccine.
It's about the Certificate. 😛",['😛'],[],['MujeSakshiMaano'],[],India, MujeSakshiMaano That s why UK says  It s not about Covishield Vaccine It s about the Certificate  ,2021-09-23 18:00:00
9,en,False,1441093503333789705,"Pincode: 560017
COVISHIELD - Dose 2: 30 slots

Age: 18  - 44 
Date: 24 Sep 2021
Fees: ₹780
KIDS CLINIC INDIA PVT LTD(OAR), East - BBMP

#CoWIN #IndiaFightsCorona #COVID19 #Vaccine #cowinblore1844 #BBMP #COVISHIELD",[],"['CoWIN', 'IndiaFightsCorona', 'COVID19', 'Vaccine', 'cowinblore1844', 'BBMP', 'COVISHIELD']",[],[],India,Pincode  560017COVISHIELD   Dose 2  30 slotsAge  18    44 Date  24 Sep 2021Fees  ₹780KIDS CLINIC INDIA PVT LTD OAR   East   BBMP CoWIN  IndiaFightsCorona  COVID19  Vaccine  cowinblore1844  BBMP  COVISHIELD,2021-09-23 18:00:00
10,en,False,1441093485923164160,"Pincode: 560017
COVISHIELD - Dose 1: 20 slots

Age: 18  - 44 
Date: 24 Sep 2021
Fees: ₹780
KIDS CLINIC INDIA PVT LTD(OAR), East - BBMP

#CoWIN #IndiaFightsCorona #COVID19 #Vaccine #cowinblore1844 #BBMP #COVISHIELD",[],"['CoWIN', 'IndiaFightsCorona', 'COVID19', 'Vaccine', 'cowinblore1844', 'BBMP', 'COVISHIELD']",[],[],India,Pincode  560017COVISHIELD   Dose 1  20 slotsAge  18    44 Date  24 Sep 2021Fees  ₹780KIDS CLINIC INDIA PVT LTD OAR   East   BBMP CoWIN  IndiaFightsCorona  COVID19  Vaccine  cowinblore1844  BBMP  COVISHIELD,2021-09-23 18:00:00
11,en,False,1441092679387869184,@adarpoonawalla @SerumInstIndia Don’t you have any responsibility to protest against UK’s vaccine discrimination over India’s Covishield?,[],[],"['adarpoonawalla', 'SerumInstIndia']",[],India, adarpoonawalla  SerumInstIndia Don’t you have any responsibility to protest against UK’s vaccine discrimination over India’s Covishield ,2021-09-23 18:00:00
12,en,False,1441092294577295369,"Finally fully Vaccinated! ✌💯

Take the vaccine when it's your turn and be safe! 😷

#Covid_19 #Covishield https://t.co/JOXnXAQih0","['💯', '✌', '😷']","['Covid_19', 'Covishield']",[],[],India,Finally fully Vaccinated  Take the vaccine when it s your turn and be safe   Covid 19  Covishield https   t co JOXnXAQih0,2021-09-23 17:00:00
13,en,False,1441091740350377997,"@adarpoonawalla Just want to ask you one simple question, why the hell UK is quarantining Indian citizen who are vaccinated twice with Covishield which your company had processed with same formulation. How a good vaccine can not be trusted overseas",[],[],['adarpoonawalla'],[],India, adarpoonawalla Just want to ask you one simple question  why the hell UK is quarantining Indian citizen who are vaccinated twice with Covishield which your company had processed with same formulation  How a good vaccine can not be trusted overseas,2021-09-23 17:00:00
14,en,False,1441091698294091776,"@BiswajitLiza143 @CollectorJspur @CJagatsinghpur Online booking of slots (100%) will be available on tomorrow dt. 24-09-2021 at 2 pm for Covishield vaccination of above 18 years age group (1st Dose), i.e. both 18-44 &amp; 45+ age group in the vaccination centres as per the list (Vaccination Date:-25-09-2021)",[],[],"['BiswajitLiza143', 'CollectorJspur', 'CJagatsinghpur']",[],India, BiswajitLiza143  CollectorJspur  CJagatsinghpur Online booking of slots  100   will be available on tomorrow dt  24 09 2021 at 2 pm for Covishield vaccination of above 18 years age group  1st Dose   i e  both 18 44  amp  45  age group in the vaccination centres as per the list  Vaccination Date  25 09 2021 ,2021-09-23 17:00:00
15,en,False,1441091375122948100,"@NAN_DINI_ ""this is what happens when you don't remember your place"". Brilliant !!
#Covishield
Btw it's more about #CoWIN
https://t.co/3NZ1XGfsXj",[],"['Covishield', 'CoWIN']",['NAN_DINI_'],['https://t.co/3NZ1XGfsXj'],India, NAN DINI   this is what happens when you don t remember your place   Brilliant    CovishieldBtw it s more about  CoWINhttps   t co 3NZ1XGfsXj,2021-09-23 17:00:00
16,en,False,1441091242650062849,@AdaMeda9 @SamuraiSpeakin @VertigoWarrior I tried  meeting my brothers but only people who took covishield are allowed not covaxin,[],[],"['AdaMeda9', 'SamuraiSpeakin', 'VertigoWarrior']",[],India, AdaMeda9  SamuraiSpeakin  VertigoWarrior I tried  meeting my brothers but only people who took covishield are allowed not covaxin,2021-09-23 17:00:00
17,en,False,1441091194948182019,@DevilsDream22 @mikalche It’s widely recommended vaccine in India when compared with #COVISHIELD and #SPUTNIK but still didn’t get #WHO approval till now 😳,['😳'],"['COVISHIELD', 'SPUTNIK', 'WHO']","['DevilsDream22', 'mikalche']",[],India, DevilsDream22  mikalche It’s widely recommended vaccine in India when compared with  COVISHIELD and  SPUTNIK but still didn’t get  WHO approval till now ,2021-09-23 17:00:00
18,en,False,1441090559200792585,Y ASTRAZENECA COVISHIELD DONDEEE PAAAAAA https://t.co/izG1V7tC1b,[],[],[],['https://t.co/izG1V7tC1b'],India,Y ASTRAZENECA COVISHIELD DONDEEE PAAAAAA https   t co izG1V7tC1b,2021-09-23 17:00:00
19,en,False,1441090148796567552,"@venkateshkotte @MahuaMoitra @narendramodi @DrSJaishankar Had modi been so farsighted, approval for covishield would have been in place but about Indian Covaxin.",[],[],"['venkateshkotte', 'MahuaMoitra', 'narendramodi', 'DrSJaishankar']",[],India, venkateshkotte  MahuaMoitra  narendramodi  DrSJaishankar Had modi been so farsighted  approval for covishield would have been in place but about Indian Covaxin ,2021-09-23 17:00:00
