,tweet_lang,replied_to_tweet_id,replied_to_user_id,reply_text,id,verified,text_en,tweet_date,country,tweet_text,tweet_emoticons,hashtags,mentions,tweet_urls,text_es,text_hi
0,en,1441094236766539788,1270794767471869958,• Chattisgarh likely to see leadershio change  rahul may visit the state one liner  the hindu2 2,1441094238985281548,False,• Chattisgarh likely to see leadershio change  rahul may visit the state one liner  the hindu2 2,2021-09-23T17:36:55.000Z,India,"• Chattisgarh likely to see leadershio change, rahul may visit the state
#one_liner #the_hindu
2/2",[],"['one_liner', 'the_hindu']",[],[],,
1,en,1441092679387869184,2149489221, prabha nair  adarpoonawalla  SerumInstIndia Direct quote from Lord Sumption  former UK Supreme Court judge  on the dystopian coronavirus restrictions   Sometimes the most public spirited thing that you can do with despotic laws like these is to ignore them    Boris Johnson and Matt Hancock are tyrants ,1441092803077885957,False, prabha nair  adarpoonawalla  SerumInstIndia Direct quote from Lord Sumption  former UK Supreme Court judge  on the dystopian coronavirus restrictions   Sometimes the most public spirited thing that you can do with despotic laws like these is to ignore them    Boris Johnson and Matt Hancock are tyrants ,2021-09-23T17:31:13.000Z,India,"@prabha_nair @adarpoonawalla @SerumInstIndia Direct quote from Lord Sumption (former UK Supreme Court judge) on the dystopian coronavirus restrictions: ""Sometimes the most public spirited thing that you can do with despotic laws like these is to ignore them."". Boris Johnson and Matt Hancock are tyrants.",[],[],"['prabha_nair', 'adarpoonawalla', 'SerumInstIndia']",['https://t.co/XWRfmnLxRG'],,
2,es,1441090559200792585,770787097045245952, palculo  Esta cabeza de pingo JAKAJA,1441094657857835012,False,,2021-09-23T17:38:35.000Z,India,@palculo_ Esta cabeza de pingo JAKAJA,[],[],['palculo_'],[], palculo  Esta cabeza de pingo JAKAJA,
3,es,1441090559200792585,770787097045245952,Ah bueno si esta perdonen,1441091258257002499,False,,2021-09-23T17:25:04.000Z,India,Ah bueno si esta perdonen,[],[],[],[],Ah bueno si esta perdonen,
4,es,1441090559200792585,770787097045245952,No me arriesgue a la trombosis para esto,1441090627198877702,False,,2021-09-23T17:22:34.000Z,India,No me arriesgue a la trombosis para esto,[],[],[],[],No me arriesgue a la trombosis para esto,
5,en,1441088725455290381,876004825338478593, CollectorJspur  CJagatsinghpur Sir increase vaccine slot for kujanga ersama paradeep,1441097661717704708,False, CollectorJspur  CJagatsinghpur Sir increase vaccine slot for kujanga ersama paradeep,2021-09-23T17:50:31.000Z,India,"@CollectorJspur @CJagatsinghpur Sir increase vaccine slot for kujanga,ersama,paradeep🙏",['🙏'],[],"['CollectorJspur', 'CJagatsinghpur']",[],,
6,en,1441088725455290381,876004825338478593, CollectorJspur  CJagatsinghpur Sir please arrange second dose   And more slot for paradip,1441096330521112586,False, CollectorJspur  CJagatsinghpur Sir please arrange second dose   And more slot for paradip,2021-09-23T17:45:14.000Z,India,@CollectorJspur @CJagatsinghpur Sir please arrange second dose . And more slot for paradip,[],[],"['CollectorJspur', 'CJagatsinghpur']",[],,
7,en,1441088725455290381,876004825338478593, CollectorJspur  CJagatsinghpur Plese sir 2nd dose again my Vaccination last date 27 sep,1441096103886147588,False, CollectorJspur  CJagatsinghpur Plese sir 2nd dose again my Vaccination last date 27 sep,2021-09-23T17:44:20.000Z,India,@CollectorJspur @CJagatsinghpur Plese sir 2nd dose again my Vaccination last date 27 sep,[],[],"['CollectorJspur', 'CJagatsinghpur']",[],,
8,en,1441088725455290381,876004825338478593, CollectorJspur  CJagatsinghpur Thank u sir,1441095923430428675,False, CollectorJspur  CJagatsinghpur Thank u sir,2021-09-23T17:43:37.000Z,India,@CollectorJspur @CJagatsinghpur Thank u sir,[],[],"['CollectorJspur', 'CJagatsinghpur']",[],,
9,en,1441088725455290381,876004825338478593, CollectorJspur  CJagatsinghpur thank you sir,1441095250798206977,False, CollectorJspur  CJagatsinghpur thank you sir,2021-09-23T17:40:56.000Z,India,@CollectorJspur @CJagatsinghpur thank you sir,[],[],"['CollectorJspur', 'CJagatsinghpur']",[],,
10,en,1441088725455290381,876004825338478593, CollectorJspur  CJagatsinghpur Sir increase slots at paradip ppc and ppt,1441095081306460172,False, CollectorJspur  CJagatsinghpur Sir increase slots at paradip ppc and ppt,2021-09-23T17:40:16.000Z,India,@CollectorJspur @CJagatsinghpur Sir increase slots at paradip ppc and ppt,[],[],"['CollectorJspur', 'CJagatsinghpur']",[],,
