,tweet_lang,verified,id,tweet_text,tweet_emoticons,hashtags,mentions,tweet_urls,country,text_es,tweet_date
0,es,False,1441107842635681795,"¿Cómo es posible que se necesite de un documento que me haga valer el derecho a ser vacunado por mi salud, la de mi familia y compañeros estudiantes?  @lopezobrador_ @SEP_mx @GobiernoMX  #VacunaciónSinAmparo https://t.co/KEJ5GGFtvU",[],['VacunaciónSinAmparo'],"['lopezobrador_', 'SEP_mx', 'GobiernoMX']",[],Mexico,¿Cómo es posible que se necesite de un documento que me haga valer el derecho a ser vacunado por mi salud  la de mi familia y compañeros estudiantes    lopezobrador   SEP mx  GobiernoMX   VacunaciónSinAmparo https   t co KEJ5GGFtvU,2021-09-23 19:00:00
1,es,False,1441107833689296896,"#VacunaciónSinAmparo Exigirle a un infante un amparo para poder ser vacunado es contra de la ley
@SSalud_mx
@GobiernoMx
@COFEPRIS https://t.co/gxSnOA5d3B",[],['VacunaciónSinAmparo'],"['SSalud_mx', 'GobiernoMX', 'COFEPRIS']",[],Mexico, VacunaciónSinAmparo Exigirle a un infante un amparo para poder ser vacunado es contra de la ley SSalud mx GobiernoMx COFEPRIS https   t co gxSnOA5d3B,2021-09-23 19:00:00
2,es,False,1441107832984670213,"@HectorJoaquin Que desgraciadamente cojeo el COVID hace como 5 días y todavía no estaba con algo de inmunidad. Si se hubiese vacunado antes quizás fuera diferente. Que se recupere, en mis oraciones esta.",[],[],['HectorJoaquin'],[],Mexico, HectorJoaquin Que desgraciadamente cojeo el COVID hace como 5 días y todavía no estaba con algo de inmunidad  Si se hubiese vacunado antes quizás fuera diferente  Que se recupere  en mis oraciones esta ,2021-09-23 19:00:00
3,es,False,1441107795135188993,"@Acivim @chemix_sevilla @thxus @berdnas @Davidd_Geta @cuquemar ...Pero un no vacunado tiene 9-11 veces más posibilidades de palmarla según lo que pasa en Extremadura, eso es impepinable.",[],[],"['Acivim', 'chemix_sevilla', 'thxus', 'berdnas', 'Davidd_Geta', 'cuquemar']",[],Mexico, Acivim  chemix sevilla  thxus  berdnas  Davidd Geta  cuquemar    Pero un no vacunado tiene 9 11 veces más posibilidades de palmarla según lo que pasa en Extremadura  eso es impepinable ,2021-09-23 19:00:00
4,es,False,1441107773500968972,Es un derecho de todo mexicano estar vacunado #VacunaciónSinAmparo,[],['VacunaciónSinAmparo'],[],[],Mexico,Es un derecho de todo mexicano estar vacunado  VacunaciónSinAmparo,2021-09-23 19:00:00
5,es,False,1441107671105478658,Cada jóven y niño del pais necesita estar vacunado #VacunaciónSinAmparo,[],['VacunaciónSinAmparo'],[],[],Mexico,Cada jóven y niño del pais necesita estar vacunado  VacunaciónSinAmparo,2021-09-23 19:00:00
6,es,False,1441107622917148679,"@juanrga_esp @Yachak1 @TrinipopSkyblue @PhilAMellows Digamos que no me fío, si! No voy a correr posibles efectos adversos que tiene la vacuna habiendo pasado ya la enfermedad. Si no la hubiera pasado,no tuviera ac y además tuviera miedo a los virus igual me hubiera vacunado.",[],[],"['juanrga_esp', 'Yachak1', 'TrinipopSkyblue', 'PhilAMellows']",[],Mexico, juanrga esp  Yachak1  TrinipopSkyblue  PhilAMellows Digamos que no me fío  si  No voy a correr posibles efectos adversos que tiene la vacuna habiendo pasado ya la enfermedad  Si no la hubiera pasado no tuviera ac y además tuviera miedo a los virus igual me hubiera vacunado ,2021-09-23 19:00:00
7,es,False,1441107598879731713,"🔴⚪#UsaMascarilla😷 durante todo el trayecto en el #TransportePúblico.🚌🚇🚅

Recuerda que aunque te hayas vacunado, debes seguir cuidándote.

#YoMeVacuno https://t.co/zGd2mJeub9","['⚪', '😷', '🔴', '🚅', '🚌', '🚇']","['UsaMascarilla', 'TransportePúblico', 'YoMeVacuno']",[],[],Mexico, UsaMascarilla durante todo el trayecto en el  TransportePúblico Recuerda que aunque te hayas vacunado  debes seguir cuidándote  YoMeVacuno https   t co zGd2mJeub9,2021-09-23 19:00:00
8,es,False,1441107596765769728,Secretaría de Salud de Miranda informó que ya está autorizada la inmunización contra el Covid-19 a embarazadas a partir de las 14 semanas de gestación o en proceso de lactancia. #MirandoAlFuturo #VenezuelaDialogaPorLaPaz #23Sep https://t.co/3sQLlj42dv https://t.co/HdlTYPwPHX,[],"['MirandoAlFuturo', 'VenezuelaDialogaPorLaPaz', '23Sep']",[],['https://t.co/3sQLlj42dv'],Mexico,Secretaría de Salud de Miranda informó que ya está autorizada la inmunización contra el Covid 19 a embarazadas a partir de las 14 semanas de gestación o en proceso de lactancia   MirandoAlFuturo  VenezuelaDialogaPorLaPaz  23Sep https   t co 3sQLlj42dv https   t co HdlTYPwPHX,2021-09-23 19:00:00
9,es,False,1441107591967379466,"Y eso sucede, porque ya no tendremos vacunas regaladas, como hasta hoy por nuestros vecinos. Agradezcan eso a López y su reunión con pillos como Maduro y Díaz C. A eso súmenle la restricción de acceso a territorio de E.U. que viene para el próximo mes, si no se está vacunado.",[],[],[],[],Mexico,Y eso sucede  porque ya no tendremos vacunas regaladas  como hasta hoy por nuestros vecinos  Agradezcan eso a López y su reunión con pillos como Maduro y Díaz C  A eso súmenle la restricción de acceso a territorio de E U  que viene para el próximo mes  si no se está vacunado ,2021-09-23 18:00:00
