,tweet_lang,replied_to_tweet_id,replied_to_user_id,reply_text,id,verified,text_es,tweet_date,country,tweet_text,tweet_emoticons,hashtags,mentions,tweet_urls,text_en
0,es,1441104541378768905,1293122313551044609, DiegoOjeda724 Yo también  lo que me recomienden lo haré  es por mi salud,1441106142587867141,False, DiegoOjeda724 Yo también  lo que me recomienden lo haré  es por mi salud,2021-09-23T18:24:13.000Z,Mexico,"@DiegoOjeda724 Yo también, lo que me recomienden lo haré, es por mi salud",[],[],['DiegoOjeda724'],[],
1,es,1441104541378768905,1293122313551044609, JoseluisgrciaRM Nah  ya he vuelto ha pedir,1441106008734978051,False, JoseluisgrciaRM Nah  ya he vuelto ha pedir,2021-09-23T18:23:41.000Z,Mexico,"@JoseluisgrciaRM Nah, ya he vuelto ha pedir",[],[],['JoseluisgrciaRM'],[],
2,es,1441104541378768905,1293122313551044609, JoseluisgrciaRM El otro día vi una encuesta que hablaban sobre una tercera dosis  y el 90  decía que no se la pondría… yo todo lo que me recomienden lo haría  y si me dicen que me la tengo que poner me la pongo,1441105847262736389,False, JoseluisgrciaRM El otro día vi una encuesta que hablaban sobre una tercera dosis  y el 90  decía que no se la pondría… yo todo lo que me recomienden lo haría  y si me dicen que me la tengo que poner me la pongo,2021-09-23T18:23:03.000Z,Mexico,"@JoseluisgrciaRM El otro día vi una encuesta que hablaban sobre una tercera dosis, y el 90% decía que no se la pondría… yo todo lo que me recomienden lo haría, y si me dicen que me la tengo que poner me la pongo",[],[],['JoseluisgrciaRM'],['https://t.co/Hr2I8PioNQ'],
3,es,1441104541378768905,1293122313551044609, christianrm   Ve hoy o mañana y te la ponen,1441105830548365331,False, christianrm   Ve hoy o mañana y te la ponen,2021-09-23T18:22:59.000Z,Mexico,@christianrm__ Ve hoy o mañana y te la ponen,[],[],['christianrm__'],[],
4,es,1441104541378768905,1293122313551044609, JoseluisgrciaRM Ayer me tenía que haber puesto la segunda y se me olvidó ,1441105695126941709,False, JoseluisgrciaRM Ayer me tenía que haber puesto la segunda y se me olvidó ,2021-09-23T18:22:26.000Z,Mexico,@JoseluisgrciaRM Ayer me tenía que haber puesto la segunda y se me olvidó ☠️☠️☠️,['☠️'],[],['JoseluisgrciaRM'],[],
5,es,1441104541378768905,1293122313551044609, DiegoOjeda724 Es porque no han querido  lo que nose es porqué no han querido,1441105619931385858,False, DiegoOjeda724 Es porque no han querido  lo que nose es porqué no han querido,2021-09-23T18:22:08.000Z,Mexico,"@DiegoOjeda724 Es porque no han querido, lo que nose es porqué no han querido",[],[],['DiegoOjeda724'],[],
6,es,1441104541378768905,1293122313551044609, JoseluisgrciaRM Es que ninguna de las dos es la gente  que no ha querido no … si no no lo entiendo ,1441105421075238913,False, JoseluisgrciaRM Es que ninguna de las dos es la gente  que no ha querido no … si no no lo entiendo ,2021-09-23T18:21:21.000Z,Mexico,@JoseluisgrciaRM Es que ninguna de las dos es la gente  que no ha querido no?… si no no lo entiendo.,[],[],['JoseluisgrciaRM'],[],
7,es,1441104541378768905,1293122313551044609, DiegoOjeda724 Yo entiendo que no te hayan puesto la segunda  pero ninguna de ls dos   ,1441105055520722949,False, DiegoOjeda724 Yo entiendo que no te hayan puesto la segunda  pero ninguna de ls dos   ,2021-09-23T18:19:54.000Z,Mexico,"@DiegoOjeda724 Yo entiendo que no te hayan puesto la segunda, pero ninguna de ls dos...",[],[],['DiegoOjeda724'],[],
8,es,1441104541378768905,1293122313551044609, JoseluisgrciaRM Yo ya me pusieron la segunda dosis  Pero hay gente que conozco que aún no,1441104896854347776,False, JoseluisgrciaRM Yo ya me pusieron la segunda dosis  Pero hay gente que conozco que aún no,2021-09-23T18:19:16.000Z,Mexico,@JoseluisgrciaRM Yo ya me pusieron la segunda dosis. Pero hay gente que conozco que aún no,[],[],['JoseluisgrciaRM'],[],
9,es,1441104541378768905,1293122313551044609, JoseluisgrciaRM Yo me vacune a principios de este mes,1441104707133448197,False, JoseluisgrciaRM Yo me vacune a principios de este mes,2021-09-23T18:18:31.000Z,Mexico,@JoseluisgrciaRM Yo me vacune a principios de este mes,[],[],['JoseluisgrciaRM'],[],
