,tweet_lang,verified,id,tweet_text,tweet_emoticons,hashtags,mentions,tweet_urls,country,text_en,tweet_date
0,en,False,1441018205049221124,"Waiter, I’ll have the Mixed Greens Moderna—no wait, make that the Pfizer Frisée. #Resist #GOPDeathCult #KnowYourDeplorables 

https://t.co/BprnN9o50Z",[],"['Resist', 'GOPDeathCult', 'KnowYourDeplorables']",[],['https://t.co/BprnN9o50Z'],USA,Waiter  I’ll have the Mixed Greens Moderna—no wait  make that the Pfizer Frisée   Resist  GOPDeathCult  KnowYourDeplorables https   t co BprnN9o50Z,2021-09-23 13:00:00
1,en,False,1441018183335485445,"“Brazil reported that the Min for Health called for the suspension of the C-19 immunisation of ppl aged 12 to 17 after the death of a 16-year old girl named Isabelli Borges Valentim, eight days after she received the Pfizer shot”

COVID-19: Vaccinating kid https://t.co/nnwWjzsWuW",[],[],[],['https://t.co/nnwWjzsWuW'],USA,“Brazil reported that the Min for Health called for the suspension of the C 19 immunisation of ppl aged 12 to 17 after the death of a 16 year old girl named Isabelli Borges Valentim  eight days after she received the Pfizer shot”COVID 19  Vaccinating kid https   t co nnwWjzsWuW,2021-09-23 13:00:00
2,en,False,1441018175101935620,"The effect of Pfizer to me today: It made me look for someone to talk to. But hell, no one's available.",[],[],[],[],USA,The effect of Pfizer to me today  It made me look for someone to talk to  But hell  no one s available ,2021-09-23 13:00:00
3,en,False,1441018168626003971,I authorize Pfizer to shove that booster shot up their butts! https://t.co/jsETqp7VSw,[],[],[],['https://t.co/jsETqp7VSw'],USA,I authorize Pfizer to shove that booster shot up their butts  https   t co jsETqp7VSw,2021-09-23 13:00:00
4,en,False,1441018153044221960,idk about you guys but pfizer only been in my system for a few hours and i absolutely cannot sit still https://t.co/zdbaItdILM,[],[],[],[],USA,idk about you guys but pfizer only been in my system for a few hours and i absolutely cannot sit still https   t co zdbaItdILM,2021-09-23 13:00:00
5,en,False,1441018146887016450,@mo_west_3 @Jim41895429 @Kat15169362 @Ecomemory1 Sorry for your loss but hundreds of millions of people across the world have safely received the Pfizer vaccine.,[],[],"['mo_west_3', 'Jim41895429', 'Kat15169362', 'Ecomemory1']",[],USA, mo west 3  Jim41895429  Kat15169362  Ecomemory1 Sorry for your loss but hundreds of millions of people across the world have safely received the Pfizer vaccine ,2021-09-23 13:00:00
6,en,False,1441018130344579076,"@Jeniuskh 6_ and I have never gotten one but I am this year, end of Oct. I had next to zero reaction from 2 Pfizer Covid shots. Also got my 2nd shingle shot and THAT made my arm sore for 1 week exactly.",[],[],['Jeniuskh'],[],USA, Jeniuskh 6  and I have never gotten one but I am this year  end of Oct  I had next to zero reaction from 2 Pfizer Covid shots  Also got my 2nd shingle shot and THAT made my arm sore for 1 week exactly ,2021-09-23 13:00:00
7,en,False,1441018073503256586,"The FDA said older and at-risk Americans can receive a third 'booster' shot of Pfizer's COVID vaccine six months after their second.
https://t.co/8DONL8cyuD
@mdbaccardax
$PFE",['8D'],[],['mdbaccardax'],['https://t.co/8DONL8cyuD'],USA,The FDA said older and at risk Americans can receive a third  booster  shot of Pfizer s COVID vaccine six months after their second https   t co ONL8cyuD mdbaccardax PFE,2021-09-23 13:00:00
8,en,False,1441018070450020352,"#Pfizer, Salesforce and Darden Restaurants Rise Premarket; Rite Aid Falls - https://t.co/gzmwvZtuIq",[],['Pfizer'],[],['https://t.co/gzmwvZtuIq'],USA, Pfizer  Salesforce and Darden Restaurants Rise Premarket  Rite Aid Falls   https   t co gzmwvZtuIq,2021-09-23 13:00:00
9,en,False,1441018043711295489,The Pfizer boy,[],[],[],[],USA,The Pfizer boy,2021-09-23 13:00:00
10,en,False,1441018030054588417,"It seems that the latest FDA booster approval is just for Pfizer recipients? The CDC will be formalizing this decision, and clarifying it hopefully, within the next week.

Moderna and J&amp;J boosters are still a few weeks away.

https://t.co/wjhKYMfNxC",[],[],[],['https://t.co/wjhKYMfNxC'],USA,It seems that the latest FDA booster approval is just for Pfizer recipients  The CDC will be formalizing this decision  and clarifying it hopefully  within the next week Moderna and J amp J boosters are still a few weeks away https   t co wjhKYMfNxC,2021-09-23 13:00:00
11,en,False,1441018022735536130,FDA Authorizes Booster Dose of Pfizer-BioNTech COVID-19 Vaccine for Certain Populations. Read @US_FDA news release: https://t.co/Kb7sUga6yt,[],[],['US_FDA'],['https://t.co/Kb7sUga6yt'],USA,FDA Authorizes Booster Dose of Pfizer BioNTech COVID 19 Vaccine for Certain Populations  Read  US FDA news release  https   t co Kb7sUga6yt,2021-09-23 13:00:00
