,tweet_lang,replied_to_tweet_id,replied_to_user_id,reply_text,id,verified,text_en,tweet_date,country,tweet_text,tweet_emoticons,hashtags,mentions,tweet_urls,text_hi
0,en,1441017001699332099,17134268, CBSMornings Blow darts ,1441017148525191170,False, CBSMornings Blow darts ,2021-09-23T12:30:35.000Z,USA,@CBSMornings Blow darts?,[],[],['CBSMornings'],[],
1,en,1441015878464716802,18903953, EdwinRankin Why if it is  effective and safe   Exactly  it is neither ,1441016618100969474,False, EdwinRankin Why if it is  effective and safe   Exactly  it is neither ,2021-09-23T12:28:29.000Z,USA,"@EdwinRankin Why if it is ""effective and safe""? Exactly, it is neither.",[],[],['EdwinRankin'],[],
2,en,1441015594325843968,31515559,COVID 19 including severe COVID 19   to allow for a booster dose in certain populations such as health care workers  teachers and day care staff  grocery workers and those in homeless shelters or prisons  among others ”,1441016394821382145,False,COVID 19 including severe COVID 19   to allow for a booster dose in certain populations such as health care workers  teachers and day care staff  grocery workers and those in homeless shelters or prisons  among others ”,2021-09-23T12:27:35.000Z,USA,"COVID-19 including severe COVID-19...to allow for a booster dose in certain populations such as health care workers, teachers and day care staff, grocery workers and those in homeless shelters or prisons, among others,”",[],[],[],['https://t.co/a0NPuKz2CT'],
3,en,1441015594325843968,31515559,    individuals 65 years of age and older individuals 18 through 64 years of age at high risk of severe COVID 19  and individuals 18 through 64 years of age whose frequent institutional or occupational eosure to SARS CoV 2 puts them at high risk of serious complications of,1441016392359333889,False,    individuals 65 years of age and older individuals 18 through 64 years of age at high risk of severe COVID 19  and individuals 18 through 64 years of age whose frequent institutional or occupational eosure to SARS CoV 2 puts them at high risk of serious complications of,2021-09-23T12:27:35.000Z,USA,"""...individuals 65 years of age and older;
individuals 18 through 64 years of age at high risk of severe COVID-19; and 
individuals 18 through 64 years of age whose frequent institutional or occupational exposure to SARS-CoV-2 puts them at high risk of serious complications of",['xp'],[],[],['https://t.co/gk6ND2nnU9'],
4,en,1441014566301884422,1400506365739667457, theskiter Yeah  I know  My turn is coming  I just had my hopes up a bit  LOL   at least NPR let me down gently  ,1441018318341693446,False, theskiter Yeah  I know  My turn is coming  I just had my hopes up a bit  LOL   at least NPR let me down gently  ,2021-09-23T12:35:14.000Z,USA,"@theskiter Yeah, I know. My turn is coming. I just had my hopes up a bit. LOL...at least NPR let me down gently. 🤣",['🤣'],[],['theskiter'],[],
5,en,1441014566301884422,1400506365739667457, OnAncestors been there  done that and remember in the 60 s waiting in lines to get  mandated  multiple vaccinations for deployment  not an elective  just a reality to assist with patience  here ,1441017838358208512,False, OnAncestors been there  done that and remember in the 60 s waiting in lines to get  mandated  multiple vaccinations for deployment  not an elective  just a reality to assist with patience  here ,2021-09-23T12:33:20.000Z,USA,"@OnAncestors been there, done that and remember in the 60's waiting in lines to get ""mandated"" multiple vaccinations for deployment -

not an elective, 
just a reality to assist with patience, here?",[],[],['OnAncestors'],['https://t.co/PQGYPYzOwy'],
6,en,1441014566301884422,1400506365739667457, theskiter The military is the worse ,1441016684358295554,False, theskiter The military is the worse ,2021-09-23T12:28:45.000Z,USA,@theskiter The military is the worse!,[],[],['theskiter'],[],
7,en,1441014566301884422,1400506365739667457, OnAncestors Moderna  J amp J not far behind   at 70  I await Modernaget in line  hurry up and wait is typical of all US functions  especially military  here,1441015324686622720,False, OnAncestors Moderna  J amp J not far behind   at 70  I await Modernaget in line  hurry up and wait is typical of all US functions  especially military  here,2021-09-23T12:23:20.000Z,USA,"@OnAncestors Moderna, J&amp;J not far behind - at 70; I await Moderna

get in line, hurry up and wait is typical of all US functions, especially military, here",[],[],['OnAncestors'],['https://t.co/BUOgmPOFDp'],
8,en,1441014451486986240,758340802519060480, beatrix3506  nypost Suit yourself but pls treat at home and leave the ICU beds for the ones who are trying ,1441017297951412226,False, beatrix3506  nypost Suit yourself but pls treat at home and leave the ICU beds for the ones who are trying ,2021-09-23T12:31:11.000Z,USA,@beatrix3506 @nypost Suit yourself but pls treat at home and leave the ICU beds for the ones who are trying.,[],[],"['beatrix3506', 'nypost']",[],
9,en,1441014451486986240,758340802519060480, Sr0bi  nypost I dont care  I am taking any more of their jabs  We have no idea what the fallout will be in 1 2 5 or ten years  I may not be alive then  but my children and grandchildren will  amp  this scares me  I dont trust this govt  why should I trust anything they want to force inject into me,1441016720030842883,False, Sr0bi  nypost I dont care  I am taking any more of their jabs  We have no idea what the fallout will be in 1 2 5 or ten years  I may not be alive then  but my children and grandchildren will  amp  this scares me  I dont trust this govt  why should I trust anything they want to force inject into me,2021-09-23T12:28:53.000Z,USA,"@Sr0bi @nypost I dont care. I am taking any more of their jabs. We have no idea what the fallout will be in 1-2-5 or ten years. I may not be alive then, but my children and grandchildren will &amp; this scares me. I dont trust this govt, why should I trust anything they want to force inject into me",[],[],"['Sr0bi', 'nypost']",['https://t.co/vt6lzwtyyo'],
