,tweet_lang,replied_to_tweet_id,replied_to_user_id,reply_text,id,verified,text_hi,tweet_date,country,tweet_text,tweet_emoticons,hashtags,mentions,tweet_urls,text_en
0,hi,1440865718442942469,1257627293196759041, Being Pooja19  Bambalal BJP हरि बोल कर हरि भक्तो को उल्लू बना रही है क्योकि इनका एक ही धर्म और भगवान है राजनीति इसकी ही पुजा करतो है ये लोग इसको ही मानतो है,1440871614833299460,False, Being Pooja19  Bambalal BJP हरि बोल कर हरि भक्तो को उल्लू बना रही है क्योकि इनका एक ही धर्म और भगवान है राजनीति इसकी ही पुजा करतो है ये लोग इसको ही मानतो है,2021-09-23T02:52:17.000Z,India,"@Being_Pooja19 @Bambalal_BJP हरि बोल कर हरि भक्तो को उल्लू बना रही है 
क्योकि इनका एक ही धर्म और भगवान है राजनीति इसकी ही पुजा करतो है ये लोग इसको ही मानतो है",[],[],"['Being_Pooja19', 'Bambalal_BJP']",['https://t.co/LUDCX5qnnN'],
1,hi,1440865718442942469,1257627293196759041, Being Pooja19 सबकी नानी याद आ गई ही मोदी जी के कारण ही सबकी लगी पड़ी है क्या करे बेचारे एक ही नाव में सवार हैमालूम नही कब डुबो दे पप्पू सबको जय हिंदुत्व जय श्रीराम ,1440868151932043266,False, Being Pooja19 सबकी नानी याद आ गई ही मोदी जी के कारण ही सबकी लगी पड़ी है क्या करे बेचारे एक ही नाव में सवार हैमालूम नही कब डुबो दे पप्पू सबको जय हिंदुत्व जय श्रीराम ,2021-09-23T02:38:32.000Z,India,"@Being_Pooja19 सबकी नानी याद आ गई ही मोदी जी के कारण ही 
सबकी लगी पड़ी है क्या करे बेचारे एक ही नाव में सवार है
मालूम नही कब डुबो दे पप्पू सबको
#जय_हिंदुत्व_जय_श्रीराम 🙏❤️","['🙏', '❤️']",[],['Being_Pooja19'],['https://t.co/rGAeFYsBSe'],
2,hi,1440829775413538819,1106469488008921089, ShivSha80732190  Kaushik83610189 घपला  ही घपला है,1440854419701067779,False, ShivSha80732190  Kaushik83610189 घपला  ही घपला है,2021-09-23T01:43:58.000Z,India,@ShivSha80732190 @Kaushik83610189 घपला  ही घपला है,[],[],"['ShivSha80732190', 'Kaushik83610189']",[],
3,hi,1440829775413538819,1106469488008921089, ShivSha80732190 जय हिंद lआदरणीय शिव भाई lसादर अभिवादन सुबह का सलाम l  बिल्कुल सहीं कहा आपने NSA के तहत जांच होनी चाहिए l  राष्ट्रहित मेंलोकसभा तत्‍काल भंग की जाएlदेश को विनाशकारी तत्वों से बचाया जाए l  जय हिंद जय माँ भारती  देश मांगे 1857 जैसी पुनः क्रांति l,1440850373166592000,False, ShivSha80732190 जय हिंद lआदरणीय शिव भाई lसादर अभिवादन सुबह का सलाम l  बिल्कुल सहीं कहा आपने NSA के तहत जांच होनी चाहिए l  राष्ट्रहित मेंलोकसभा तत्‍काल भंग की जाएlदेश को विनाशकारी तत्वों से बचाया जाए l  जय हिंद जय माँ भारती  देश मांगे 1857 जैसी पुनः क्रांति l,2021-09-23T01:27:53.000Z,India,"@ShivSha80732190 जय हिंद l
आदरणीय शिव भाई l
सादर अभिवादन/सुबह का सलाम l
,,
बिल्कुल सहीं कहा आपने,
NSA के तहत जांच होनी चाहिए l
,,
राष्ट्रहित में
लोकसभा तत्‍काल भंग की जाएl
देश को विनाशकारी तत्वों से बचाया जाए l
,,
जय हिंद,
जय माँ भारती, 
देश मांगे 1857 जैसी पुनः क्रांति l",[],[],['ShivSha80732190'],['https://t.co/7lOjWuz7aR'],
4,hi,1440768187482591235,1286330535120265218, AflatonIntolrnt हलेल्लुइया वालों का एजेंडा पुरा करने के लिए टिका हुआ है,1440865037397082112,False, AflatonIntolrnt हलेल्लुइया वालों का एजेंडा पुरा करने के लिए टिका हुआ है,2021-09-23T02:26:09.000Z,India,@AflatonIntolrnt हलेल्लुइया वालों का एजेंडा पुरा करने के लिए टिका हुआ है,[],[],['AflatonIntolrnt'],[],
5,hi,1440760028512718850,1248490779120566272, MansaRajasthani ये पापी पेट,1440862575386783746,False, MansaRajasthani ये पापी पेट,2021-09-23T02:16:22.000Z,India,@MansaRajasthani ये पापी पेट,[],[],['MansaRajasthani'],[],
6,hi,1440724007515344900,844129375528374272, Sunilsh32640883  srinivasiyc यह तो सिर्फ उदाहरण है साहब ने तो बड़े बड़े काम किए हैं ,1440846002064289796,False, Sunilsh32640883  srinivasiyc यह तो सिर्फ उदाहरण है साहब ने तो बड़े बड़े काम किए हैं ,2021-09-23T01:10:31.000Z,India,@Sunilsh32640883 @srinivasiyc यह तो सिर्फ उदाहरण है साहब ने तो बड़े-बड़े काम किए हैं 😁😜,"['😁', '😜']",[],"['Sunilsh32640883', 'srinivasiyc']",[],
7,en,1440717376358547469,2225467292, Aftabnuh Good work sir,1440838978454781956,False,,2021-09-23T00:42:36.000Z,India,@Aftabnuh Good work sir,[],[],['Aftabnuh'],[], Aftabnuh Good work sir
8,en,1440717376358547469,2225467292, Aftabnuh Good workings,1440824868652474370,False,,2021-09-22T23:46:32.000Z,India,@Aftabnuh Good workings,[],[],['Aftabnuh'],[], Aftabnuh Good workings
9,hi,1440716858810720258,894259596021440513, priyanka336641  narendramodi ऐसे ही सभी नगर निगम नगरपालिका पंचायत ग्राम में सभी लोगों और आम जनता को जागरूक करें। पानी बिजली राशन और शासन प्रशासन कि योजनाएं के लिए भी जागरूक करें।,1440721265929568271,False, priyanka336641  narendramodi ऐसे ही सभी नगर निगम नगरपालिका पंचायत ग्राम में सभी लोगों और आम जनता को जागरूक करें। पानी बिजली राशन और शासन प्रशासन कि योजनाएं के लिए भी जागरूक करें।,2021-09-22T16:54:51.000Z,India,@priyanka336641 @narendramodi ऐसे ही सभी नगर निगम नगरपालिका पंचायत ग्राम में सभी लोगों और आम जनता को जागरूक करें। पानी बिजली राशन और शासन प्रशासन कि योजनाएं के लिए भी जागरूक करें।,[],[],"['priyanka336641', 'narendramodi']",['https://t.co/qbVrUXd8kD'],
