,tweet_lang,replied_to_tweet_id,replied_to_user_id,reply_text,id,verified,text_hi,tweet_date,country,tweet_text,tweet_emoticons,hashtags,mentions,tweet_urls,text_es,text_en
0,hi,1440718772172582915,1206250786079924226,जब भगवान राम पर अपनी सियासत के लिए टिपीकल टिप्पणी कर दिये तब बिहारी को याद आ गया कि अरे ई त जित्तू भाई  एक्स मुख्य मंत्री  हैं। प्रवेश द्वार से गइले रहलें और निकास द्वार से धक्का मार के निकाल ल गइल रहें।  jitanrmanjhi,1440723425681567747,False,जब भगवान राम पर अपनी सियासत के लिए टिपीकल टिप्पणी कर दिये तब बिहारी को याद आ गया कि अरे ई त जित्तू भाई  एक्स मुख्य मंत्री  हैं। प्रवेश द्वार से गइले रहलें और निकास द्वार से धक्का मार के निकाल ल गइल रहें।  jitanrmanjhi,2021-09-22T17:03:26.000Z,India,"जब भगवान राम पर अपनी सियासत के लिए टिपीकल टिप्पणी कर दिये तब बिहारी को याद आ गया कि अरे ई त जित्तू भाई ""एक्स मुख्य मंत्री"" हैं। प्रवेश द्वार से गइले रहलें और निकास द्वार से धक्का मार के निकाल ल गइल रहें। @jitanrmanjhi",[],[],[],['https://t.co/g3uYxGHvik'],,
1,es,1440690436255850502,39240673, ABPNews  Prafulshri 100M Completehttps   t co MuNdlCTx42https   t co MuNdlCTx42,1440691478783664152,False,,2021-09-22T14:56:29.000Z,India,"@ABPNews @Prafulshri 100M Complete👌💯👌💯
👇👇👇👇👇👇👇👇👇👇
https://t.co/MuNdlCTx42
https://t.co/MuNdlCTx42","['👌', '💯', '👇']",[],"['ABPNews', 'Prafulshri']","['https://t.co/MuNdlCTx42', 'https://t.co/MuNdlCTx42']", ABPNews  Prafulshri 100M Completehttps   t co MuNdlCTx42https   t co MuNdlCTx42,
2,hi,1440678196685389827,1190883018526740481,अब गब्बर  ठहरा खैनी रगड़ कर खाने वाला देहाती इसलिए पूछ रहा है  क्या वह सही समझ रहा है ,1440678199822741522,False,अब गब्बर  ठहरा खैनी रगड़ कर खाने वाला देहाती इसलिए पूछ रहा है  क्या वह सही समझ रहा है ,2021-09-22T14:03:44.000Z,India,"अब गब्बर  ठहरा खैनी रगड़ कर खाने वाला देहाती इसलिए पूछ रहा है, क्या वह सही समझ रहा है?",[],[],[],[],,
3,hi,1440660320712679436,3997591514, sangeetayadavup  BJP4UP  myogiadityanath Jai ho,1440855674716495873,False, sangeetayadavup  BJP4UP  myogiadityanath Jai ho,2021-09-23T01:48:57.000Z,India,@sangeetayadavup @BJP4UP @myogiadityanath Jai ho,[],[],"['sangeetayadavup', 'BJP4UP', 'myogiadityanath']",[],,
4,hi,1440660320712679436,3997591514, sangeetayadavup  BJP4UP  myogiadityanath जीतन राम मांझी को मैं औरीजनल नहीं मानता मुझे तो शक हैं कि उसके खून में भी मुगलों वाला मिलावट हैं मुझे तो ये भी नही लगता कि वो एक बाप की औलाद है भी या नही   jitanrmanjhi  HariManjhi,1440661084461953027,False, sangeetayadavup  BJP4UP  myogiadityanath जीतन राम मांझी को मैं औरीजनल नहीं मानता मुझे तो शक हैं कि उसके खून में भी मुगलों वाला मिलावट हैं मुझे तो ये भी नही लगता कि वो एक बाप की औलाद है भी या नही   jitanrmanjhi  HariManjhi,2021-09-22T12:55:43.000Z,India,"@sangeetayadavup @BJP4UP @myogiadityanath जीतन राम मांझी को मैं औरीजनल नहीं मानता मुझे तो शक हैं कि उसके खून में भी मुगलों वाला मिलावट हैं
 मुझे तो ये भी नही लगता कि वो एक बाप की औलाद है भी या नही  
@jitanrmanjhi @HariManjhi",[],[],"['sangeetayadavup', 'BJP4UP', 'myogiadityanath']",['https://t.co/92aupXP89T'],,
5,hi,1440627516054536204,135901523, viramchaubey पंडित चौबे जी इसके लक्षण  राहुलानंदन से मिलते है पर मुश्किल है कि कहने में क्योंकि  कई पीढियों से अपनी पारिवारिक परम्परा का सच्चा दासत्व धर्म निर्वाह करने वालें पण्डित जी कहीं बुरा न मान जायें ,1440635150220464141,False, viramchaubey पंडित चौबे जी इसके लक्षण  राहुलानंदन से मिलते है पर मुश्किल है कि कहने में क्योंकि  कई पीढियों से अपनी पारिवारिक परम्परा का सच्चा दासत्व धर्म निर्वाह करने वालें पण्डित जी कहीं बुरा न मान जायें ,2021-09-22T11:12:40.000Z,India,"@viramchaubey पंडित-चौबे जी,इसके लक्षण #राहुलानंदन से मिलते है पर मुश्किल है कि कहने में क्योंकि  कई पीढियों से अपनी पारिवारिक-परम्परा का सच्चा दासत्व-धर्म निर्वाह करने वालें,पण्डित जी,कहीं बुरा न मान जायें?😀😀😀",['😀'],['राहुलानंदन'],['viramchaubey'],['https://t.co/NNMCw6VpOx'],,
6,hi,1440608151577907210,1287644766956449792, RamjiRastogi13 हिंदुस्तानी होने का मूल मंत्र जय हिंद ,1440622978455142408,False, RamjiRastogi13 हिंदुस्तानी होने का मूल मंत्र जय हिंद ,2021-09-22T10:24:18.000Z,India,"@RamjiRastogi13 हिंदुस्तानी होने का मूल मंत्र.
जय हिंद 🇮🇳",['🇮🇳'],[],['RamjiRastogi13'],[],,
7,en,1440601737283321866,1415545136965062658, 8QJP59qSxPv0mdv Absolutely   Bhaichara dono taraf se hona chahie   It can not be one way,1440621460184207364,False,,2021-09-22T10:18:16.000Z,India,@8QJP59qSxPv0mdv Absolutely!! Bhaichara dono taraf se hona chahie!! It can not be one way,[],[],['8QJP59qSxPv0mdv'],[],, 8QJP59qSxPv0mdv Absolutely   Bhaichara dono taraf se hona chahie   It can not be one way
8,en,1440599019672129539,1414109986507038722, Marusi Rathi fb plz,1440622095809998855,False,,2021-09-22T10:20:47.000Z,India,@Marusi_Rathi fb plz,[],[],['Marusi_Rathi'],[],, Marusi Rathi fb plz
9,en,1440589182053744645,1664721600, mybmcWardRS  mybmc  bmcmumbai Thnks ,1440663839893176328,False,,2021-09-22T13:06:40.000Z,India,@mybmcWardRS @mybmc @bmcmumbai Thnks 🙏,['🙏'],[],"['mybmcWardRS', 'mybmc', 'bmcmumbai']",[],, mybmcWardRS  mybmc  bmcmumbai Thnks 
10,hi,1440557869674348548,1266701812545003520, RakeshK51313594 मैं निहि चिढ़ती अगर दोस्त हो तो,1440568778752880644,False, RakeshK51313594 मैं निहि चिढ़ती अगर दोस्त हो तो,2021-09-22T06:48:55.000Z,India,@RakeshK51313594 मैं निहि चिढ़ती अगर दोस्त हो तो,[],[],['RakeshK51313594'],[],,
