,tweet_lang,replied_to_tweet_id,replied_to_user_id,reply_text,id,verified,text_en,tweet_date,country,tweet_text,tweet_emoticons,hashtags,mentions,tweet_urls,text_es
0,en,1441007227033300997,151952692,In other words    On the eve of the 2022 mid term elections   How convenient For the Democrats   ,1441007409401630721,False,In other words    On the eve of the 2022 mid term elections   How convenient For the Democrats   ,2021-09-23T11:51:53.000Z,USA,In other words... On the eve of the 2022 mid-term elections.. How convenient For the Democrats...,[],[],[],[],
1,en,1441005518697476101,4692160154,so contagious  and  we will end up in a similar situation like the flu   My take 1 we re already in a similar situation as the flu2 if you re healthy  there s a viable risk that side effects of the vaccin are more impactful than covid3 will the  pandemic   end  with a QR pass ,1441006432061689857,False,so contagious  and  we will end up in a similar situation like the flu   My take 1 we re already in a similar situation as the flu2 if you re healthy  there s a viable risk that side effects of the vaccin are more impactful than covid3 will the  pandemic   end  with a QR pass ,2021-09-23T11:48:00.000Z,USA,"so contagious"" and ""we will end up in a similar situation like the flu"". My take:
1 we're already in a similar situation as the flu
2 if you're healthy, there's a viable risk that side-effects of the vaccin are more impactful than covid
3 will the ""pandemic"" ""end"" with a QR pass?",[],[],[],['https://t.co/GcYixMzHTH'],
2,en,1441005032279785473,2688260057, NormaSco19 Sure https   t co RlejqnLxjS,1441007113015332866,False, NormaSco19 Sure https   t co RlejqnLxjS,2021-09-23T11:50:43.000Z,USA,"@NormaSco19 Sure:

https://t.co/RlejqnLxjS",[],[],['NormaSco19'],['https://t.co/RlejqnLxjS'],
3,en,1441005032279785473,2688260057, desktopwurds Thank you  Do you have a link ,1441006870307692547,False, desktopwurds Thank you  Do you have a link ,2021-09-23T11:49:45.000Z,USA,@desktopwurds Thank you. Do you have a link?,[],[],['desktopwurds'],[],
4,en,1441005032279785473,2688260057, NormaSco19 U turn incoming  Signalled here by Dame Sarah Gilbert this morning ,1441006658520551433,False, NormaSco19 U turn incoming  Signalled here by Dame Sarah Gilbert this morning ,2021-09-23T11:48:54.000Z,USA,@NormaSco19 U-turn incoming. Signalled here by Dame Sarah Gilbert this morning.,[],[],['NormaSco19'],[],
5,en,1441005032279785473,2688260057, NormaSco19 It’s incredible  how many more times do MSM and global governments need to physically  and unequivocally  demonstrate that they are incompetent  at best  before the masses start to believe it ,1441006072089690114,False, NormaSco19 It’s incredible  how many more times do MSM and global governments need to physically  and unequivocally  demonstrate that they are incompetent  at best  before the masses start to believe it ,2021-09-23T11:46:34.000Z,USA,@NormaSco19 It’s incredible: how many more times do MSM and global governments need to physically (and unequivocally) demonstrate that they are incompetent (at best) before the masses start to believe it?,[],[],['NormaSco19'],['https://t.co/cWkUXRk7F7'],
6,en,1440999674610167808,19151000, NBC12 WOW the cult is so strong lefties are sacrificing their young to the almighty Fauci   https   t co 0co9FlL9vt,1441001314260078597,False, NBC12 WOW the cult is so strong lefties are sacrificing their young to the almighty Fauci   https   t co 0co9FlL9vt,2021-09-23T11:27:40.000Z,USA,@NBC12 WOW the cult is so strong lefties are sacrificing their young to the almighty Fauci!!🙄 https://t.co/0co9FlL9vt,['🙄'],[],['NBC12'],[],
7,en,1440999674610167808,19151000, NBC12 Brave young lady to participate  Not fully informed parent  There is no upside to vaccinating this zero risk age group  only downside risks  Glad it worked out  https   t co aKcyCx99GU,1441001061330866178,False, NBC12 Brave young lady to participate  Not fully informed parent  There is no upside to vaccinating this zero risk age group  only downside risks  Glad it worked out  https   t co aKcyCx99GU,2021-09-23T11:26:40.000Z,USA,"@NBC12 Brave young lady to participate. Not fully informed parent. There is no upside to vaccinating this zero risk age group, only downside risks. Glad it worked out. https://t.co/aKcyCx99GU",[],[],['NBC12'],['https://t.co/fvG6sAGLDW'],
8,en,1440998506785906689,17134268, CBSMornings You meant pregnant women ,1441007174612828160,False, CBSMornings You meant pregnant women ,2021-09-23T11:50:57.000Z,USA,@CBSMornings You meant pregnant women.,[],[],['CBSMornings'],[],
9,en,1440998506785906689,17134268, CBSMornings Pregnant women ,1441007018521792512,False, CBSMornings Pregnant women ,2021-09-23T11:50:20.000Z,USA,@CBSMornings Pregnant women!,[],[],['CBSMornings'],[],
