,tweet_lang,poi_name,poi_id,verified,id,tweet_text,tweet_emoticons,hashtags,mentions,tweet_urls,country,text_es,tweet_date
0,es,lopezobrador_,82119937,True,1440287774851035147,El Programa Nacional de Vacunación ha funcionado con eficacia y llegado a todos los pueblos de México. Conferencia matutina. https://t.co/Y2EYCKLJo9,[],[],[],['https://t.co/Y2EYCKLJo9'],Mexico,El Programa Nacional de Vacunación ha funcionado con eficacia y llegado a todos los pueblos de México  Conferencia matutina  https   t co Y2EYCKLJo9,2021-09-21 12:00:00
1,es,lopezobrador_,82119937,True,1439923255482146819,"Conferencia de prensa matutina, desde Oaxaca https://t.co/fdVhyd6YcX",[],[],[],['https://t.co/fdVhyd6YcX'],Mexico,Conferencia de prensa matutina  desde Oaxaca https   t co fdVhyd6YcX,2021-09-20 12:00:00
2,es,lopezobrador_,82119937,True,1439751364901367808,"Diferencias aparte, que son consustanciales a la democracia, convivimos en una cena de antojitos mexicanos con los presidentes, ministros y diplomáticos de América Latina y el Caribe. Beatriz introdujo y les narró la historia del Palacio Nacional.

https://t.co/jca8G7uGLd https://t.co/9JtwmqY4xH",[],[],[],['https://t.co/jca8G7uGLd'],Mexico,Diferencias aparte  que son consustanciales a la democracia  convivimos en una cena de antojitos mexicanos con los presidentes  ministros y diplomáticos de América Latina y el Caribe  Beatriz introdujo y les narró la historia del Palacio Nacional https   t co jca8G7uGLd https   t co 9JtwmqY4xH,2021-09-20 01:00:00
3,es,lopezobrador_,82119937,True,1439564073973129220,"Izamiento de bandera en memoria de víctimas de los sismos de 1985 y 2017, desde la Ciudad de México https://t.co/V6xS8DnimO",['8D'],[],[],['https://t.co/V6xS8DnimO'],Mexico,Izamiento de bandera en memoria de víctimas de los sismos de 1985 y 2017  desde la Ciudad de México https   t co V6xSnimO,2021-09-19 12:00:00
4,es,lopezobrador_,82119937,True,1439269694079438853,"En la VI Cumbre de la Comunidad de Estados Latinoamericanos y Caribeños (CELAC) propusimos fomentar la integración de América a partir de la autodeterminación de los pueblos, la cooperación para el desarrollo y la ayuda mutua. https://t.co/KnxTh8sNui",[],[],[],[],Mexico,En la VI Cumbre de la Comunidad de Estados Latinoamericanos y Caribeños  CELAC  propusimos fomentar la integración de América a partir de la autodeterminación de los pueblos  la cooperación para el desarrollo y la ayuda mutua  https   t co KnxTh8sNui,2021-09-18 17:00:00
5,es,lopezobrador_,82119937,True,1439212169376280582,"VI Cumbre de la Comunidad de Estados Latinoamericanos y Caribeños (CELAC), desde Palacio Nacional
 https://t.co/Qp48d5gK7T",[],[],[],['https://t.co/Qp48d5gK7T'],Mexico,VI Cumbre de la Comunidad de Estados Latinoamericanos y Caribeños  CELAC   desde Palacio Nacional https   t co Qp48d5gK7T,2021-09-18 13:00:00
6,es,lopezobrador_,82119937,True,1439028792480055297,"En víspera de la reunión de la Comunidad de Estados Latinoamericanos y Caribeños platiqué con los presidentes de Costa Rica, Carlos Alvarado Quesada y de Guatemala, Alejandro Giammattei Falla. https://t.co/Lp86aLe7t2",[],[],[],[],Mexico,En víspera de la reunión de la Comunidad de Estados Latinoamericanos y Caribeños platiqué con los presidentes de Costa Rica  Carlos Alvarado Quesada y de Guatemala  Alejandro Giammattei Falla  https   t co Lp86aLe7t2,2021-09-18 01:00:00
7,es,lopezobrador_,82119937,True,1438928572371058695,Participamos en el Foro de las Principales Economías sobre Energía y Cambio Climático convocado por el presidente Biden y coordinado por John Kerry. https://t.co/jwj3iJahzt,[],[],[],[],Mexico,Participamos en el Foro de las Principales Economías sobre Energía y Cambio Climático convocado por el presidente Biden y coordinado por John Kerry  https   t co jwj3iJahzt,2021-09-17 18:00:00
8,es,lopezobrador_,82119937,True,1438837620553957380,"El Gobierno de la Cuarta Transformación condena el racismo, la discriminación y la xenofobia. Conferencia matutina. https://t.co/QxZ46affpe",[],[],[],['https://t.co/QxZ46affpe'],Mexico,El Gobierno de la Cuarta Transformación condena el racismo  la discriminación y la xenofobia  Conferencia matutina  https   t co QxZ46affpe,2021-09-17 12:00:00
9,es,lopezobrador_,82119937,True,1438516845997281295,Desfile cívico militar: 211 años del Grito de Independencia https://t.co/aPB7LE6seu,[],[],[],['https://t.co/aPB7LE6seu'],Mexico,Desfile cívico militar  211 años del Grito de Independencia https   t co aPB7LE6seu,2021-09-16 15:00:00
10,es,lopezobrador_,82119937,True,1438358328602730498,"Mexicanas, mexicanos:

¡Viva la Independencia!
¡Viva Miguel Hidalgo y Costilla!
¡Viva José María Morelos y Pavón!
¡Viva Josefa Ortiz de Domínguez!
¡Viva Ignacio Allende!
¡Viva Leona Vicario!
¡Viva Vicente Guerrero!
¡Vivan los héroes anónimos!
¡Viva la libertad!
¡Viva la justicia! https://t.co/hyrgpxGX3X",[],[],[],[],Mexico,Mexicanas  mexicanos ¡Viva la Independencia ¡Viva Miguel Hidalgo y Costilla ¡Viva José María Morelos y Pavón ¡Viva Josefa Ortiz de Domínguez ¡Viva Ignacio Allende ¡Viva Leona Vicario ¡Viva Vicente Guerrero ¡Vivan los héroes anónimos ¡Viva la libertad ¡Viva la justicia  https   t co hyrgpxGX3X,2021-09-16 04:00:00
