,tweet_lang,replied_to_tweet_id,replied_to_user_id,reply_text,id,verified,text_es,tweet_date,country,tweet_text,tweet_emoticons,hashtags,mentions,tweet_urls
0,es,1436532140422750212,82119937, lopezobrador  MUCHAS GRACIAS SR  PRESIDENTE AMLO  MIS RESPETOS  RECIBA SALUDOS DESDE PUEBLA ,1439357357092388866,False, lopezobrador  MUCHAS GRACIAS SR  PRESIDENTE AMLO  MIS RESPETOS  RECIBA SALUDOS DESDE PUEBLA ,2021-09-18T22:35:10.000Z,Mexico,@lopezobrador_ MUCHAS GRACIAS SR. PRESIDENTE AMLO. MIS RESPETOS. RECIBA SALUDOS DESDE PUEBLA.,[],[],['lopezobrador_'],[]
1,es,1436532140422750212,82119937, lopezobrador  Si medicamento por cierto  Chtm wey,1439253454942261254,False, lopezobrador  Si medicamento por cierto  Chtm wey,2021-09-18T15:42:18.000Z,Mexico,@lopezobrador_ Si medicamento por cierto! Chtm wey,[],[],['lopezobrador_'],[]
2,es,1436532140422750212,82119937, WanderingSams  FernandoElihu  lopezobrador  Con La frase “tiro de gracia”  que dicho sea de paso escribi mal y puse tira  me refería a la tortura que padece mexico desde hace muchos años pero que hoy  al mero estilo de los sicarios recibe el tiro de gracia,1439221115256143880,False, WanderingSams  FernandoElihu  lopezobrador  Con La frase “tiro de gracia”  que dicho sea de paso escribi mal y puse tira  me refería a la tortura que padece mexico desde hace muchos años pero que hoy  al mero estilo de los sicarios recibe el tiro de gracia,2021-09-18T13:33:47.000Z,Mexico,"@WanderingSams @FernandoElihu @lopezobrador_ Con La frase “tiro de gracia” (que dicho sea de paso escribi mal y puse tira) me refería a la tortura que padece mexico desde hace muchos años pero que hoy, al mero estilo de los sicarios recibe el tiro de gracia",[],[],"['WanderingSams', 'FernandoElihu', 'lopezobrador_']",['https://t.co/WACEA4bgT9']
3,es,1436532140422750212,82119937, erickesausm  FernandoElihu  lopezobrador  Ah si  entonces en Los gobiernos anteriores estuvimos bien  verdad  Me interesa,1439159672863330306,False, erickesausm  FernandoElihu  lopezobrador  Ah si  entonces en Los gobiernos anteriores estuvimos bien  verdad  Me interesa,2021-09-18T09:29:38.000Z,Mexico,"@erickesausm @FernandoElihu @lopezobrador_ Ah si, entonces en Los gobiernos anteriores estuvimos bien, verdad? Me interesa",[],[],"['erickesausm', 'FernandoElihu', 'lopezobrador_']",[]
4,es,1436532140422750212,82119937, Alc63081706  lopezobrador  Y me imagino que Los ex presidentes de antes hicieron algo Durante la epidemia de influencia  no  Vaya,1439159311738064898,False, Alc63081706  lopezobrador  Y me imagino que Los ex presidentes de antes hicieron algo Durante la epidemia de influencia  no  Vaya,2021-09-18T09:28:12.000Z,Mexico,"@Alc63081706 @lopezobrador_ Y me imagino que Los ex presidentes de antes hicieron algo Durante la epidemia de influencia, no? Vaya",[],[],"['Alc63081706', 'lopezobrador_']",[]
5,es,1436532140422750212,82119937, GabrielMadox  CarolGu97092053  lopezobrador  jajajajaja  que bueno que usted esta en el otro barco  en el Pejebarco   ,1438930815145201666,False, GabrielMadox  CarolGu97092053  lopezobrador  jajajajaja  que bueno que usted esta en el otro barco  en el Pejebarco   ,2021-09-17T18:20:15.000Z,Mexico,"@GabrielMadox @CarolGu97092053 @lopezobrador_ jajajajaja, que bueno que usted esta en el otro barco, en el Pejebarco. 🤣😂.","['🤣', '😂']",[],"['GabrielMadox', 'CarolGu97092053', 'lopezobrador_']",[]
6,es,1436532140422750212,82119937, CarolGu97092053  Malejo290983  lopezobrador  Muy bien  le felicito  ojala todos estuvieran informados como usted ,1438930366639771657,False, CarolGu97092053  Malejo290983  lopezobrador  Muy bien  le felicito  ojala todos estuvieran informados como usted ,2021-09-17T18:18:28.000Z,Mexico,"@CarolGu97092053 @Malejo290983 @lopezobrador_ Muy bien, le felicito, ojala todos estuvieran informados como usted.",[],[],"['CarolGu97092053', 'Malejo290983', 'lopezobrador_']",[]
7,es,1436532140422750212,82119937, lopezobrador  Espero no sea como el de hidalgo,1438721905536770048,False, lopezobrador  Espero no sea como el de hidalgo,2021-09-17T04:30:07.000Z,Mexico,@lopezobrador_ Espero no sea como el de hidalgo,[],[],['lopezobrador_'],[]
8,es,1436532140422750212,82119937, lopezobrador   justiciaparaferypolly justiciaparapolly juezantoniogonzalezgarciaNos dirigimos al JUEZ ANTONIO GONZÁLEZ GARCÍA para que CONTRIBUYA de manera transparente y justa en el caso de Polly y Cuadra y le NIEGUE el amparo al imputado ,1438655609562357765,False, lopezobrador   justiciaparaferypolly justiciaparapolly juezantoniogonzalezgarciaNos dirigimos al JUEZ ANTONIO GONZÁLEZ GARCÍA para que CONTRIBUYA de manera transparente y justa en el caso de Polly y Cuadra y le NIEGUE el amparo al imputado ,2021-09-17T00:06:40.000Z,Mexico,"@lopezobrador_ #justiciaparaferypolly
#justiciaparapolly
#juezantoniogonzalezgarcia
Nos dirigimos al JUEZ ANTONIO GONZÁLEZ GARCÍA para que CONTRIBUYA de manera transparente y justa en el caso de Polly y Cuadra y le NIEGUE el amparo al imputado.",[],"['justiciaparaferypolly', 'justiciaparapolly', 'juezantoniogonzalezgarcia']",['lopezobrador_'],['https://t.co/YZJz2E8hnU']
9,es,1436532140422750212,82119937, lopezobrador  Cabrón deja de darle atole con el dedo a la gente  no hay medicinas pero andas “inaugurando” hospitales  un gramo de madre   4TGobiernoEngañaBobos,1438598782325772300,False, lopezobrador  Cabrón deja de darle atole con el dedo a la gente  no hay medicinas pero andas “inaugurando” hospitales  un gramo de madre   4TGobiernoEngañaBobos,2021-09-16T20:20:52.000Z,Mexico,"@lopezobrador_ Cabrón deja de darle atole con el dedo a la gente, no hay medicinas pero andas “inaugurando” hospitales, un gramo de madre. #4TGobiernoEngañaBobos",[],[],['lopezobrador_'],['https://t.co/xxR4USV3oE']
