,tweet_lang,replied_to_tweet_id,replied_to_user_id,reply_text,id,verified,text_en,tweet_date,country,tweet_text,tweet_emoticons,hashtags,mentions,tweet_urls,text_hi
0,en,1441017413600886790,432697203, mansukhmandviya  narendramodi Good initiative for bringing more better benefit of Ayush man yojna to the beneficiaries ,1441021558458183684,False, mansukhmandviya  narendramodi Good initiative for bringing more better benefit of Ayush man yojna to the beneficiaries ,2021-09-23T12:48:07.000Z,India,@mansukhmandviya @narendramodi Good initiative for bringing more better benefit of Ayush man yojna to the beneficiaries.,[],[],"['mansukhmandviya', 'narendramodi']",[],
1,hi,1441017413600886790,432697203, mansukhmandviya  narendramodi मोदी जी मैने बीजेपी के लिए 22 साल निस्वार्थ सेवा की है मेरी जीममेदारि समझ कर  तो कुपया महेरबानी मुझ पर करे ओर बीजेपी के लिए कोई बड़ी जिम्मेदारी दिजिए सदैव आपका ऋणी  आप का अपना डॉक्टर केतन पटेल कणाॅवती महानगर गुजरात  बीजेपी और मोदी जी भक्त  जय श्री राम ,1441018175341031426,False,,2021-09-23T12:34:40.000Z,India,"@mansukhmandviya @narendramodi मोदी जी मैने बीजेपी के लिए 22 साल निस्वार्थ सेवा की है मेरी जीममेदारि समझ कर ,तो कुपया महेरबानी मुझ पर करे ओर बीजेपी के लिए कोई बड़ी जिम्मेदारी दिजिए सदैव आपका ऋणी, आप का अपना डॉक्टर केतन पटेल कणाॅवती महानगर गुजरात. बीजेपी और मोदी जी भक्त. जय श्री राम.",[],[],"['mansukhmandviya', 'narendramodi']",['https://t.co/JNTop3LDEP'], mansukhmandviya  narendramodi मोदी जी मैने बीजेपी के लिए 22 साल निस्वार्थ सेवा की है मेरी जीममेदारि समझ कर  तो कुपया महेरबानी मुझ पर करे ओर बीजेपी के लिए कोई बड़ी जिम्मेदारी दिजिए सदैव आपका ऋणी  आप का अपना डॉक्टर केतन पटेल कणाॅवती महानगर गुजरात  बीजेपी और मोदी जी भक्त  जय श्री राम 
2,hi,1440935873248387072,432697203, mansukhmandviya  narendramodi भाजपा सरकारउत्तरप्रदेश में बिजली तकतो पूरी तरह से दे नहीं पा रही और की क्या बात की जाए गोला गोकरन नाथ में पिछले तीन घंटे से बिजली नहीं हैप्रतिदिन का यही हाल है और बातें बड़ी बड़ी करते हैं myogiadityanath  myogioffice  kpmaurya1  drdineshbjp  PMOIndia  narendramodi  SureshKKhanna,1441029346899083272,False,,2021-09-23T13:19:03.000Z,India,@mansukhmandviya @narendramodi भाजपा सरकारउत्तरप्रदेश में बिजली तकतो पूरी तरह से दे नहीं पा रही और की क्या बात की जाए गोला गोकरन नाथ में पिछले तीन घंटे से बिजली नहीं हैप्रतिदिन का यही हाल है और बातें बड़ी बड़ी करते हैं@myogiadityanath @myogioffice @kpmaurya1 @drdineshbjp @PMOIndia @narendramodi @SureshKKhanna,[],[],"['mansukhmandviya', 'narendramodi']",['https://t.co/EOTE9TIsjb'], mansukhmandviya  narendramodi भाजपा सरकारउत्तरप्रदेश में बिजली तकतो पूरी तरह से दे नहीं पा रही और की क्या बात की जाए गोला गोकरन नाथ में पिछले तीन घंटे से बिजली नहीं हैप्रतिदिन का यही हाल है और बातें बड़ी बड़ी करते हैं myogiadityanath  myogioffice  kpmaurya1  drdineshbjp  PMOIndia  narendramodi  SureshKKhanna
3,en,1440935873248387072,432697203, mansukhmandviya  narendramodi  RijijuOffice Also  all hospital eenses per ailment type should  be fixed  and fixed percentage  increase  justified depending on the hospital grade   ,1441020092725166089,False, mansukhmandviya  narendramodi  RijijuOffice Also  all hospital eenses per ailment type should  be fixed  and fixed percentage  increase  justified depending on the hospital grade   ,2021-09-23T12:42:17.000Z,India,"@mansukhmandviya @narendramodi @RijijuOffice 
Also, all hospital expenses per ailment type should  be fixed( and fixed percentage- increase- justified depending on the hospital grade)..",['xp'],[],"['mansukhmandviya', 'narendramodi', 'RijijuOffice']",['https://t.co/IFRTo79s8D'],
4,en,1440935873248387072,432697203, mansukhmandviya  narendramodi  RijijuOffice Sirs  Will entire Medical   General practitioner services including hospitalization services be  Free    Fixed subsidized standard rates  for ALL throughout India as seen in many countries   If the answer is YES   then this will be an excellent idea  Please clarify,1441017776924073989,False, mansukhmandviya  narendramodi  RijijuOffice Sirs  Will entire Medical   General practitioner services including hospitalization services be  Free    Fixed subsidized standard rates  for ALL throughout India as seen in many countries   If the answer is YES   then this will be an excellent idea  Please clarify,2021-09-23T12:33:05.000Z,India,"@mansukhmandviya @narendramodi @RijijuOffice 
Sirs, Will entire Medical / General practitioner services including hospitalization services be 'Free'/ 'Fixed subsidized standard rates' for ALL,throughout India(as seen in many countries)? If the answer is YES , then this will be an excellent idea. Please clarify",[],[],"['mansukhmandviya', 'narendramodi', 'RijijuOffice']",['https://t.co/1pes0SZbZJ'],
5,en,1440935873248387072,432697203, mansukhmandviya  narendramodi Totally surveillance program for citizens,1441014989951672334,False, mansukhmandviya  narendramodi Totally surveillance program for citizens,2021-09-23T12:22:01.000Z,India,@mansukhmandviya @narendramodi Totally surveillance program for citizens,[],[],"['mansukhmandviya', 'narendramodi']",[],
6,en,1440935873248387072,432697203, mansukhmandviya  narendramodi I personally believe that it is a march towards paperless concept   whereby citizen does not require  to carry many medical documents while visiting to different hospitals to consult doctors   One unique ID and all details shall be available to the doctors on duty about citizen,1441012723869884425,False, mansukhmandviya  narendramodi I personally believe that it is a march towards paperless concept   whereby citizen does not require  to carry many medical documents while visiting to different hospitals to consult doctors   One unique ID and all details shall be available to the doctors on duty about citizen,2021-09-23T12:13:00.000Z,India,@mansukhmandviya @narendramodi I personally believe that it is a march towards paperless concept - whereby citizen does not require  to carry many medical documents while visiting to different hospitals to consult doctors . One unique ID and all details shall be available to the doctors on duty about citizen,[],[],"['mansukhmandviya', 'narendramodi']",['https://t.co/fcAKF1ifh3'],
7,en,1440935873248387072,432697203, mansukhmandviya  narendramodi we don t need such ID  I don t see any benefit   why govt wants to keep record of our health  our health is our responsibility  It seems there is a hidden motive of Health surveillance of citizens ,1441001463308709888,False, mansukhmandviya  narendramodi we don t need such ID  I don t see any benefit   why govt wants to keep record of our health  our health is our responsibility  It seems there is a hidden motive of Health surveillance of citizens ,2021-09-23T11:28:16.000Z,India,@mansukhmandviya @narendramodi we don't need such ID. I don't see any benefit...why govt wants to keep record of our health? our health is our responsibility. It seems there is a hidden motive of Health surveillance of citizens.,[],[],"['mansukhmandviya', 'narendramodi']",['https://t.co/rwGBZE6cXa'],
8,en,1440935873248387072,432697203, mansukhmandviya  narendramodi It will revolutionaries our health system like UPI did in digital payment systems ,1440982662391296012,False, mansukhmandviya  narendramodi It will revolutionaries our health system like UPI did in digital payment systems ,2021-09-23T10:13:33.000Z,India,@mansukhmandviya @narendramodi It will revolutionaries our health system like UPI did in digital payment systems.,[],[],"['mansukhmandviya', 'narendramodi']",[],
9,en,1440935873248387072,432697203, mansukhmandviya  MoHFW INDIA  narendramodi A great step  narendramodi ji   Property Card on same lines will also be beneficial to all  curtailing court eenses  litigations  benami property  forgery of documents   black money transactions  transmission of properties to legal heirs  AmitShah ji  AmitShahOffice,1440966804675825669,False, mansukhmandviya  MoHFW INDIA  narendramodi A great step  narendramodi ji   Property Card on same lines will also be beneficial to all  curtailing court eenses  litigations  benami property  forgery of documents   black money transactions  transmission of properties to legal heirs  AmitShah ji  AmitShahOffice,2021-09-23T09:10:32.000Z,India,"@mansukhmandviya @MoHFW_INDIA @narendramodi A great step @narendramodi ji . Property Card on same lines will also be beneficial to all, curtailing court expenses, litigations, benami property, forgery of documents , black money transactions, transmission of properties to legal heirs @AmitShah ji @AmitShahOffice",['xp'],[],"['mansukhmandviya', 'MoHFW_INDIA', 'narendramodi', 'narendramodi']",['https://t.co/oGUkktZsw7'],
