,tweet_lang,replied_to_tweet_id,replied_to_user_id,reply_text,id,verified,text_en,tweet_date,country,tweet_text,tweet_emoticons,hashtags,mentions,tweet_urls,text_hi
0,en,1440981192430469121,18839785, narendramodi Healthcare https   t co pCi5JlRAqs,1441069084657991680,False, narendramodi Healthcare https   t co pCi5JlRAqs,2021-09-23T15:56:58.000Z,India,"@narendramodi Healthcare.
https://t.co/pCi5JlRAqs",[],[],['narendramodi'],['https://t.co/pCi5JlRAqs'],
1,hi,1440981192430469121,18839785, narendramodi सीने पर गोली  पुलिस की सैकड़ों लाठियां और मरे हुए इंसान की  छाती पर कूदता पत्रकार क्या ये  महात्मा गांधी  का  भारत  है   Assam  भाजपा हटाओ देश बचाओ https   t co SkBnpeVUdB,1441067671986917377,False,,2021-09-23T15:51:21.000Z,India,"@narendramodi सीने पर गोली, पुलिस की सैकड़ों लाठियां और 
मरे हुए इंसान की 'छाती पर कूदता पत्रकार'

क्या ये 'महात्मा गांधी' का 'भारत' है?
 #Assam #भाजपा_हटाओ_देश_बचाओ https://t.co/SkBnpeVUdB",[],[],['narendramodi'],['https://t.co/kIr0iNASpD'], narendramodi सीने पर गोली  पुलिस की सैकड़ों लाठियां और मरे हुए इंसान की  छाती पर कूदता पत्रकार क्या ये  महात्मा गांधी  का  भारत  है   Assam  भाजपा हटाओ देश बचाओ https   t co SkBnpeVUdB
2,en,1440981192430469121,18839785, narendramodi It seems Narinder modi is unable to hear the pain of the India farmers   Please go to New York on September 25th to pass on our message of pain ,1441067628143857673,False, narendramodi It seems Narinder modi is unable to hear the pain of the India farmers   Please go to New York on September 25th to pass on our message of pain ,2021-09-23T15:51:10.000Z,India,@narendramodi It seems Narinder modi is unable to hear the pain of the India farmers.  Please go to New York on September 25th to pass on our message of pain.,[],[],['narendramodi'],['https://t.co/LL53mYv6a2'],
3,en,1440981192430469121,18839785, narendramodi Please do something for me    Please help me   main exam v nhi de paungi please help sir    Please anyone help me ,1441067571575345153,False, narendramodi Please do something for me    Please help me   main exam v nhi de paungi please help sir    Please anyone help me ,2021-09-23T15:50:57.000Z,India,@narendramodi Please do something for me... Please help me...main exam v nhi de paungi please help sir... Please anyone help me 🙏,['🙏'],[],['narendramodi'],[],
4,en,1440981192430469121,18839785, narendramodi Namaste sir   I need help i need some money to pay my college fees my father can t afford it becoz he s jobless due to covid19 and now he s can t do anything he s not able    It s my final year sir i can t fill my examination form without paying fees please sir it s a request,1441067281836957699,False, narendramodi Namaste sir   I need help i need some money to pay my college fees my father can t afford it becoz he s jobless due to covid19 and now he s can t do anything he s not able    It s my final year sir i can t fill my examination form without paying fees please sir it s a request,2021-09-23T15:49:48.000Z,India,@narendramodi Namaste sir.. I need help i need some money to pay my college fees my father can't afford it becoz he's jobless due to covid19 and now he's can't do anything he's not able... It's my final year sir i can't fill my examination form without paying fees please sir it's a request,[],[],['narendramodi'],['https://t.co/axirccVshN'],
5,hi,1440981192430469121,18839785, narendramodi  SharwanKumarVi6 नमो नमः नमो नमः हर दिन हर पल नमो नमः  ,1441067088861229058,False,,2021-09-23T15:49:02.000Z,India,"@narendramodi @SharwanKumarVi6 नमो नमः नमो नमः हर दिन हर पल नमो नमः,,",[],[],"['narendramodi', 'SharwanKumarVi6']",[], narendramodi  SharwanKumarVi6 नमो नमः नमो नमः हर दिन हर पल नमो नमः  
6,en,1440981192430469121,18839785, narendramodi Good,1441066401280626696,False, narendramodi Good,2021-09-23T15:46:18.000Z,India,@narendramodi Good,[],[],['narendramodi'],[],
7,hi,1440981192430469121,18839785, narendramodi सीने पर गोली  पुलिस की सैकड़ों लाठियां और मरे हुए इंसान की  छाती पर कूदता पत्रकार क्या ये  महात्मा गांधी  का  भारत  है   Assam https   t co 19XfcW9Al0,1441066193050243077,False,,2021-09-23T15:45:28.000Z,India,"@narendramodi सीने पर गोली, पुलिस की सैकड़ों लाठियां और 
मरे हुए इंसान की 'छाती पर कूदता पत्रकार'

क्या ये 'महात्मा गांधी' का 'भारत' है?
 #Assam https://t.co/19XfcW9Al0",[],[],['narendramodi'],['https://t.co/OuigAiJ9JI'], narendramodi सीने पर गोली  पुलिस की सैकड़ों लाठियां और मरे हुए इंसान की  छाती पर कूदता पत्रकार क्या ये  महात्मा गांधी  का  भारत  है   Assam https   t co 19XfcW9Al0
8,hi,1440981192430469121,18839785, narendramodi सीने पर गोली  पुलिस की सैकड़ों लाठियां और मरे हुए इंसान की  छाती पर कूदता पत्रकार क्या ये  महात्मा गांधी  का  भारत  है   Assam https   t co Jc9fmD56tV,1441066124464975881,False,,2021-09-23T15:45:12.000Z,India,"@narendramodi सीने पर गोली, पुलिस की सैकड़ों लाठियां और 
मरे हुए इंसान की 'छाती पर कूदता पत्रकार'

क्या ये 'महात्मा गांधी' का 'भारत' है?
 #Assam https://t.co/Jc9fmD56tV",[],[],['narendramodi'],['https://t.co/60htOLk1rG'], narendramodi सीने पर गोली  पुलिस की सैकड़ों लाठियां और मरे हुए इंसान की  छाती पर कूदता पत्रकार क्या ये  महात्मा गांधी  का  भारत  है   Assam https   t co Jc9fmD56tV
9,hi,1440981192430469121,18839785, narendramodi कितना पाखंडी है तू। कार्ड बनाने से इलाज नही होता। हॉस्पिटल बनाने से होता है। https   t co nvo8vSKlDU,1441066122476867590,False,,2021-09-23T15:45:11.000Z,India,@narendramodi कितना पाखंडी है तू। कार्ड बनाने से इलाज नही होता। हॉस्पिटल बनाने से होता है। https://t.co/nvo8vSKlDU,[],[],['narendramodi'],[], narendramodi कितना पाखंडी है तू। कार्ड बनाने से इलाज नही होता। हॉस्पिटल बनाने से होता है। https   t co nvo8vSKlDU
