,tweet_lang,replied_to_tweet_id,replied_to_user_id,reply_text,id,verified,text_en,tweet_date,country,tweet_text,tweet_emoticons,hashtags,mentions,tweet_urls,text_hi
0,en,1440146256769142794,58243368, nsitharaman R u literate,1440512041295306755,False, nsitharaman R u literate,2021-09-22T03:03:28.000Z,India,@nsitharaman R u literate,[],[],['nsitharaman'],[],
1,en,1440146256769142794,58243368, nsitharaman  PM Modi  Pradhan Sevak of New India   Vasudhaiva Kutumbakam Excellent Modi jee government administration leadership motivations dedication development and sacrifice jaihind,1440338699389063181,False, nsitharaman  PM Modi  Pradhan Sevak of New India   Vasudhaiva Kutumbakam Excellent Modi jee government administration leadership motivations dedication development and sacrifice jaihind,2021-09-21T15:34:40.000Z,India,"@nsitharaman 🙏🙏🙏🙏🙏 

PM Modi: Pradhan Sevak of New India,  Vasudhaiva Kutumbakam.

Excellent Modi jee government administration leadership motivations dedication development and sacrifice jaihind",['🙏'],[],['nsitharaman'],['https://t.co/OYJhvFgnBs'],
2,en,1440146256769142794,58243368, nsitharaman He should migrate to Pak instead of calling them here ,1440292087379873802,False, nsitharaman He should migrate to Pak instead of calling them here ,2021-09-21T12:29:27.000Z,India,@nsitharaman He should migrate to Pak instead of calling them here.,[],[],['nsitharaman'],[],
3,hi,1440146256769142794,58243368, nsitharaman श्री प्रधानमंत्रीजी kda upकी मनमानी मैं महिला हूं और परेशान भी मैंने श्री CM पोर्टल पर 50 बार श्री PMपोर्टल पर4 बार महामहिम राष्ट्रपतिजी के पोर्टल पर4 बार शिकायत कर चुकी लेकिन कोई असर नहीं पड़ा आप कमेटी गठित करा कर सबूत के आधार पर जांच करा दीजिए रूबी7668446139 https   t co MGfdWWBWET,1440278534623092751,False,,2021-09-21T11:35:36.000Z,India,@nsitharaman श्री प्रधानमंत्रीजी kda upकी मनमानी मैं महिला हूं और परेशान भी मैंने श्री CM पोर्टल पर 50 बार श्री PMपोर्टल पर4 बार महामहिम राष्ट्रपतिजी के पोर्टल पर4 बार शिकायत कर चुकी लेकिन कोई असर नहीं पड़ा आप कमेटी गठित करा कर सबूत के आधार पर जांच करा दीजिए रूबी7668446139 https://t.co/MGfdWWBWET,[],[],['nsitharaman'],['https://t.co/w55lUtQJ8k'], nsitharaman श्री प्रधानमंत्रीजी kda upकी मनमानी मैं महिला हूं और परेशान भी मैंने श्री CM पोर्टल पर 50 बार श्री PMपोर्टल पर4 बार महामहिम राष्ट्रपतिजी के पोर्टल पर4 बार शिकायत कर चुकी लेकिन कोई असर नहीं पड़ा आप कमेटी गठित करा कर सबूत के आधार पर जांच करा दीजिए रूबी7668446139 https   t co MGfdWWBWET
4,hi,1440146256769142794,58243368, nsitharaman  Ra THORe  BJP Against Rajputs  BJP Against Rajputs दोस्तों कहीं  नरेंद्र मोदी जी ने अपनी  जाति   कैटेगरी को लेकर कोई  घोटाला तो नहीं किया था    https   t co tqaD7WiV20,1440210942139113477,False,,2021-09-21T07:07:01.000Z,India,"@nsitharaman @Ra_THORe #BJP_Against_Rajputs 
#BJP_Against_Rajputs 
🚦दोस्तों कहीं 💞 नरेंद्र मोदी जी ने अपनी 💞 जाति / कैटेगरी को लेकर कोई 💞 घोटाला तो नहीं किया था ???
👇👇👇👇👇👇👇
https://t.co/tqaD7WiV20
👆👆👆👆👆👆👆","['🚦', '💞', '👇', '👆']","['BJP_Against_Rajputs', 'BJP_Against_Rajputs']","['nsitharaman', 'Ra_THORe']",['https://t.co/9J43TyHNew'], nsitharaman  Ra THORe  BJP Against Rajputs  BJP Against Rajputs दोस्तों कहीं  नरेंद्र मोदी जी ने अपनी  जाति   कैटेगरी को लेकर कोई  घोटाला तो नहीं किया था    https   t co tqaD7WiV20
5,en,1440146256769142794,58243368, nsitharaman Great Madam,1440205118683549701,False, nsitharaman Great Madam,2021-09-21T06:43:52.000Z,India,@nsitharaman Great Madam,[],[],['nsitharaman'],[],
6,en,1440146256769142794,58243368, pallavv  nsitharaman  narendramodi  AmitShah Right sir,1440204649387020295,False, pallavv  nsitharaman  narendramodi  AmitShah Right sir,2021-09-21T06:42:00.000Z,India,@pallavv @nsitharaman @narendramodi @AmitShah Right sir,[],[],"['pallavv', 'nsitharaman', 'narendramodi', 'AmitShah']",[],
7,en,1440146256769142794,58243368, nsitharaman It is ridiculous that country s FM has to refer a bussiness magazine instead report from its ministry govt  Institution regarding economic matters,1440182023268671493,False, nsitharaman It is ridiculous that country s FM has to refer a bussiness magazine instead report from its ministry govt  Institution regarding economic matters,2021-09-21T05:12:06.000Z,India,@nsitharaman It is ridiculous that country's FM has to refer a bussiness magazine instead report from its ministry/govt. Institution regarding economic matters☺️☺️,['☺️'],[],['nsitharaman'],['https://t.co/47tRw43WCY'],
8,en,1440146256769142794,58243368, nsitharaman Please ensure selling of medicine by Generic names  Phama industry will place every spoke in your governance  MRP is a big joke by PHARM,1440181854452125698,False, nsitharaman Please ensure selling of medicine by Generic names  Phama industry will place every spoke in your governance  MRP is a big joke by PHARM,2021-09-21T05:11:26.000Z,India,@nsitharaman Please ensure selling of medicine by Generic names. Phama industry will place every spoke in your governance. MRP is a big joke by PHARM,[],[],['nsitharaman'],['https://t.co/pEGUcGs4I2'],
9,hi,1440146256769142794,58243368, nsitharaman माननीय वित्त मंत्री जी भारत सरकारमहोदय हम छोटे व्यवसाय के बारे में कुछ सोचिए ईस करोना महा मारी मैं हम लोगों की स्थिति एकदम गड़बड़ हो गई है,1440176986219941892,False,,2021-09-21T04:52:05.000Z,India,"@nsitharaman माननीय वित्त मंत्री जी भारत सरकार
महोदय हम छोटे व्यवसाय के बारे में कुछ सोचिए ईस करोना महा मारी मैं हम लोगों की स्थिति एकदम गड़बड़ हो गई है",[],[],['nsitharaman'],['https://t.co/FIssDAjZAz'], nsitharaman माननीय वित्त मंत्री जी भारत सरकारमहोदय हम छोटे व्यवसाय के बारे में कुछ सोचिए ईस करोना महा मारी मैं हम लोगों की स्थिति एकदम गड़बड़ हो गई है
