,tweet_lang,poi_name,poi_id,verified,id,tweet_text,tweet_emoticons,hashtags,mentions,tweet_urls,country,text_en,tweet_date,text_hi,text_es
0,en,smritiirani,130104041,True,1440346215497883669,Thanked Anganwadi workers of the Kashmir valley for their dedication and commitment to serve pregnant women and children even in harsh weather conditions and pandemic. #POSHANMaah2021 https://t.co/O28EQiJbBv,[],['POSHANMaah2021'],[],[],India,Thanked Anganwadi workers of the Kashmir valley for their dedication and commitment to serve pregnant women and children even in harsh weather conditions and pandemic   POSHANMaah2021 https   t co O28EQiJbBv,2021-09-21 16:00:00,,
1,en,smritiirani,130104041,True,1440346039077113858,Distributed certificates to various beneficiaries of different welfare initiatives of GOI and J&amp;K UT. https://t.co/X20XBrnSx8,[],[],[],[],India,Distributed certificates to various beneficiaries of different welfare initiatives of GOI and J amp K UT  https   t co X20XBrnSx8,2021-09-21 16:00:00,,
2,en,smritiirani,130104041,True,1440345803734741000,"As part of #POSHANMaah2021, distributed nutri-kits to children, pregnant women and adolescent girls. Urged Budgam district administration to carry out special enrolment drive for pregnant women under Pradhan Mantri Matru Vandana Yojana. https://t.co/ZKKEfVFEBn",[],['POSHANMaah2021'],[],[],India,As part of  POSHANMaah2021  distributed nutri kits to children  pregnant women and adolescent girls  Urged Budgam district administration to carry out special enrolment drive for pregnant women under Pradhan Mantri Matru Vandana Yojana  https   t co ZKKEfVFEBn,2021-09-21 16:00:00,,
3,en,smritiirani,130104041,True,1440342591543808006,Glimpse of beautiful ‘Rouf’ - kashmiri folk dance on motherhood. https://t.co/TXldOSvJ0t,[],[],[],[],India,Glimpse of beautiful ‘Rouf’   kashmiri folk dance on motherhood  https   t co TXldOSvJ0t,2021-09-21 16:00:00,,
4,en,smritiirani,130104041,True,1440326499555373059,"Met several delegations comprising of District and Block Development Council members, farmers, traders and civil society of Budgam. Assured them of all the support from GOI to ensure holistic development of Budgam and J&amp;K UT. https://t.co/HLOc5BltqJ",[],[],[],[],India,Met several delegations comprising of District and Block Development Council members  farmers  traders and civil society of Budgam  Assured them of all the support from GOI to ensure holistic development of Budgam and J amp K UT  https   t co HLOc5BltqJ,2021-09-21 15:00:00,,
5,en,smritiirani,130104041,True,1440325881948303373,"Interacted with office bearers of @BJP4JnK in Budgam district, Kashmir. https://t.co/0tnjkrUK8Q",[],[],['BJP4JnK'],[],India,Interacted with office bearers of  BJP4JnK in Budgam district  Kashmir  https   t co 0tnjkrUK8Q,2021-09-21 15:00:00,,
6,en,smritiirani,130104041,True,1440323662675021827,Had an extensive review meeting of all sectors with @DC_Budgam and other officials of Budgam district in Kashmir. https://t.co/HeQ0MbPvFA,[],[],['DC_Budgam'],[],India,Had an extensive review meeting of all sectors with  DC Budgam and other officials of Budgam district in Kashmir  https   t co HeQ0MbPvFA,2021-09-21 15:00:00,,
7,en,smritiirani,130104041,True,1440320308062261257,"On a 2-day visit to Kashmir, laid the foundation stone for Budgam-Mamata- Handjan Road. The infrastructure project commissioned to ease commuting woes, will fulfil a decade old demand of local residents. https://t.co/P97lPmpD88",[],[],[],[],India,On a 2 day visit to Kashmir  laid the foundation stone for Budgam Mamata  Handjan Road  The infrastructure project commissioned to ease commuting woes  will fulfil a decade old demand of local residents  https   t co P97lPmpD88,2021-09-21 14:00:00,,
8,hi,smritiirani,130104041,True,1440292912688873490,"महिला सशक्तिकरण और बाल कल्याण के लिए समर्पित, मंत्रालय में सहयोगी मंत्री श्री @MunjaparaDr जी को जन्मदिन की हार्दिक शुभकामनाएं।

ईश्वर से आपके उत्तम स्वास्थ्य एवं दीर्घायु की कामना करती हूँ।",[],[],['MunjaparaDr'],[],India,,2021-09-21 13:00:00,महिला सशक्तिकरण और बाल कल्याण के लिए समर्पित  मंत्रालय में सहयोगी मंत्री श्री  MunjaparaDr जी को जन्मदिन की हार्दिक शुभकामनाएं।ईश्वर से आपके उत्तम स्वास्थ्य एवं दीर्घायु की कामना करती हूँ।,
9,hi,smritiirani,130104041,True,1439622916602155009,"तीन दिवसीय 'राष्ट्रीय कुश्ती प्रतियोगिता' के समापन दिन पर आज @UPGovt में मंत्री @Mohsinrazabjpup जी एवं सांसद @BrijBhushanMP जी की उपस्थिति रही।

इस आयोजन के माध्यम से युवाओं को प्रोत्साहन देने के साथ-साथ खेल के क्षेत्र में अमेठी को आगे बढ़ाने हेतु हम सभी ने एक मजबूत नींव रखी है। https://t.co/qdJRhprfqz",[],[],"['UPGovt', 'Mohsinrazabjpup', 'BrijBhushanMP']",[],India,,2021-09-19 16:00:00,तीन दिवसीय  राष्ट्रीय कुश्ती प्रतियोगिता  के समापन दिन पर आज  UPGovt में मंत्री  Mohsinrazabjpup जी एवं सांसद  BrijBhushanMP जी की उपस्थिति रही।इस आयोजन के माध्यम से युवाओं को प्रोत्साहन देने के साथ साथ खेल के क्षेत्र में अमेठी को आगे बढ़ाने हेतु हम सभी ने एक मजबूत नींव रखी है। https   t co qdJRhprfqz,
