,tweet_lang,poi_name,poi_id,verified,id,tweet_text,tweet_emoticons,hashtags,mentions,tweet_urls,country,text_es,tweet_date
0,es,tatclouthier,33937794,True,1440481151508881418,Que gusto recibir al gobernador de Sonora @AlfonsoDurazo para promocionar proyectos conjuntos con gobernadores del área del Mar de Cortés https://t.co/2ktIt1THic,[],[],['AlfonsoDurazo'],[],Mexico,Que gusto recibir al gobernador de Sonora  AlfonsoDurazo para promocionar proyectos conjuntos con gobernadores del área del Mar de Cortés https   t co 2ktIt1THic,2021-09-22 01:00:00
1,es,tatclouthier,33937794,True,1440363591530528770,"Con el objetivo de que las #mipymes se sumen a la creciente #digitalización, de contribuir a su fortalecimiento y muestren una mejor participación en el mercado interno y en el comercio exterior, firmamos un convenio de colaboración, a través de @Economia_UDP, con @MastercardMex. https://t.co/xorRUW0z1L",[],"['mipymes', 'digitalización']","['Economia_UDP', 'MastercardMex']",[],Mexico,Con el objetivo de que las  mipymes se sumen a la creciente  digitalización  de contribuir a su fortalecimiento y muestren una mejor participación en el mercado interno y en el comercio exterior  firmamos un convenio de colaboración  a través de  Economia UDP  con  MastercardMex  https   t co xorRUW0z1L,2021-09-21 17:00:00
2,es,tatclouthier,33937794,True,1440293130163539975,Felicidades @mary_ng ! Lista para seguir trabajando a favor de nuestro comercio y de las  #mujeres en la economía.,[],['mujeres'],['mary_ng'],[],Mexico,Felicidades  mary ng   Lista para seguir trabajando a favor de nuestro comercio y de las   mujeres en la economía ,2021-09-21 13:00:00
3,es,tatclouthier,33937794,True,1440292939414999061,Quiero felicitar a @FP_Champagne por su reelección. Contenta de seguir haciendo equipo para fortalecer nuestra economía regional a través de la innovación.,[],[],['FP_Champagne'],[],Mexico,Quiero felicitar a  FP Champagne por su reelección  Contenta de seguir haciendo equipo para fortalecer nuestra economía regional a través de la innovación ,2021-09-21 13:00:00
4,es,tatclouthier,33937794,True,1439963604795674628,Estaremos al tanto y trabajando con nuestros socios del TIPAT para definir las acciones derivadas de la solicitud de adhesión de la República Popular China. https://t.co/OasLZH4821,[],[],[],['https://t.co/OasLZH4821'],Mexico,Estaremos al tanto y trabajando con nuestros socios del TIPAT para definir las acciones derivadas de la solicitud de adhesión de la República Popular China  https   t co OasLZH4821,2021-09-20 15:00:00
5,es,tatclouthier,33937794,True,1439930616313749510,No te lo pierdas si andas en el mundo del turismo. Bella semana. https://t.co/pQu5fuM6lf,[],[],[],[],Mexico,No te lo pierdas si andas en el mundo del turismo  Bella semana  https   t co pQu5fuM6lf,2021-09-20 13:00:00
6,es,tatclouthier,33937794,True,1439696585085050881,"Despedimos al Dr. Jerome Walcott de #Barbados 🇧🇧. Se va contento con los resultados de #CELAC, buen trabajo @SRE_mx.",['🇧🇧'],"['Barbados', 'CELAC']",['SRE_mx'],[],Mexico,Despedimos al Dr  Jerome Walcott de  Barbados   Se va contento con los resultados de  CELAC  buen trabajo  SRE mx ,2021-09-19 21:00:00
7,es,tatclouthier,33937794,True,1439617264861462529,"#19DeSeptiembre, 1985 y 2017; hueco en el corazón de nuestro país, aprendizajes en sector público y sociedad organizada. 

Reconocimiento a la solidaridad de quienes dejan todo para ayudar en momentos difíciles. 

Abrazo a quien perdió familia o amig🖤s en aquellos trágicos días.",['🖤'],['19DeSeptiembre'],[],[],Mexico, 19DeSeptiembre  1985 y 2017  hueco en el corazón de nuestro país  aprendizajes en sector público y sociedad organizada  Reconocimiento a la solidaridad de quienes dejan todo para ayudar en momentos difíciles  Abrazo a quien perdió familia o amigs en aquellos trágicos días ,2021-09-19 16:00:00
8,es,tatclouthier,33937794,True,1438881948055875584,"Mejoren ésta...
La presencia de las mujeres en México como una realidad. #informe @Claudiashein https://t.co/rzlz0SP6V6",[],['informe'],['Claudiashein'],[],Mexico,Mejoren ésta   La presencia de las mujeres en México como una realidad   informe  Claudiashein https   t co rzlz0SP6V6,2021-09-17 15:00:00
9,es,tatclouthier,33937794,True,1438636601853284358,"Con gusto les comparto que, gracias al arduo trabajo de las y los abogados de la subsecretaría de comercio exterior de la @SE_mx, hemos ganado en un tribunal internacional un caso inversionista-Estado.",[],[],['SE_mx'],[],Mexico,Con gusto les comparto que  gracias al arduo trabajo de las y los abogados de la subsecretaría de comercio exterior de la  SE mx  hemos ganado en un tribunal internacional un caso inversionista Estado ,2021-09-16 23:00:00
10,es,tatclouthier,33937794,True,1438544588600451072,Es un honor acompañar al presidente @lopezobrador_ en el #DesfileMilitar2021 #IndependenciaDeMéxico 🇲🇽 https://t.co/t0YFeVNaHT,['🇲🇽'],"['DesfileMilitar2021', 'IndependenciaDeMéxico']",['lopezobrador_'],[],Mexico,Es un honor acompañar al presidente  lopezobrador  en el  DesfileMilitar2021  IndependenciaDeMéxico  https   t co t0YFeVNaHT,2021-09-16 17:00:00
11,es,tatclouthier,33937794,True,1438203102331613186,"Felicitamos a @annietrev, nueva secretaria de Comercio Exterior del #ReinoUnido. 

Continuaremos fortaleciendo los lazos comerciales y de inversión entre nuestras naciones. 🇲🇽🤝🇬🇧","['🇬🇧', '🤝', '🇲🇽']",['ReinoUnido'],['annietrev'],[],Mexico,Felicitamos a  annietrev  nueva secretaria de Comercio Exterior del  ReinoUnido  Continuaremos fortaleciendo los lazos comerciales y de inversión entre nuestras naciones  ,2021-09-15 18:00:00
12,es,tatclouthier,33937794,True,1438178137532088328,Felicidades gobernadora #Campeche. @LaydaSansores https://t.co/X7307bibfj,[],['Campeche'],['LaydaSansores'],[],Mexico,Felicidades gobernadora  Campeche   LaydaSansores https   t co X7307bibfj,2021-09-15 16:00:00
13,es,tatclouthier,33937794,True,1437380235058716672,Excelente inicio de semana. #13deseptiembre 🇲🇽,['🇲🇽'],['13deseptiembre'],[],[],Mexico,Excelente inicio de semana   13deseptiembre ,2021-09-13 12:00:00
14,es,tatclouthier,33937794,True,1436796389430857731,Felicidades al @Tu_IMSS  y a #ESSA: https://t.co/W4FhHxJEw9,[],['ESSA'],['Tu_IMSS'],['https://t.co/W4FhHxJEw9'],Mexico,Felicidades al  Tu IMSS  y a  ESSA  https   t co W4FhHxJEw9,2021-09-11 21:00:00
